# El giro del anillo del arbol (0x38AFC2B8) de cada personaje, leido de los
# jugadores que hizo el juego en una partida (NOTAS O-195). Es fijo por
# personaje: el editor lo usa al girar el anillo. Lo genera
# herramientas/construir_anillos.py <partida>.
identidad,chara_base_id,diamante,rama,giro,muestras,discrepan
00491555,-1447224537,0,0,6,2,0
00663444,-1450034634,0,0,1,1,0
006DEC12,-1449532832,0,0,7,2,0
008297CC,-1451845186,0,0,1,1,0
009F3580,-1452590094,0,0,1,1,0
00AD1DDF,-1453780051,0,0,7,1,0
00BF4E45,-1454686153,0,0,1,1,0
00CAE76A,-1455494888,0,0,1,1,0
01088D5D,-1459846353,0,0,1,1,0
01189533,-1460888767,0,0,6,2,0
016F77E8,-1466205798,0,0,1,1,0
018B7F62,-1468042992,0,0,7,3,0
01ADE52B,-1470502055,0,0,7,1,0
01E779CE,-1475119172,0,0,8,3,0
02094A80,-1409465102,0,0,6,1,0
02197A14,-1410501530,0,0,4,1,0
02197A14,-1410501530,1,0,8,1,0
0219E23F,-1410470835,0,0,6,1,0
0222D9BE,-1411983412,0,0,7,1,0
022B524B,-1411425223,0,0,6,1,0
0236F007,-1413284235,0,0,6,1,0
024A9476,657096377,1,0,7,3,0
0263ADA0,-1416125486,0,0,7,1,0
0275D7BA,-1417553464,0,0,7,1,0
02C42995,-1422907417,0,0,4,1,0
02E4DD1D,-1424960657,0,0,7,3,0
030643A2,-1426960944,0,0,8,1,0
0326B72A,-1429030568,0,0,7,1,0
03322173,-1429852415,0,0,8,1,0
03397668,-1429374950,0,0,4,1,0
033B9A2B,-1429236647,0,0,8,1,0
038E4D84,-1434827786,0,0,6,3,0
03BCEA96,-1438063388,0,0,1,1,0
03CB20B7,-1438699835,0,0,8,1,0
03DE7C58,-1440058838,0,0,1,1,0
03E9387C,-1440926194,0,0,7,3,0
04079A90,-1376545566,0,0,8,1,0
04479BD8,-1380739670,0,0,7,2,0
04560E75,-1381892089,0,0,7,1,0
045714AC,-1381819682,0,0,7,1,0
04A01582,-1386996752,0,0,7,1,0
04A86F4B,-1386454727,0,0,6,1,0
04DADE77,-1389441019,0,0,6,3,0
04E090A0,-1391157550,0,0,7,1,0
04E2F3AE,-1391002148,0,0,7,1,0
050B3A0A,-1392561032,0,0,8,1,0
0522FA97,-1395198747,0,0,8,1,0
05627FB5,-1399426617,0,0,8,1,0
056A057C,-1398928626,0,0,7,1,0
05857EA2,-1401851696,0,0,8,1,0
0585F1EF,-1401815139,0,0,8,1,0
05957E9B,-1402900247,0,0,6,5,0
05F11D3B,-1408953527,0,0,7,1,0
05FC0170,547154879,1,0,7,1,0
06012581,-1342886925,0,0,1,3,0
0601AACC,-1342856002,0,0,8,1,0
06113DEF,-1343933539,0,0,8,1,0
0629224E,-1344459716,0,0,7,1,0
06338293,-1345876767,0,0,1,1,0
0666DF34,-1349332666,1,0,6,2,0
06748CAE,-1350532388,0,0,7,1,0
0675C955,-1350449369,0,0,1,1,0
06A44DF7,-1353694331,0,0,7,1,0
06EED112,-1357193376,0,0,7,1,0
07033136,-1359528124,0,0,6,3,0
072CBB25,-1361529513,0,0,7,1,0
076627C0,-1366152782,0,0,7,1,0
078B3F10,-1367395998,0,0,6,1,0
07B40ADA,-1371536216,0,0,7,1,0
07B6E699,-1371346709,0,0,7,1,0
07B7A362,-1371296496,0,0,4,1,0
07BF5DC1,-1370795085,0,0,7,1,0
07C34FB6,-1372110396,0,0,6,1,0
07D357D8,-1373152854,0,0,6,1,0
07DE62B7,-1372951355,0,0,4,1,0
07EB4879,-1373682165,0,0,6,1,0
07F1E8A4,-1375344938,0,0,7,1,0
08127439,-1578730933,0,0,1,1,0
08192322,-1578291888,0,0,1,1,0
08758E8C,-1585348354,0,0,7,1,0
087AF017,-1584464283,0,0,7,1,0
08840633,-1586493375,0,0,8,2,0
08851CEA,-1586425192,0,0,8,1,0
08928562,770863021,1,0,7,2,0
08950484,-1587475722,0,0,7,1,0
0897E8C7,-1587288395,0,0,1,1,0
089CBFDC,-1586974290,0,0,7,1,0
08E022E6,-1592513388,0,0,6,1,0
0922C79C,-1596536338,0,0,6,1,0
09466C04,-1598922122,0,0,7,1,0
094776DD,-1598850897,0,0,8,1,0
09576EB3,-1599905599,0,0,7,1,0
096AB73A,-1600210616,0,0,4,1,0
097F697C,-1601476850,0,0,4,1,0
0985CCE4,-1603157354,0,0,1,1,0
098E14B2,-1602610496,0,0,7,1,0
09986EA8,-1603510054,0,0,1,1,0
