# A que altura (0-100 %) acaba la piel de la barbilla/cuello en cada cara (NOTAS O-149).
# Lo genera herramientas/construir_hombros.py.
cara,barbilla
an000150,50
c01000010,50
c01000020,64
c01000030,55
c01000040,72
c01000050,50
c01000060,54
c01000070,51
c01000080,55
c01000090,54
c01000100,74
c01000110,50
c01000120,75
c01000210,66
c01000220,82
c01000230,61
c01000240,62
c01000250,75
c01000260,76
c01000270,55
c01000280,73
c01000290,74
c01000300,54
c01000310,60
c01000320,76
c01000330,50
c01000340,75
c01000350,50
c01000360,50
c01000410,74
c01000420,59
c01000430,50
c01000440,61
c01000450,64
c01000460,50
c01000470,66
c01000480,50
c01000490,57
c01000500,65
c01000510,74
c01000520,67
c01000530,57
c01000540,55
c01000550,55
c01000560,80
c01000610,51
c01000620,65
c01000630,76
c01000640,75
c01000650,55
c01000660,58
c01000670,57
c01000680,57
c01000690,54
c01000700,51
c01000710,82
c01000720,74
c01000730,75
c01000740,50
c01000750,78
c01000760,56
c01000810,75
c01000815,75
c01000820,50
c01000825,50
c01000830,56
c01000835,57
c01000840,59
c01000845,59
c01000850,77
c01000855,77
c01000860,75
c01000865,75
c01000870,65
c01000875,62
c01000880,75
c01000885,77
c01000890,77
c01000895,77
c01000900,54
c01000905,59
c01000910,50
c01000915,50
c01000920,52
c01000925,55
c01000930,65
c01000935,63
c01000940,58
c01000945,56
c01000950,76
c01000960,55
c01000965,55
c01001010,50
c01001020,72
c01001030,79
c01001040,75
c01001050,68
c01001060,76
c01001070,75
c01001080,50
c01001090,72
c01001100,67
c01001110,58
c01001120,57
c01001130,80
c01001140,68
c01001150,56
c01001160,76
c01001210,50
c01001220,62
c01001230,53
c01001240,50
c01001250,61
c01001260,52
c01001270,52
c01001280,52
c01001290,72
c01001300,59
c01001310,56
c01001320,75
c01001330,78
c01001340,73
c01001350,74
c01001360,74
c01001410,64
c01001420,76
c01001430,75
c01001440,67
c01001450,78
c01001460,50
c01001470,55
c01001480,64
c01001490,76
c01001500,75
c01001510,58
c01001520,57
c01001530,73
c01001540,58
c01001550,80
c01001560,58
c01001610,83
c01001620,74
c01001630,68
c01001640,78
c01001650,79
c01001660,75
c01001670,75
c01001680,75
c01001690,52
c01001700,52
c01001710,51
c01001720,57
c01001730,78
c01001740,76
c01001750,71
c01001760,55
c01001810,79
c01001820,55
c01001830,76
c01001840,51
c01001850,56
c01001860,73
c01001870,67
c01001880,77
c01001890,65
c01001900,61
c01001910,75
c01001920,69
c01001930,75
c01001940,80
c01001950,75
c01001960,75
c01002010,77
c01002020,71
c01002030,57
c01002040,75
c01002050,78
c01002060,57
c01002070,50
c01002080,61
c01002090,50
c01002100,75
c01002110,57
c01002120,74
c01002130,55
c01002140,78
c01002150,58
c01002160,77
c01002210,55
c01002220,75
c01002230,76
c01002240,77
c01002250,59
c01002260,51
c01002270,51
c01002280,62
c01002290,75
c01002300,52
c01002310,65
c01002320,66
c01002330,82
c01002340,83
c01002350,77
c01002360,54
c01002410,87
c01002420,52
c01002430,50
c01002440,54
c01002450,54
c01002460,50
c01002470,54
c01002480,55
c01002490,74
c01002500,50
c01002510,55
c01002520,73
c01002530,50
c01002540,71
c01002550,72
c01002560,55
c01002610,52
c01002620,60
c01002630,66
c01002640,52
c01002650,77
c01002660,77
c01002670,56
c01002680,80
c01002690,50
c01002700,71
c01002710,83
c01002720,57
c01002730,74
c01002740,66
c01002750,82
c01002760,78
c01003010,75
c01003020,62
c01003030,79
c01003040,75
c01003050,58
c01003060,50
c01003070,75
c01003080,60
c01003090,76
c01003100,56
c01003110,57
c01003120,52
c01003130,50
c01003140,60
c01003150,75
c01003160,55
c01003170,59
c01003180,76
c01003190,71
c01003200,59
c01003210,50
c01003220,56
c01003230,81
c01003240,62
c01003250,51
c01003260,76
c01003270,75
c01003280,54
c01003290,83
c01003300,52
c01003310,50
c01003320,57
c01003330,74
c01003340,59
c01003350,77
c01003360,74
c01003370,61
c01003380,82
c01003390,70
