# Lo que suma cada objeto a los siete stats.
# id = los 4 bytes tal y como aparecen en la partida.
# Lo genera herramientas/construir_stats.py.
id,categoria,potencia,control,tecnica,presion,fisico,agilidad,inteligencia
A0115D6D,equipo-1-botas,6,5,0,0,0,0,0
43CAD3AA,equipo-1-botas,5,3,0,0,0,0,0
4BC1F6ED,equipo-1-botas,0,0,0,0,12,0,11
DE0B995A,equipo-1-botas,0,0,25,0,0,28,0
32A8C3A7,equipo-1-botas,0,0,0,4,0,0,6
6B1685A5,equipo-1-botas,0,5,6,0,0,0,0
60A5BD1E,equipo-1-botas,0,0,0,0,23,25,0
CBE3C52A,equipo-1-botas,17,10,0,0,0,0,0
FC89072B,equipo-1-botas,0,32,24,0,0,0,0
1E03795B,equipo-1-botas,0,0,0,0,5,0,6
9B15365E,equipo-1-botas,0,0,0,5,5,0,0
4227236F,equipo-1-botas,0,13,14,0,0,0,0
925D8328,equipo-1-botas,5,0,3,0,0,0,0
F20E4352,equipo-1-botas,0,0,0,16,20,0,0
1A4054F4,equipo-1-botas,0,4,3,0,0,0,0
C9EF2AC5,equipo-1-botas,0,0,0,0,0,28,23
5C7C47A4,equipo-1-botas,4,6,0,0,0,0,0
D96A08A1,equipo-1-botas,6,0,4,0,0,0,0
EE00CAA0,equipo-1-botas,0,0,0,0,0,5,4
B7BE8CA2,equipo-1-botas,0,0,0,11,0,0,13
80D44EA3,equipo-1-botas,11,0,14,0,0,0,0
BD9312A8,equipo-1-botas,0,0,17,0,0,23,0
8AF9D0A9,equipo-1-botas,22,22,0,0,0,0,0
57CF7F1F,equipo-1-botas,0,0,0,0,5,0,5
0E71391D,equipo-1-botas,0,0,10,0,0,14,0
391BFB1C,equipo-1-botas,0,0,0,0,10,12,0
BC0DB419,equipo-1-botas,0,0,0,18,0,0,22
E2D263E0,equipo-1-botas,0,0,0,5,4,0,0
BB6C25E2,equipo-1-botas,6,4,0,0,0,0,0
8C06E7E3,equipo-1-botas,0,0,0,0,3,6,0
0910A8E6,equipo-1-botas,0,0,12,0,0,0,9
3E7A6AE7,equipo-1-botas,0,0,0,0,12,0,12
67C42CE5,equipo-1-botas,12,13,0,0,0,0,0
50AEEEE4,equipo-1-botas,0,0,0,12,0,0,11
6DE9B2EF,equipo-1-botas,0,0,0,0,21,0,21
5A8370EE,equipo-1-botas,0,0,19,0,0,0,16
E9615B5B,equipo-1-botas,31,29,0,0,0,0,0
6C77145E,equipo-1-botas,21,22,0,0,0,0,0
5B1DD65F,equipo-1-botas,0,0,0,0,17,19,0
02A3905D,equipo-1-botas,0,0,0,0,0,20,19
088E0E57,equipo-1-botas,0,0,0,0,21,0,20
52FB03DD,equipo-1-botas,12,13,0,0,0,0,0
0B4545DF,equipo-1-botas,0,0,0,5,0,0,4
3C2F87DE,equipo-1-botas,0,0,0,4,0,5,0
B939C8DB,equipo-1-botas,0,0,6,0,0,5,0
8E530ADA,equipo-1-botas,5,5,0,0,0,0,0
D7ED4CD8,equipo-1-botas,14,13,0,0,0,0,0
E0878ED9,equipo-1-botas,0,0,0,11,0,11,0
DDC0D2D2,equipo-1-botas,0,0,0,0,12,0,13
EAAA10D3,equipo-1-botas,12,14,0,0,0,0,0
00F67D64,equipo-1-botas,0,0,0,23,0,27,0
379CBF65,equipo-1-botas,0,22,22,0,0,0,0
6E22F967,equipo-1-botas,0,0,0,0,0,13,10
59483B66,equipo-1-botas,23,22,0,0,0,0,0
DC5E7463,equipo-1-botas,0,0,0,0,20,0,22
EB34B662,equipo-1-botas,0,0,0,17,0,18,0
B28AF060,equipo-1-botas,0,0,0,19,0,0,20
85E03261,equipo-1-botas,29,30,0,0,0,0,0
8FCDAC6B,equipo-1-botas,0,12,14,0,0,0,0
B7E78E74,equipo-1-botas,0,0,0,10,0,13,0
808D4C75,equipo-1-botas,0,0,0,12,0,0,13
D9330A77,equipo-1-botas,0,0,10,0,0,13,0
1B99656D,equipo-1-botas,3,4,0,0,0,0,0
2CF3A76C,equipo-1-botas,0,4,3,0,0,0,0
A9E5E869,equipo-1-botas,0,0,3,0,0,0,5
9E8F2A68,equipo-1-botas,0,0,0,0,0,6,3
C7316C6A,equipo-1-botas,0,0,0,13,0,0,11
F05BAE6B,equipo-1-botas,0,0,0,0,11,0,13
CD1CF260,equipo-1-botas,13,0,12,0,0,0,0
FA763061,equipo-1-botas,0,0,0,12,11,0,0
102A5DD6,equipo-1-botas,0,0,0,0,9,13,0
27409FD7,equipo-1-botas,0,0,12,0,0,13,0
7EFED9D5,equipo-1-botas,0,0,0,20,0,0,20
49941BD4,equipo-1-botas,21,0,20,0,0,0,0
CC8254D1,equipo-1-botas,21,23,0,0,0,0,0
FBE896D0,equipo-1-botas,0,0,0,0,0,22,17
93D40EAE,equipo-1-botas,0,0,0,0,19,0,22
953C12D3,equipo-1-botas,23,21,0,0,0,0,0
A87B4ED8,equipo-1-botas,0,0,0,19,0,0,21
9F118CD9,equipo-1-botas,0,0,24,0,0,0,23
FE85E8C4,equipo-1-botas,0,30,28,0,0,0,0
90516CC7,equipo-1-botas,0,0,19,0,0,22,0
A73BAEC6,equipo-1-botas,0,22,20,0,0,0,0
222DE1C3,equipo-1-botas,21,22,0,0,0,0,0
70D7FD58,equipo-1-botas,14,12,0,0,0,0,0
2969BB5A,equipo-1-botas,0,0,0,11,0,12,0
AC7FF45F,equipo-1-botas,0,0,10,0,0,0,11
F5C1B25D,equipo-1-botas,0,0,0,6,0,4,0
ABB00550,equipo-1-botas,5,0,6,0,0,0,0
19CC8854,equipo-1-botas,0,0,4,0,0,5,0
77180C57,equipo-1-botas,13,13,0,0,0,0,0
4072CE56,equipo-1-botas,0,0,0,12,0,0,12
4A5F505C,equipo-1-botas,0,0,0,0,14,0,9
9769FFEA,equipo-1-botas,22,23,0,0,0,0,0
CED7B9E8,equipo-1-botas,0,0,0,0,22,0,20
F9BD7BE9,equipo-1-botas,0,0,0,19,19,0,0
7CAB34EC,equipo-1-botas,0,0,0,17,0,19,0
127FB0EF,equipo-1-botas,0,0,0,19,0,0,22
251572EE,equipo-1-botas,31,28,0,0,0,0,0
18522EE5,equipo-1-botas,0,0,0,0,26,0,29
2F38ECE4,equipo-1-botas,25,0,30,0,0,0,0
4EAC88F9,equipo-1-botas,0,0,0,26,28,0,0
F56FD2A9,equipo-1-botas,0,0,0,0,5,4,0
2274E315,equipo-1-botas,4,6,0,0,0,0,0
7BCAA517,equipo-1-botas,0,0,0,0,0,4,5
4CA06716,equipo-1-botas,0,0,0,3,0,6,0
C9B62813,equipo-1-botas,0,0,0,4,6,0,0
A762AC10,equipo-1-botas,0,5,5,0,0,0,0
FEDCEA12,equipo-1-botas,14,12,0,0,0,0,0
