# Caras que el juego trae pero no usa (NOTAS O-239).
# Lo genera herramientas/construir_sin_usar.py.
cara,grupo,nombre,identidades
an000150,no_fichable,Josefina,696F1C32
c01000815,sin_ficha,Thomas,
c01000825,sin_ficha,Harry Leading,
c01000835,sin_ficha,Terry Stronger,
c01000845,sin_ficha,Philip Marvel,
c01000855,sin_ficha,Noel Good,
c01000865,sin_ficha,Tyron Rock,
c01000875,sin_ficha,Francis Tell,
c01000885,sin_ficha,Samuel Buster,
c01000895,sin_ficha,Jonathan Seller,
c01000905,sin_ficha,Victor Kind,
c01000915,sin_ficha,Neil Turner,
c01000925,sin_ficha,Reg Underwood,
c01000935,sin_ficha,Patrick Stiller,
c01000945,sin_ficha,Charles Oughtry,
c01000965,sin_ficha,Neil Waters,
c01009360,sin_personaje,,
c01010120,sin_personaje,,
c01010660,sin_personaje,,
c01010970,no_fichable,Jude Sharp,260C33A3
c02023385,sin_ficha,Shawn Froste,
c02023390,sin_ficha,Shawn Froste,
c02024071,sin_ficha,Cadence Soundtown,
c02024320,sin_ficha,Nathan Swift,
c02024741,sin_ficha,Celia,
c02024760,sin_personaje,,
c02025310,sin_personaje,,
c02026260,sin_personaje,,
c02028550,sin_personaje,,
c03030110,sin_personaje,,
c03030120,sin_personaje,,
c03030130,sin_personaje,,
c03030140,sin_personaje,,
c03030961,sin_ficha,Sean Pounding,
c03033330,sin_personaje,,
c03033340,sin_personaje,,
c03033350,sin_personaje,,
c03033370,sin_personaje,,
c03033401,sin_ficha,Karl Kappa,
c03039250,sin_personaje,,
c04016010,sin_personaje,,
c04016020,sin_personaje,,
c04016030,sin_personaje,,
c04016040,sin_personaje,,
c05020701,sin_ficha,Bestia Negra,
c05023810,sin_personaje,,
c05023820,sin_personaje,,
c05023830,sin_personaje,,
c05023840,sin_personaje,,
c05023850,sin_personaje,,
c05023860,sin_personaje,,
c05023870,sin_personaje,,
c05023880,sin_personaje,,
c05023890,sin_personaje,,
c05023900,sin_personaje,,
c05023910,sin_personaje,,
c05024671,sin_ficha,Jude Sharp,
c05028010,no_fichable,Fei Rune,7B6E90BE
c05028020,no_fichable,Vladimir Blade,5043C37D
c05028030,no_fichable,Arion Sherwind,4958F23C
c05028040,no_fichable,Riccardo Di Rigo,061964FB
c05028050,no_fichable,Gabriel García,1F0255BA
c05028060,no_fichable,Sol Daystar,342F0679
c05028070,no_fichable,Jean-Pierre Lapin,2D343738
c05028080,no_fichable,Sor,AAAC2BF7
c05028090,no_fichable,Fei Rune,B3B71AB6
c05028100,no_fichable,Ryoma Nishiki,63B7CBC8
c05028110,no_fichable,Victor Blade,7AACFA89
c05028120,no_fichable,Goldie Lemmon,5181A94A
c05028130,no_fichable,Arion Sherwind,489A980B
c05028140,no_fichable,Bai Long,07DB0ECC
c05028160,no_fichable,Zanark Avalonic,35ED6C4E
c05028410,no_fichable,Vee Wai,7C673862
c05028420,no_fichable,Dee Vee,574A6BA1
c05028430,no_fichable,Ayt Bee,4E515AE0
c05028440,no_fichable,En Sicks,0110CC27
c05028450,no_fichable,Wun Ell,180BFD66
c05028460,no_fichable,Zed Kyu,3326AEA5
c05028470,no_fichable,Kay Zirro,2A3D9FE4
c05028480,no_fichable,Cee Eff,ADA5832B
c05028490,no_fichable,Ar Ecks,B4BEB26A 9C9ABBD0
c05028500,no_fichable,Em Tee,64BE6314
c05028510,no_fichable,Ough Cee,7DA55255
c05028520,no_fichable,Jay Yuu,56880196
c05028530,no_fichable,Faiv Ess,4F9330D7
c05028540,no_fichable,Tu Eigh,00D2A610
c05028550,no_fichable,Aye Nort,19C99751
c05028560,no_fichable,Ji Tenn,32E4C492
c05028610,no_fichable,Flora,7FE3EC0C
c05028620,no_fichable,Simeon Ayp,54CEBFCF
c05028630,no_fichable,Wolfram Vulpeen,4DD58E8E
c05028640,no_fichable,Desmodus Drakul,02941849
c05029410,no_fichable,Victor Blade,C4DB5F07
c05029420,no_fichable,Gabriel García,EFF60CC4
c05029430,no_fichable,Gabriel García,F6ED3D85
c05029440,no_fichable,Victor Blade,B9ACAB42
c05029450,no_fichable,Bai Long,A0B79A03
c05029460,no_fichable,Mark Evans,8B9AC9C0
c05029470,no_fichable,Axel Blaze,9281F881
c05029480,no_fichable,Caleb Stonewall,1519E44E
c05029700,sin_personaje,,
c05029730,sin_personaje,,
c06037850,sin_personaje,,
c06037970,sin_personaje,,
c06037980,sin_personaje,,
c06037990,sin_personaje,,
c06038000,sin_personaje,,
c06038010,no_fichable,Buddy Fury,77E6A393 C95E9877 E0962C85 FB72472E
c06039011,sin_ficha,David Evans,
c06039350,sin_ficha,Circulus Corona,
c06039360,sin_ficha,Arculus Orbes,
c07060120,sin_ficha,Thomas Feldt,
c07060130,sin_ficha,Tyron Rock,
c07060140,sin_ficha,Samuel Buster,
c07060150,sin_ficha,Reg Underwood,
c07060160,sin_ficha,Patrick Stiller,
c07060170,sin_ficha,Charles Oughtry,
c07060180,sin_ficha,Clive Mooney,
c07060190,sin_ficha,Neil Waters,
c07150010,sin_personaje,,
c07150020,sin_personaje,,
c07150030,sin_personaje,,
c07150040,sin_personaje,,
c07150050,sin_personaje,,
c07150060,sin_personaje,,
c07150070,sin_personaje,,
c07150080,sin_personaje,,
c07150090,sin_personaje,,
c07150100,sin_personaje,,
c07170010,sin_personaje,,
c07170020,sin_personaje,,
c07170050,sin_personaje,,
c07170090,sin_personaje,,
c07180010,sin_personaje,,
c07180020,sin_personaje,,
c07180050,sin_personaje,,
c07180080,sin_personaje,,
c07190010,sin_personaje,,
c07190050,sin_personaje,,
c07190110,sin_personaje,,
c07240290,sin_personaje,,
c07240370,sin_personaje,,
c07240530,sin_personaje,,
c07290020,sin_personaje,,
c08030030,no_fichable,Seth Bael,D05B92A3
c08030031,no_fichable,Seth Bael,A75CA235
c08090220,sin_personaje,,
c08130040,sin_personaje,,
