# Con que fichero se dibuja la cara de cada personaje.
# cara = 10_icon_chr/face/<cara>_l.png
# Lo genera herramientas/construir_caras.py (NOTAS O-99).
identidad,cara,existe
000CCA62,c11748080,si
002513F9,c01000330,si
00491555,c11600120,si
004A74D5,c11711050,si
005CEF5C,c11070160,si
0060C7F1,c05020460_5000,no
006246A5,c08060120,si
00663444,c02025260,si
006DEC12,c03032760,si
006F8F1C,c04014180,si
00821881,c06032100,si
008297CC,c01005410,si
009859CF,c11707140,si
009F3580,c03031870,si
00AA63B1,c11220290,si
00AD1DDF,c05021510,si
00B5CE9C,c11010070,si
00BDA206,c04002090,si
00BF4E45,c04013360,si
00CA6827,c03037040,si
00CA6CD2,c04003470_5000,no
00CAE76A,c04000550,si
00D2A610,c05028540,si
00E08E4F,c03038820,si
01080210,c03037140,si
01088D5D,c04000450,si
0110CC27,c05028440,si
01189533,c11180510,si
0122E478,c03038920,si
0140FDFB,c01005510,si
015A33F8,c11707040,si
016F77E8,c05021410,si
017D2472,c04013260,si
018B7F62,c11600020,si
0198C201,c01009260,si
019E856B,c11070060,si
01A02C92,c08060020,si
01A0E982,c05020110,si
01A45E73,c02025360,si
01ADE52B,c04014080,si
01AF8625,c03032660,si
01E25080,c02021460,si
01E779CE,c01000230,si
01F7A52D,c11718100,si
02094A80,c03036990,si
020D20F7,c11600010,si
02154140,c11734020,si
02197A14,c05022900,si
0219E23F,c11803010,si
021C166F,c01009060,si
021C7047,c08130020,si
02208A1D,c02025160,si
0222D9BE,c11120060,si
02293145,c04014280,si
022B524B,c03032460,si
0234719A,c11500880,si
0236F007,c01006800,si
024A9476,c11010060,si
025029AD,c11010040,si
0263ADA0,c01000030,si
0268FABB,c07020020,si
02693477,c04000080,si
0275D7BA,c02023950,si
028C5933,c04000650,si
028CD67E,c03037340,si
02941849,c05028640,si
02C42995,c01005710,si
02E4DD1D,c01010910,si
02ECD795,c05024910_5100,no
02F9F01C,c04013060,si
0305066D,c11722030,si
030643A2,c01005610,si
030F668B,c02020890,si
0317B2A7,c11270010,si
0326B72A,c01010810,si
032EB7DF,c11220090,si
032EBDA2,c05024910_5000,no
03322173,c02022280,si
03397668,c04002290,si
033B9A2B,c04013160,si
034E3304,c04000750,si
034EBC49,c03037240,si
0377CEAB,npc0405,no
038E4D84,c05024030,si
03A148DA,c06037420,si
03A33B7F,c02023100,si
03AA908C,c07020120,si
03B7BD8D,c02023850,si
03BCEA96,c04003840,si
03CB20B7,c03036890,si
03DE1A70,c08130120,si
03DE7C58,c01009160,si
03E0B389,c11120160,si
03E2E02A,c02025060,si
03E9387C,c03032560,si
03EB5B72,c04014380,si
03F49A30,c01006900,si
04079A90,c06039290,si
040F6433,c06032700,si
040FEB7E,c01005210,si
043232F7,c04013560,si
04471495,c03037640,si
04479BD8,c04000350,si
04560E75,c11080090,si
045714AC,c11100130,si
04646742,c04002050_5000,no
049E1BAB,c01000020,si
04A01582,c11250040,si
