# Con que busto se dibuja cada personaje debajo de la cara (NOTAS O-148, O-154).
# cuerpo = fichero de 10_icon_chr/uniform/<cuerpo>_l.png, ya en su talla.
# complexion = cuerpo base 3D (c000101..c000401); tipo_cuerpo = 0-7, lo que usa
# el filtro de cuerpo del juego; origen = camiseta / portero / propia / respaldo.
# Lo genera herramientas/construir_cuerpos.py.
identidad,cuerpo,complexion,tipo_cuerpo,origen
000CCA62,u115107_10_00,c000401,6,camiseta
002513F9,u010201_10_00,c000101,0,camiseta
00491555,u11600120,c000101,1,propia
004A74D5,u115105_10_00,c000301,4,camiseta
005CEF5C,u110706_10_00,c000401,5,camiseta
0060C7F1,u050101_10_00,c000101,0,respaldo_equipo
006246A5,u080606_10_00,c000401,5,camiseta
00663444,u117403_10_00,c000201,2,camiseta
006DEC12,u031901_10_00,c000101,0,camiseta
006F8F1C,u117403_10_00,c000201,2,camiseta
00821881,u061101_10_00,c000101,0,camiseta
008297CC,u117401_10_00,c000101,0,camiseta
009859CF,u115101_10_00,c000101,1,camiseta
009F3580,u031205_10_00,c000301,4,camiseta
00AA63B1,u112205_10_00,c000301,4,camiseta
00AD1DDF,u050601_10_00,c000101,0,camiseta
00B5CE9C,u11010070,c000401,6,propia
00BDA206,u041303_10_00,c000201,2,camiseta
00BF4E45,u117401_10_00,c000101,0,camiseta
00CA6827,u117405_10_00,c000301,4,camiseta
00CA6CD2,u041901_10_00,c000101,0,respaldo_equipo
00CAE76A,u040201_10_00,c000101,0,camiseta
00D2A610,u050701_10_00,c000101,0,camiseta
00E08E4F,u117406_10_00,c000401,5,camiseta
01080210,u117401_10_00,c000101,0,camiseta
01088D5D,u040205_10_00,c000301,4,camiseta
0110CC27,u050701_10_00,c000101,0,camiseta
01189533,u11180510,c000101,1,propia
0122E478,u117401_10_00,c000101,0,camiseta
0140FDFB,u117401_10_00,c000101,0,camiseta
015A33F8,u115103_10_00,c000201,2,camiseta
016F77E8,u050658_10_00,c000301,7,portero
017D2472,u117406_10_00,c000401,5,camiseta
018B7F62,u11600020,c000301,4,propia
0198C201,u117405_10_00,c000301,4,camiseta
019E856B,u110703_10_00,c000201,2,camiseta
01A02C92,u080601_10_00,c000101,0,camiseta
01A0E982,u050201_10_00,c000101,0,camiseta
01A45E73,u117407_10_00,c000401,6,camiseta
01ADE52B,u117402_10_00,c000101,1,camiseta
01AF8625,u031901_10_00,c000101,0,camiseta
01E25080,u021201_10_00,c000101,0,camiseta
01E779CE,u010205_10_00,c000301,4,camiseta
01F7A52D,u115105_10_00,c000301,4,camiseta
02094A80,u117401_10_00,c000101,0,camiseta
020D20F7,u11600010,c000101,0,propia
02154140,u115105_10_00,c000301,4,camiseta
02197A14,u051101_10_00,c000101,0,camiseta
0219E23F,u11803010,c000301,4,propia
021C166F,u117401_10_00,c000101,0,camiseta
021C7047,u030901_10_00,c000101,0,camiseta
02208A1D,u117401_10_00,c000101,0,camiseta
0222D9BE,u111207_10_00,c000401,6,camiseta
02293145,u117406_10_00,c000401,5,camiseta
022B524B,u032301_10_00,c000101,0,camiseta
0234719A,u117701_10_00,c000101,0,camiseta
0236F007,u117401_10_00,c000101,0,camiseta
024A9476,u11010060,c000101,1,propia
025029AD,u11010040,c000301,7,propia
0263ADA0,u010107_10_00,c000401,6,camiseta
0268FABB,u070201_10_00,c000101,0,camiseta
02693477,u040101_10_00,c000101,0,camiseta
0275D7BA,u020803_10_00,c000201,2,camiseta
028C5933,u040501_10_00,c000101,0,camiseta
028CD67E,u117405_10_00,c000301,4,camiseta
02941849,u051801_10_00,c000101,0,camiseta
02C42995,u117405_10_00,c000301,4,camiseta
02E4DD1D,u010101_10_00,c000101,0,camiseta
02ECD795,u051601_10_00,c000101,0,respaldo_equipo
02F9F01C,u117406_10_00,c000401,5,camiseta
0305066D,u115103_10_00,c000201,2,camiseta
030643A2,u117401_10_00,c000101,0,camiseta
030F668B,u021501_10_00,c000101,0,respaldo_equipo
0317B2A7,u117403_10_00,c000201,2,camiseta
0326B72A,u117401_10_00,c000101,0,camiseta
032EB7DF,u112205_10_00,c000301,4,camiseta
032EBDA2,u051601_10_00,c000101,0,respaldo_equipo
03322173,u021701_10_00,c000101,0,camiseta
03397668,u041401_10_00,c000101,0,camiseta
033B9A2B,u117405_10_00,c000301,4,camiseta
034E3304,u040503_10_00,c000201,2,camiseta
034EBC49,u117403_10_00,c000201,2,camiseta
0377CEAB,u010102_10_00,c000101,1,respaldo_generico
038E4D84,u010105_10_00,c000301,4,camiseta
03A148DA,u06037420,c000301,4,propia
03A33B7F,u020102_10_00,c000101,1,camiseta
03AA908C,u010201_10_00,c000101,0,camiseta
03B7BD8D,u020807_10_00,c000401,6,camiseta
03BCEA96,u041105_10_00,c000301,4,camiseta
03CB20B7,u117402_10_00,c000101,1,camiseta
03DE1A70,u030901_10_00,c000101,0,camiseta
03DE7C58,u117405_10_00,c000301,4,camiseta
03E0B389,u111207_10_00,c000401,6,camiseta
03E2E02A,u117401_10_00,c000101,0,camiseta
03E9387C,u032307_10_00,c000401,6,camiseta
03EB5B72,u117403_10_00,c000201,2,camiseta
03F49A30,u117405_10_00,c000301,4,camiseta
04079A90,u06039290,c000301,4,propia
040F6433,u061201_10_00,c000101,0,camiseta
040FEB7E,u117401_10_00,c000101,0,camiseta
043232F7,u117405_10_00,c000301,4,camiseta
04471495,u117402_10_00,c000101,1,camiseta
04479BD8,u117405_10_00,c000301,4,camiseta
04560E75,u010201_10_00,c000101,0,camiseta
045714AC,u111001_10_00,c000101,0,camiseta
04646742,u020201_10_00,c000101,0,respaldo_equipo
049E1BAB,u010101_10_00,c000101,0,camiseta
04A01582,u112501_10_00,c000101,0,camiseta
04A86F4B,u010301_10_00,c000101,0,camiseta
04B2A148,u115101_10_00,c000101,1,camiseta
04D7D484,u117401_10_00,c000101,0,camiseta
04DADE77,u11808080,c000201,2,propia
04DB53B4,u117401_10_00,c000101,0,camiseta
04E090A0,u031301_10_00,c000101,0,camiseta
04E2F3AE,u117401_10_00,c000101,0,camiseta
04EB48F6,u117401_10_00,c000101,0,camiseta
04F417C5,u020201_10_00,c000101,0,camiseta
04FDBDA1,u060905_10_00,c000301,4,camiseta
0502906E,u061501_10_00,c000101,0,camiseta
050B3A0A,u021803_20_00,c000201,2,camiseta
0515BEB3,u117407_10_00,c000401,6,camiseta
05209999,u117407_10_00,c000401,6,camiseta
0522FA97,u031305_10_00,c000301,4,camiseta
05262A85,u010107_10_00,c000401,6,respaldo_generico
052922C1,u117401_10_00,c000101,0,camiseta
053FD796,u060905_10_00,c000301,4,camiseta
055C719C,u010101_10_00,c000101,0,camiseta
05627FB5,u112556_10_00,c000401,5,portero
056A057C,u010303_10_00,c000201,2,camiseta
05857EA2,u117401_10_00,c000101,0,camiseta
0585F1EF,u040901_10_00,c000101,0,camiseta
05957E9B,u111002_10_00,c000101,1,camiseta
059DB095,u052006_10_00,c000401,5,camiseta
05A2E665,u115108_10_00,c000301,7,camiseta
05ABD762,u081101_10_00,c000101,0,camiseta
05C5F0A7,u117405_10_00,c000301,4,camiseta
05CD8149,u117401_10_00,c000101,0,camiseta
05F058C0,u117401_10_00,c000101,0,camiseta
05F11D3B,u117402_10_00,c000101,1,camiseta
05FC0170,u020905_10_00,c000301,4,camiseta
06012581,u040103_10_00,c000201,2,camiseta
0601AACC,u117401_10_00,c000101,0,camiseta
06113DEF,u111805_10_00,c000301,4,camiseta
06178BB7,u080406_10_00,c000401,5,camiseta
061964FB,u040101_10_00,c000101,0,camiseta
061C0880,u117406_10_00,c000401,5,camiseta
0629224E,u110501_10_00,c000101,0,camiseta
06338293,u117401_10_00,c000101,0,camiseta
063FB9C7,u115108_10_00,c000301,7,camiseta
064124C9,u117402_10_00,c000101,1,camiseta
06495527,u117407_10_00,c000401,6,camiseta
065F2F3D,u117406_10_00,c000401,5,camiseta
06644770,u081202_10_00,c000101,1,camiseta
0666DF34,u050456_10_00,c000401,5,portero
06748CAE,u117401_10_00,c000101,0,camiseta
0675C955,u117402_10_00,c000101,1,camiseta
06864400,u061405_10_00,c000301,4,camiseta
0686553C,u117407_10_00,c000401,6,camiseta
06916ADD,u117405_10_00,c000301,4,camiseta
06A44DF7,u117403_10_00,c000201,2,camiseta
06A62EF9,u031401_10_00,c000101,0,camiseta
06ADF6AF,u117402_10_00,c000101,1,camiseta
06D3089B,u117401_10_00,c000101,0,camiseta
06E25622,u010151_10_00,c000101,0,portero
06ED94DD,u115101_10_00,c000101,1,camiseta
06EED112,u010403_10_00,c000201,2,camiseta
06F6F352,u115104_10_00,c000201,3,camiseta
07033136,u051407_10_00,c000401,6,camiseta
072CBB25,u010401_10_00,c000101,0,camiseta
073A8B76,u11010011,c000101,0,propia
07443F0B,u117405_10_00,c000301,4,camiseta
075300EA,u117405_10_00,c000301,4,camiseta
076444CE,u031401_10_00,c000101,0,camiseta
076627C0,u117403_10_00,c000201,2,camiseta
076F9C98,u117405_10_00,c000301,4,camiseta
