# Equipacion de cada personaje, para ensenarlo de cuerpo.
# identidad = el valor del campo 0xBA162C11 de la partida.
# icono = fichero de datos/iconos/.../10_icon_chr/uniform/<icono>_00_l.png
# Lo genera herramientas/construir_equipacion_jugador.py (NOTAS O-76).
identidad,icono
000CCA62,u115101_10
002513F9,u010201_10
00491555,u117401_10
004A74D5,u115101_10
005CEF5C,u110701_10
0060C7F1,u050101_10
006246A5,u080601_10
00663444,u117401_10
006DEC12,u031901_10
006F8F1C,u117401_10
00821881,u061101_10
008297CC,u117401_10
009859CF,u115101_10
009F3580,u031201_10
00AA63B1,u112201_10
00AD1DDF,u050601_10
00B5CE9C,u110101_10
00BDA206,u020201_10
00BF4E45,u117401_10
00CA6827,u117401_10
00CA6CD2,u041901_10
00CAE76A,u040201_10
00D2A610,u050701_10
00E08E4F,u117401_10
01080210,u117401_10
01088D5D,u040201_10
0110CC27,u050701_10
01189533,u111801_10
0122E478,u117401_10
0140FDFB,u117401_10
015A33F8,u115101_10
016F77E8,u050601_10
017D2472,u117401_10
018B7F62,u112101_10
0198C201,u117401_10
019E856B,u110701_10
01A02C92,u080601_10
01A0E982,u050201_10
01A45E73,u117401_10
01ADE52B,u117401_10
01AF8625,u031901_10
01E25080,u021201_10
01E779CE,u010201_10
01F7A52D,u115101_10
02094A80,u117401_10
020D20F7,u112101_10
02154140,u115101_10
02197A14,u051101_10
0219E23F,u030301_10
021C166F,u117401_10
021C7047,u081301_10
02208A1D,u117401_10
0222D9BE,u111201_10
02293145,u117401_10
022B524B,u032301_10
0234719A,u117401_10
0236F007,u117401_10
024A9476,u110101_10
025029AD,u110101_10
0263ADA0,u010101_10
0268FABB,u070201_10
02693477,u040101_10
0275D7BA,u020801_10
028C5933,u040501_10
028CD67E,u117401_10
02941849,u051801_10
02C42995,u117401_10
02E4DD1D,u010101_10
02ECD795,u051601_10
02F9F01C,u117401_10
0305066D,u115101_10
030643A2,u117401_10
030F668B,u021501_10
0317B2A7,u117401_10
0326B72A,u117401_10
032EB7DF,u112201_10
032EBDA2,u051601_10
03322173,u021701_10
03397668,u010901_10
033B9A2B,u117401_10
034E3304,u040501_10
034EBC49,u117401_10
03A148DA,u011101_10
03A33B7F,u020101_10
03AA908C,u070201_10
03B7BD8D,u020801_10
03BCEA96,u041101_10
03CB20B7,u117401_10
03DE1A70,u081301_10
03DE7C58,u117401_10
03E0B389,u111201_10
03E2E02A,u117401_10
03E9387C,u032301_10
03EB5B72,u117401_10
03F49A30,u117401_10
04079A90,u061701_10
040F6433,u061201_10
040FEB7E,u117401_10
043232F7,u117401_10
04471495,u117401_10
04479BD8,u117401_10
04560E75,u010201_10
045714AC,u111001_10
04646742,u020201_10
049E1BAB,u010101_10
04A01582,u112501_10
04A86F4B,u010301_10
04B2A148,u115101_10
04D7D484,u117401_10
04DADE77,u080601_10
04DB53B4,u117401_10
04E090A0,u031301_10
04E2F3AE,u117401_10
04EB48F6,u117401_10
04F417C5,u020201_10
04FDBDA1,u060901_10
0502906E,u061501_10
