# Que objeto de la mochila da cada escudo, equipacion o tactica.
# id_objeto = como esta en la mochila (4 bytes tal cual).
# valor_equipo = lo que guarda el equipo, en hexadecimal.
# Lo genera herramientas/construir_equipo_objetos.py (NOTAS O-124).
tipo,id_objeto,valor_equipo,nombre,icono
escudo,9ACA020B,0B02CA9A,Génesis,01_icon_emblem/em020002.png
escudo,F0E1ABD5,D5ABE1F0,Raimon,01_icon_emblem/em010001.png
escudo,4AB0A24C,4CA2B04A,Royal Academy,01_icon_emblem/em010002.png
escudo,DC80A53B,3BA580DC,Occult,01_icon_emblem/em010003.png
escudo,7F15C1A5,A5C1157F,Wild,01_icon_emblem/em010004.png
escudo,E925C6D2,D2C625E9,Brain,01_icon_emblem/em010005.png
escudo,5374CF4B,4BCF7453,Otaku,01_icon_emblem/em010006.png
escudo,C544C83C,3CC844C5,Shuriken,01_icon_emblem/em010007.png
escudo,545977AC,AC775954,Farm,01_icon_emblem/em010008.png
escudo,C26970DB,DB7069C2,Kirkwood,01_icon_emblem/em010009.png
escudo,27E0B7BB,BBB7E027,Zeus,01_icon_emblem/em010010.png
escudo,B1D0B0CC,CCB0D0B1,Inazuma Kids FC,01_icon_emblem/em010011.png
escudo,0B81B955,55B9810B,Umbrella,01_icon_emblem/em010012.png
escudo,9DB1BE22,22BEB19D,Sallys,01_icon_emblem/em010013.png
escudo,3E24DABC,BCDA243E,Veteranos Inazuma,01_icon_emblem/em010014.png
escudo,E3C826B9,B926C8E3,Tormenta de Géminis,01_icon_emblem/em020031.png
escudo,59992F20,202F9959,Épsilon,01_icon_emblem/em020032.png
escudo,CFA92857,5728A9CF,Génesis,01_icon_emblem/em020033.png
escudo,6C3C4CC9,C94C3C6C,Épsilon Plus,01_icon_emblem/em020034.png
escudo,FA0C4BBE,BE4B0CFA,Servicio Secreto,01_icon_emblem/em020035.png
escudo,405D4227,27425D40,Alpino,01_icon_emblem/em020036.png
escudo,D66D4550,50456DD6,Claustro Sagrado,01_icon_emblem/em020037.png
escudo,4770FAC0,C0FA7047,Royal Academy Redux,01_icon_emblem/em020038.png
escudo,D140FDB7,B7FD40D1,Fauxshore,01_icon_emblem/em020039.png
escudo,B26E6081,81606EB2,Mary Times,01_icon_emblem/em020040.png
escudo,245E67F6,F6675E24,Emperadores Oscuros,01_icon_emblem/em020041.png
escudo,9E0F6E6F,6F6E0F9E,Triple C,01_icon_emblem/em020042.png
escudo,ABAA0D86,860DAAAB,Mar de Árboles,01_icon_emblem/em020044.png
escudo,3D9A0AF1,F10A9A3D,Jóvenes Inazuma,01_icon_emblem/em020045.png
escudo,11FB041F,1F04FB11,Prominence,01_icon_emblem/em020047.png
escudo,80E6BB8F,8FBBE680,Polvo de Diamantes,01_icon_emblem/em020048.png
escudo,16D6BCF8,F8BCD616,Caos,01_icon_emblem/em020049.png
escudo,C8471DB1,B11D47C8,Inazuma Japón,01_icon_emblem/em030015.png
escudo,753BACCF,CFAC3B75,Neo Japón,01_icon_emblem/em030018.png
escudo,E30BABB8,B8AB0BE3,Big Waves,01_icon_emblem/em030019.png
escudo,12D05D9D,9D5DD012,Dragones de Fuego,01_icon_emblem/em030021.png
escudo,27753E74,743E7527,Leones del Desierto,01_icon_emblem/em030027.png
escudo,B66881E4,E48168B6,Ángel Oscuro,01_icon_emblem/em030028.png
escudo,20588693,93865820,Equipo Ogro,01_icon_emblem/em030029.png
escudo,43761BA5,A51B7643,Knights of Queen,01_icon_emblem/em030050.png
escudo,D5461CD2,D21C46D5,<MNT:TEAMK>,01_icon_emblem/em030051.png
escudo,6F17154B,4B15176F,Los Emperadores,01_icon_emblem/em030052.png
escudo,F927123C,3C1227F9,Unicorn,01_icon_emblem/em030053.png
escudo,5AB276A2,A276B25A,Orfeo,01_icon_emblem/em030054.png
escudo,CC8271D5,D57182CC,Os Reis,01_icon_emblem/em030055.png
escudo,76D3784C,4C78D376,<FST:GARCILDO> Team,01_icon_emblem/em030056.png
escudo,E0E37F3B,3B7FE3E0,Pequeños Gigantes,01_icon_emblem/em030057.png
escudo,71FEC0AB,ABC0FE71,Grifos de la Rosa,01_icon_emblem/em030058.png
escudo,E7CEC7DC,DCC7CEE7,Los Rojos,01_icon_emblem/em030059.png
escudo,8025368E,8E362580,Brocken Brigade,01_icon_emblem/em030060.png
escudo,161531F9,F9311516,Caimanes del Cabo,01_icon_emblem/em030061.png
escudo,AC443860,603844AC,Sky Team,01_icon_emblem/em030062.png
escudo,3A743F17,173F743A,Dark Team,01_icon_emblem/em030063.png
escudo,806E4B1D,1D4B6E80,Raimon revolucionario,01_icon_emblem/em040001.png
escudo,3A3F4284,84423F3A,Caballeros Templarios,01_icon_emblem/em040002.png
escudo,AC0F45F3,F3450FAC,Empollones,01_icon_emblem/em040003.png
escudo,0F9A216D,6D219A0F,Vía Láctea,01_icon_emblem/em040004.png
escudo,99AA261A,1A26AA99,Poderosa Fe,01_icon_emblem/em040005.png
escudo,23FB2F83,832FFB23,Royal Academy (GO),01_icon_emblem/em040006.png
escudo,B5CB28F4,F428CBB5,Cala Pirata,01_icon_emblem/em040007.png
escudo,24D69764,6497D624,Mar de Luna,01_icon_emblem/em040008.png
escudo,576F5773,73576F57,Alpino (GO),01_icon_emblem/em040010.png
escudo,C15F5004,04505FC1,Kirkwood (GO),01_icon_emblem/em040011.png
escudo,7B0E599D,9D590E7B,Espejismo,01_icon_emblem/em040012.png
escudo,4EAB3A74,743AAB4E,Universal,01_icon_emblem/em040014.png
escudo,D89B3D03,033D9BD8,Monte Olimpo,01_icon_emblem/em040015.png
escudo,62CA349A,9A34CA62,Dragon Link,01_icon_emblem/em040016.png
escudo,F4FA33ED,ED33FAF4,Luz Eterna,01_icon_emblem/em040017.png
escudo,65E78C7D,7D8CE765,Oscuridad Ancestral,01_icon_emblem/em040018.png
escudo,F3D78B0A,0A8BD7F3,Equipo Zero,01_icon_emblem/em040019.png
escudo,943C7A58,587A3C94,Segundo equipo del Raimon,01_icon_emblem/em040020.png
escudo,020C7D2F,2F7D0C02,Edad Dorada,01_icon_emblem/em040021.png
escudo,B85D74B6,B6745DB8,Ultramegahiedra,01_icon_emblem/em040022.png
escudo,2E6D73C1,C1736D2E,Inazuma Kids FC (GO),01_icon_emblem/em040023.png
escudo,8DF8175F,5F17F88D,Revolucionarios,01_icon_emblem/em040024.png
escudo,1BC81028,2810C81B,Garras del Sur,01_icon_emblem/em040025.png
escudo,A19919B1,B11999A1,Colmillos del Norte,01_icon_emblem/em040026.png
escudo,37A91EC6,C61EA937,Cuerno Demoníaco,01_icon_emblem/em040027.png
escudo,5E93AF23,23AF935E,<MNT:TENMAS>,01_icon_emblem/em050201.png
escudo,E4C2A6BA,BAA6C2E4,Protocolo Omega,01_icon_emblem/em050202.png
escudo,D167C553,53C567D1,<MNT:SHIROSHIKA>,01_icon_emblem/em050204.png
escudo,4757C224,24C25747,Protocolo Omega 3.0,01_icon_emblem/em050205.png
escudo,FD06CBBD,BDCB06FD,Ejército de terracota,01_icon_emblem/em050206.png
escudo,6B36CCCA,CACC366B,Zanark Domain,01_icon_emblem/em050207.png
escudo,FA2B735A,5A732BFA,Cascada Perfecta,01_icon_emblem/em050208.png
escudo,8992B34D,4DB39289,Zan,01_icon_emblem/em050210.png
escudo,1FA2B43A,3AB4A21F,Gir,01_icon_emblem/em050211.png
escudo,A5F3BDA3,A3BDF3A5,Gar,01_icon_emblem/em050212.png
escudo,33C3BAD4,D4BAC333,Ragnah,01_icon_emblem/em050213.png
escudo,9056DE4A,4ADE5690,Aullido Lunar,01_icon_emblem/em050214.png
escudo,0666D93D,3DD96606,Nosfanáticos,01_icon_emblem/em050215.png
escudo,BC37D0A4,A4D037BC,Criaturas de la Noche,01_icon_emblem/em050216.png
escudo,2A07D7D3,D3D7072A,Inazuma Japón Legendario,01_icon_emblem/em050217.png
escudo,BB1A6843,43681ABB,Desesperdidos,01_icon_emblem/em050218.png
escudo,DCF19911,1199F1DC,Inazuma Japón Alterno,01_icon_emblem/em050221.png
escudo,27918B91,918B9127,Star Unicorn,01_icon_emblem/em050232.png
escudo,B1A18CE6,E68CA1B1,Clan Oda,01_icon_emblem/em050233.png
escudo,8404EF0F,0FEF0484,Protocolo Omega 2.0,01_icon_emblem/em050235.png
escudo,3E55E696,96E6553E,Ira de Imagawa,01_icon_emblem/em050236.png
escudo,A865E1E1,E1E165A8,El Dorado 01,01_icon_emblem/em050237.png
escudo,39785E71,715E7839,El Dorado 02,01_icon_emblem/em050238.png
escudo,AF485906,065948AF,El Dorado 03,01_icon_emblem/em050239.png
escudo,5A56C347,47C3565A,Caballeros de la Mesa Redonda,01_icon_emblem/em050241.png
escudo,E007CADE,DECA07E0,Chrono Storm,01_icon_emblem/em050242.png
escudo,7637CDA9,A9CD3776,Armiños Invernales,01_icon_emblem/em050243.png
escudo,D5A2A937,37A9A2D5,Osos Dorados,01_icon_emblem/em050244.png
escudo,4392AE40,40AE9243,Aves Acuáticas,01_icon_emblem/em050245.png
escudo,F9C3A7D9,D9A7C3F9,Víboras Nocturnas,01_icon_emblem/em050246.png
escudo,6FF3A0AE,AEA0F36F,Canes Escarlata,01_icon_emblem/em050247.png
escudo,1B67D85E,5ED8671B,Equipo A-5,01_icon_emblem/em050251.png
escudo,9ABB3E21,213EBB9A,Nuevo Inazuma Japón,01_icon_emblem/em060220.png
escudo,B983CD65,65CD83B9,Earth Eleven,01_icon_emblem/em060301.png
escudo,03D2C4FC,FCC4D203,Dragones de Fuego (GO 3),01_icon_emblem/em060302.png
escudo,95E2C38B,8BC3E295,Big Waves (GO 3),01_icon_emblem/em060303.png
escudo,3677A715,15A77736,Cimitarras,01_icon_emblem/em060304.png
escudo,A047A062,62A047A0,Muay Tigers,01_icon_emblem/em060305.png
escudo,1A16A9FB,FBA9161A,Storm Wolves,01_icon_emblem/em060306.png
escudo,8C26AE8C,8CAE268C,Resistencia Japón,01_icon_emblem/em060307.png
escudo,1D3B111C,1C113B1D,Sílice,01_icon_emblem/em060308.png
escudo,8B0B166B,6B160B8B,Naiadi,01_icon_emblem/em060309.png
escudo,6E82D10B,0BD1826E,Magmavís,01_icon_emblem/em060310.png
