# De quien es cada armadura, mixi max y modo (NOTAS O-172, O-209): solo esas
# identidades exactas pueden llevarlo (otras versiones del mismo nombre, no).
# Lo genera herramientas/construir_duenos_espiritus.py.
id,nombre,familia,identidad,personaje,fuente
ED0A6E85,Alfil blanco,armadura,17305E01,Federigo Cinco,change+modelo
7B3A69F2,Alfil blanco,armadura,0E2B6F40,Pentra Chek,change+modelo
CAF7F1A5,Alfil negro,armadura,BC8CB9D1,Tynan Crowe,modelo
90F8A2F4,Amaterasu,armadura,4EFBC29E,Goldie Lemmon,modelo
90F8A2F4,Amaterasu,armadura,551FA935,Goldie Lemmon,modelo
90F8A2F4,Amaterasu,armadura,7CD71DC7,Goldie Lemmon,modelo
90F8A2F4,Amaterasu,armadura,B0DD6F1B,Goldie Lemmon,cp19+modelo
90F8A2F4,Amaterasu,armadura,C26F2623,Goldie Lemmon,modelo
0CF136D4,Amorosa,armadura,AC6F17BF,Chitoh,modelo
A42955FC,Apolo,armadura,A9AD6367,Redd Hazzard,change
3219528B,Apolo,armadura,DEAE22C0,Sol Daystar,change+modelo
AC3155C6,Archipegaso,armadura,02693477,Arion Sherwind,modelo
AC3155C6,Archipegaso,armadura,0D176028,Arion Sherwind,modelo
AC3155C6,Archipegaso,armadura,1E15FC8A,Arion Sherwind,modelo
AC3155C6,Archipegaso,armadura,24DFD4DA,Arion Sherwind,modelo
AC3155C6,Archipegaso,armadura,3F3BBF71,Arion Sherwind,modelo
AC3155C6,Archipegaso,armadura,9B04579A,Arion Sherwind,modelo
AC3155C6,Archipegaso,armadura,B3AF5BCC,Arion Sherwind,modelo
AC3155C6,Archipegaso,armadura,BE64471E,Arion Sherwind,modelo
F05C2D31,Archipegaso rojo,armadura,02693477,Arion Sherwind,modelo
F05C2D31,Archipegaso rojo,armadura,0D176028,Arion Sherwind,modelo
F05C2D31,Archipegaso rojo,armadura,1E15FC8A,Arion Sherwind,modelo
F05C2D31,Archipegaso rojo,armadura,24DFD4DA,Arion Sherwind,modelo
F05C2D31,Archipegaso rojo,armadura,3F3BBF71,Arion Sherwind,modelo
F05C2D31,Archipegaso rojo,armadura,9B04579A,Arion Sherwind,modelo
F05C2D31,Archipegaso rojo,armadura,B3AF5BCC,Arion Sherwind,modelo
F05C2D31,Archipegaso rojo,armadura,BE64471E,Arion Sherwind,modelo
8607F429,Argentia,armadura,A920013A,Nora Flexion,modelo
4BA2066B,Arges,armadura,AFEBC3D1,Hippos Kohlt,modelo
CAFDD1FF,Arturo,armadura,6F08BCC1,Bai Long,change+modelo
D13FA5A8,Arturo,armadura,6F08BCC1,Bai Long,modelo
6B6EAC31,Arturo,armadura,6F08BCC1,Bai Long,modelo
5BD74A52,Arturo,armadura,6F08BCC1,Bai Long,modelo
CAFDD1FF,Arturo,armadura,D1B08725,Bai Long,modelo
D13FA5A8,Arturo,armadura,D1B08725,Bai Long,change+modelo
6B6EAC31,Arturo,armadura,D1B08725,Bai Long,modelo
5BD74A52,Arturo,armadura,D1B08725,Bai Long,modelo
CAFDD1FF,Arturo,armadura,E39C587C,Bai Long,modelo
D13FA5A8,Arturo,armadura,E39C587C,Bai Long,modelo
6B6EAC31,Arturo,armadura,E39C587C,Bai Long,modelo
5BD74A52,Arturo,armadura,E39C587C,Bai Long,change+modelo
