# Con que imagen se dibuja cada espiritu.
# id = los 4 bytes tal y como aparecen en la partida.
# icono = ruta dentro de 200_icon/10_icon_chr (vacio = no hay).
# Lo genera herramientas/construir_espiritus.py (NOTAS O-102).
id,familia,rango,icono,modelo,nombre_largo,descripcion,tecnica
0097875D,mixi,1,face/c05029470_l.png,wmm00270,Miximax Trans: <FLC:FUBUKI>,"Lo conocen como el ""Cazaosos"". Bajo su temperamento tranquilo, se oculta una furia sin igual.",327EB79D
00AF952C,armadura,1,aura_armed/c04003500_5100_l.png,was00290_1,"Guiverno blanco, drágon heráldico",Utiliza un keshin como armadura para liberar un poder inconmensurable.,467E091C
01B6FCEE,armadura,3,aura_armed/c05022910_5000_l.png,was00100,"Surtur, gigante de fuego",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
023CFA54,armadura,3,aura_armed/c05023660_5000_l.png,wao00480,"Tachión, hipervelocista",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
0323EE8D,mixi,2,face/c05029450_l.png,wmm00260_h2,Miximax Trans: <FUL:SYU>,Un jugador misterioso y fantasmagórico. Nadie sabe nada sobre su pasado.,F3DC3CB7
0452EB39,mixi,1,face/c05029440_l.png,wmm00230,Miximax Trans: <FUL:HAKURYU>,Un chico que confía plenamente en sus propias habilidades. Mantiene una gran rivalidad con <FLC:TSURUGI>.,96A9E089
04BBB0BF,alma,3,aura_soul/a000110_l.png,wsd000110,Tótem búfalo,Un enorme animal de rebaño con unos cuernos y una fuerza que le confieren una potencia sin igual.,BC37EDF0
0573908A,armadura,2,aura_armed/c04001100_5000_l.png,was00140,"Trickster, ilusionista",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
057BA260,kenshin,2,aura_fs/k000420_l.png,wkd00420,Berserker,Un espíritu de bosque. Es un frenético torbellino que puede con todo.,CBF29259
059C89E8,armadura,1,aura_armed/c04003500_5100_l.png,was00290_h1,"Guiverno blanco, drágon heráldico",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
05FD76CF,kenshin,1,aura_fs/k000940_l.png,wkk00940,"Arges, cíclope colosal",Un espíritu de viento. Defiende su posición con sus brazos hercúleos.,D9D685E7
0617924F,mixi,2,face/c11908150_l.png,wmm00241_h2,Miximax Trans: <FLC:KIRINO>,Un jugador tan bello y esbelto que da el pego como chica. Conoce bien a <FLC:SHINDO>.,5FE340A4
06524E9B,kenshin,4,aura_fs/k000190_l.png,wks00190,Caballo blanco,Un espíritu de montaña. Nunca pierde de vista la portería.,4EF4D0D4
073F662B,especial,5,,mode_change_c06030060,Modo Furia,"Tras superar un trauma del pasado, ahora controla su ira y la convierte en su fuerza.",073F662B
07441C0A,kenshin,3,aura_fs/k000870_l.png,wks00870,"Metis, señora del ingenio",Un espíritu de fuego. Destruye sin piedad a todo rival que se le interpone.,F079A89D
082A77B7,armadura,4,aura_armed/c05023510_5000_l.png,was00860,"Asura, cazador de gloria",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
0897A1A0,armadura,1,aura_armed/c05020700_5000_l.png,was00630_h2,"Atenea, dueña del aire",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
0905247F,kenshin,4,,wko00721,"Sombra de plasma RE, guerrero artificial",Un espíritu de montaña. Está programado para ser infalible.,1667D7AE
0995EF3D,armadura,1,aura_armed/c04001490_5000_l.png,wao00091,"Barius, supersónico",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
09ACEE64,kenshin,1,aura_fs/k000630_l.png,wks00630,"Atenea, dueña del aire",Un espíritu de viento. Es justa a la par que despiadada.,F079A89D
0A6DB6D1,especial,5,,mode_change_c04000150,Modo Dos Caras,Sonríe con amabilidad para esconder su auténtica personalidad y no abrirse a los demás.,0A6DB6D1
0A931D72,armadura,1,aura_armed/c02024410_5000_l.png,wak00950,"Daji, doncella ladina",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
0C316977,alma,4,aura_soul/a000190_l.png,wsd000190,Tótem Garius,Un escamoso depredador de Magmavís que puede retorcer el cuerpo y atacar con su piel blindada.,3A90B7A6
0C63EF26,armadura,4,aura_armed/c04002810_5000_l.png,wak00461,"Gargantúa, gigante metálico",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
0CF136D4,armadura,2,aura_armed/c05023010_5000_l.png,wak00790,"Amorosa, colablanca explosiva",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
0E091089,armadura,5,aura_armed/c04003700_5100_l.png,was00240_h2,"Arturo, paladín de la espada sagrada",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
0E1334F3,alma,4,aura_soul/a000060_l.png,wso000060,Tótem Dohma,Una criatura reptiliana de Sílice que se esconde en la arena y se alimenta de rocas subterráneas.,FE1409FB
1000DA7C,mixi,3,face/c11908140_l.png,wmm00211,Miximax Trans: <FLC:TSURUGI>,Un delantero afín a la oscuridad. Sus increíbles talentos abruman a aliados y rivales por igual.,E94C248D
104D40E7,armadura,2,aura_armed/c04000030_5000_l.png,wad00650_h2,"Brunilda, valquiria abanderada",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
114ED203,mixi,1,face/c11010230_l.png,wmm11010230_st0801,Miximax Trans: Raika,"Alegre y encantadora, es la favorita de todos. Siempre busca nuevas emociones y le importa más el proceso que el resultado.",C112A44F
11886BD4,armadura,4,aura_armed/c05022860_5000_l.png,wao00070,"León, rey de la selva",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
11B3783D,armadura,1,aura_armed/c04003500_5100_l.png,was00290,"Guiverno blanco, drágon heráldico",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
11E810DF,alma,3,aura_soul/a000450_l.png,wso000450,Tótem oso lunar,Un dominante oso silvestre con una mancha blanca en forma de media luna en el pecho.,EA4638BE
1292A62C,kenshin,5,aura_fs/k000240_l.png,wks00240,"Arturo, paladín de la espada sagrada",Un espíritu neutro. Un solo tajo de Excalibur puede decidir un combate.,7114CB1D
129A94C6,armadura,1,aura_armed/c05021820_5000_l.png,wad00720,"Sombra de plasma DF, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
13FFCE3F,mixi,1,face/c05029410_l.png,wmm00210_h2,Miximax Trans: <FST:TENMA>,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco.",F2F2F5EE
14C5B618,mixi,2,face/c11908160_l.png,wmm00251,Miximax Trans: <FLC:KIRINO>,Un jugador tan bello y esbelto que da el pego como chica. Conoce bien a <FLC:SHINDO>.,5FE340A4
15836018,armadura,4,aura_armed/c05028450_5000_l.png,wao00720_1,"Sombra de plasma RE, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
16CBB2FD,mixi,3,face/c11908170_l.png,wmm00231_h2,Miximax Trans: <FLC:TSURUGI>,Un delantero afín a la oscuridad. Sus increíbles talentos abruman a aliados y rivales por igual.,E94C248D
177A8B30,kenshin,2,aura_fs/k000900_l.png,wko00900,"Qinglong, guerrero del este",Un espíritu de bosque. Su rugido deja helados a sus oponentes.,2987CC67
1814E08D,armadura,1,aura_armed/c05022900_5000_l.png,wao00910,"Baihu, guerrero del oeste",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
18B70ACC,armadura,4,aura_armed/c05023620_5000_l.png,wad00920,"Raiden, señor de las tormentas",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
1A214C47,armadura,1,aura_armed/c05028530_5000_l.png,wad00723_1,"Sombra de plasma DF, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
1B100072,kenshin,1,aura_fs/k000490_l.png,wkk00490,"Vega, suerte encarnada",Un espíritu de viento. La suerte siempre le sonríe.,1A85A8CC
1CDDB622,mixi,2,face/c05028120_l.png,wmm00120,Miximax Trans: R. dragones,Una dragona de un mundo fantástico que luchó contra el Rey Arturo. Posee la ferocidad de una bestia y el intelecto de un sabio.,93905818
1DA78F1F,alma,3,aura_soul/a000210_l.png,wss000210,Tótem Doruga,Un feroz reptil de Falam Orbius que destruye todo a su paso con mordiscos demoledores.,3C46FCBB
1DC94936,armadura,3,aura_armed/c05021950_5000_l.png,was00722,"Sombra de plasma TI, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
1E1F0FD7,kenshin,2,,wko02025,Protoanimador,"Sin terminar, pero rebosante de potencial. Concentra tu corazón y todo será posible.",
1E4DD8C2,armadura,2,aura_armed/c05023700_5000_l.png,was00530,"Oneiros, señor de los sueños",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
1EDD1380,kenshin,2,aura_fs/k000280_l.png,wks00280,"Azote negro, señor oscuro","Un espíritu de bosque. Cuando ataca con su hacha, todos se echan a temblar.",3025D004
1F73F030,armadura,3,aura_armed/c05028550_5000_l.png,was00722_1,"Sombra de plasma TI, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
2037656F,armadura,4,aura_armed/c04001610_5000_l.png,wak00111,Titán gigante,Utiliza un keshin como armadura para liberar un poder inconmensurable.,
20B3A370,kenshin,1,aura_fs/k000830_l.png,wkd00830,"Kukulkán, serpiente emplumada",Un espíritu de viento. Consigue el triunfo con un solo batir de alas.,CD184DDF
20F4A684,armadura,2,aura_armed/c04000030_5000_l.png,wad00650_b1,"Brunilda, valquiria abanderada",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
213D0849,kenshin,3,aura_fs/k000300_l.png,wks00300,"Grifo, señor de las bestias",Un espíritu de fuego. Blande una gigantesca espada llameante.,0FC5CBCD
2188D903,especial,5,,mode_change_c11150120,Modo Aphrody,Le sobrepasa la admiración por Aphrody y se transforma en su forma exacta.,2188D903
224794D6,alma,2,aura_soul/a000390_l.png,wss000390,Tótem lobo plateado,Un solitario lobo argénteo con un pelaje místico y un feroz espíritu que vaga sin compañía.,7D77E7A2
228E0FAA,armadura,3,aura_armed/c06030140_5000_l.png,was00021,Caballero Lancelot,Utiliza un keshin como armadura para liberar un poder inconmensurable.,
22B70EF3,kenshin,2,aura_fs/k000680_l.png,wko00680,"Licaón, lobo maldito","Un espíritu de bosque. Si se le eriza el vello, ¡aléjate!",5756CCB7
22E9A219,armadura,4,aura_armed/c05028460_5000_l.png,wao00721_1,"Sombra de plasma RE, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
2346285C,mixi,1,face/c05029410_l.png,wmm00210_b1,Miximax Trans: <FST:TENMA>,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco.",F2F2F5EE
2384628C,kenshin,3,aura_fs/k000230_l.png,wkk00230,"Rey blanco, sabio monarca",Un espíritu de fuego. Su potencia y su sabiduría no tienen parangón.,98E79EFE
24F01BBB,kenshin,4,aura_fs/k000510_l.png,wkk00510,"Grandius, mágico gigante","Un espíritu de montaña. Cuando se hace con el balón, no lo deja escapar.",94A82B52
2672549E,mixi,3,face/c11908170_l.png,wmm00231_b1,Miximax Trans: <FLC:TSURUGI>,Un delantero afín a la oscuridad. Sus increíbles talentos abruman a aliados y rivales por igual.,E94C248D
2682D2DE,alma,3,aura_soul/a000550_l.png,wso000550,Tótem pegaso rojo,Un feroz pegaso rojo con una crin negra que recorre los cielos cual meteorito.,E6098D12
282F6555,armadura,2,aura_armed/c05023610_5000_l.png,wak00260,"Demogorgo, duque destructor",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
29B7D181,kenshin,2,aura_fs/k000380_l.png,wks00380,"Reina negra, encantadora real",Un espíritu de bosque. Una poderosísima aliada en el campo.,8DA7FDFF
29BDFB74,especial,5,,mode_change_c05020700,Modo Reina,"Deja de hacerse la inocente y se convierte en alguien feroz y dominante, que no tiene miedo a nada.",29BDFB74
2B9E7006,armadura,3,aura_armed/c05023410_5000_l.png,wak00500,"Kraon, guerrero dragón",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
2BB77423,mixi,3,face/c05028020_l.png,wmm00020,Miximax Trans: <FLC:TSURUGI>,Un delantero afín a la oscuridad. Sus increíbles talentos abruman a aliados y rivales por igual.,E94C248D
2D4B8E46,armadura,1,aura_armed/c05028440_5000_l.png,wad00722_1,"Sombra de plasma DF, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
2DD7F200,armadura,3,aura_armed/c01000100_5000_l.png,was00102,"Surtur, gigante de fuego",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
2E08217A,alma,5,aura_soul/a000350_l.png,wss000350,Tótem Dragunova,Un depredador acorazado de Falam Orbius que despedaza a su presa con sus afiladas garras y cola.,C726EE3B
2E5363F4,armadura,4,aura_armed/c05022710_5000_l.png,was00310,Cuervo alas negras,Utiliza un keshin como armadura para liberar un poder inconmensurable.,
2E5B511E,kenshin,4,aura_fs/k000670_l.png,wkd00670,"Xuan-Wu, guerrero del norte",Un espíritu de montaña. Impasible como una roca y frío como el hielo.,1201518B
2EF8BB5F,kenshin,1,aura_fs/k000640_l.png,wko00640,"Comadreja, garras de hoz",Un espíritu de viento. Se deshace de sus enemigos con una velocidad devastadora.,68B6D77E
2F721847,mixi,3,face/c05028110_l.png,wmm00060,Miximax Trans: <FLC:OKITA>,Soberbio espadachín del Shinsengumi. Ni su enfermedad le impedirá llevar a cabo su misión.,6D7E79EB
2F7E228C,armadura,3,aura_armed/c05023500_5000_l.png,wao00810,"Huargo, can infernal",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
302EDE0B,kenshin,3,aura_fs/k000970_l.png,wks00970,"Astaroth, príncipe del caos",Un espíritu de fuego. Engulle el campo con su aura infernal.,3F65301A
30A0384E,armadura,4,aura_armed/c05021010_5000_l.png,wak00170,"Lot, gran jugador",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3163F14E,alma,3,aura_soul/a000510_l.png,wsk000510,Tótem Dalfonus,"Una criatura marina con aspecto de delfín de Naiadi, juguetona y muy querida por los niños.",FC04A925
31A847D8,armadura,3,aura_armed/c05021900_5000_l.png,was00720,"Sombra de plasma TI, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3219528B,armadura,3,aura_armed/c04002900_5000_l.png,was00040,"Apolo, dios del sol",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
32B09890,armadura,2,aura_armed/c04002490_5000_l.png,wao00151,"Garas, maestra de ilusiones",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3326BB0A,kenshin,2,,wkk00723,"Sombra de plasma PA, guerrero artificial",Un espíritu de bosque. Calcula cada parada con gran precisión.,45D13148
339A08EE,mixi,2,face/c05029450_l.png,wmm00260_b1,Miximax Trans: <FUL:SYU>,Un jugador misterioso y fantasmagórico. Nadie sabe nada sobre su pasado.,F3DC3CB7
33D120E8,especial,5,,mode_change_c08030032,Modo Santurrón,Se mueve con una gracia y compostura casi angelicales para cautivar y engañar a sus rivales.,33D120E8
35651956,kenshin,2,aura_fs/k000200_l.png,wkd00200,"Alfil blanco, mensajero divino",Un espíritu de bosque. Es capaz de robar el balón sin que el enemigo se dé cuenta.,CF37FE3D
356D2BBC,armadura,2,aura_armed/c05020110_5000_l.png,was00760,"Robin, caballero ultraveloz",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
36178879,alma,2,aura_soul/a000230_l.png,wsk000230,Tótem Mosfi,Una criatura nariguda de Fertilia cuyos cuernos dan un fruto que cambia según su estado de ánimo.,E8569860
3619AB35,kenshin,2,aura_fs/k002030_l.png,wko02030_st0701,Animador,Un espíritu de bosque. Surge de la unidad y vive para difundir alegría.,3710E401
36AE742C,mixi,2,face/c11908150_l.png,wmm00241_b1,Miximax Trans: <FLC:KIRINO>,Un jugador tan bello y esbelto que da el pego como chica. Conoce bien a <FLC:SHINDO>.,5FE340A4
382E47C3,armadura,1,aura_armed/c05020700_5000_l.png,was00630_b1,"Atenea, dueña del aire",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
394C2003,especial,5,,mode_change_c03030430,Modo León Salvaje,"El fragor de la batalla despierta sus instintos primarios, y desata el feroz espíritu de un león salvaje.",394C2003
3A0B72EB,armadura,4,aura_armed/c04003230_5100_l.png,wad00210,"Torre blanca, centinela vigía",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3B5BAB76,alma,1,aura_soul/a000090_l.png,wsd000090,Tótem Dolfinus,Una criatura de Naiadi con aspecto de delfín que puede nadar a una velocidad de 200 nudos.,7BA1ACBF
3D752B86,armadura,1,aura_armed/c04001700_5000_l.png,was00411,"Roc, ave mitológica",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3D773936,kenshin,4,aura_fs/k000050_l.png,wks00050,"Musashi, bravo samurái",Un espíritu de montaña. Usa sus dos katanas con una destreza legendaria.,31FC39EA
3DBC9A96,alma,2,aura_soul/a000120_l.png,wso000120,Tótem pavo real,Un ave deslumbrante que cautiva a todos con un colorido plumaje y una cola de lo más elegante.,3D4724D0
3DF9DF73,armadura,2,aura_armed/c05029620_5000_l.png,wak00850,"Papelín, rey de los empollones",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3E56E727,armadura,1,aura_armed/c05023110_5000_l.png,was00080,"Chione, reina de la nieve",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3E80ACFA,especial,5,,wap09002,Espíritu Miximax,Descripción de Ghost Miximax.,
3EB0F6EA,armadura,5,aura_armed/c04003700_5100_l.png,was00240_b1,"Arturo, paladín de la espada sagrada",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3EFB9A28,armadura,1,aura_armed/c05021840_5000_l.png,wad00722,"Sombra de plasma DF, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3F82703C,armadura,3,aura_armed/c04000100_5100_l.png,was00303_h1,"Grifo, señor de las bestias",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
3FCE53F3,kenshin,1,aura_fs/k000160_l.png,wkk00160,"Goliat, titán",Un espíritu de viento. Es un soldado gigante construido para la defensa.,1E40C4A8
40A766FE,armadura,4,aura_armed/c05021500_5100_l.png,wad00670_b1,"Xuan-Wu, guerrero del norte",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
41A69C44,mixi,2,face/c05029450_l.png,wmm00260,Miximax Trans: <FUL:SYU>,Un jugador misterioso y fantasmagórico. Nadie sabe nada sobre su pasado.,F3DC3CB7
42AE4670,kenshin,2,aura_fs/k000790_l.png,wkk00790,"Amorosa, colablanca explosiva","Un espíritu de bosque. Gracias a sus malas artes, siempre se sale con la suya.",C7B3077A
43037603,armadura,3,aura_armed/c04000100_5100_l.png,was00302,"Grifo, señor de las bestias",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
4315E826,mixi,1,face/c05029440_l.png,wmm00230_b1,Miximax Trans: <FUL:HAKURYU>,Un chico que confía plenamente en sus propias habilidades. Mantiene una gran rivalidad con <FLC:TSURUGI>.,96A9E089
439F0A45,armadura,1,aura_armed/c05028420_5000_l.png,wad00720_1,"Sombra de plasma DF, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
44CC6DD6,kenshin,1,aura_fs/k000950_l.png,wkk00950,"Daji, doncella ladina",Un espíritu de viento. Manipula sabiamente a sus enemigos para robarles el balón.,C7B3077A
4563F020,mixi,1,face/c05029460_l.png,wmm00220,Miximax Trans: <FST:TENMA>,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco.",F2F2F5EE
462194E4,mixi,3,face/c11908140_l.png,wmm00211_b1,Miximax Trans: <FLC:TSURUGI>,Un delantero afín a la oscuridad. Sus increíbles talentos abruman a aliados y rivales por igual.,E94C248D
46750713,kenshin,4,aura_fs/k000860_l.png,wks00860,"Asura, cazador de gloria",Un espíritu de montaña. Sus tres cabezas le otorgan el triple de poder.,B148B384
46CDB632,armadura,3,aura_armed/c05028510_5000_l.png,was00721_1,"Sombra de plasma TI, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
475A54DB,armadura,4,aura_armed/c05021860_5000_l.png,wao00721,"Sombra de plasma RE, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
47981F48,especial,5,,wap01003,Guardián férreo,"Poniendo su alma en la defensa, el jugador se vuelve un muro infranqueable.",
47F39EC0,armadura,1,aura_armed/c05020700_5000_l.png,was00630,"Atenea, dueña del aire",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
480D3E3F,armadura,4,aura_armed/c04002300_5100_l.png,was00190,Caballo blanco,Utiliza un keshin como armadura para liberar un poder inconmensurable.,
48B4206B,mixi,2,face/c05028030_l.png,wmm00030_b1,Miximax Trans: <FUL:SYU>,Un jugador misterioso y fantasmagórico. Nadie sabe nada sobre su pasado.,F3DC3CB7
491B6CAE,armadura,3,aura_armed/c06037410_5100_l.png,was00870,"Metis, señora del ingenio",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
4997985B,armadura,4,aura_armed/c04002210_5000_l.png,wak00431,"Barron, coloso metálico",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
4B24D2C4,armadura,2,aura_armed/c05023050_5000_l.png,wad00420,Berserker,Utiliza un keshin como armadura para liberar un poder inconmensurable.,
4B2CE02E,kenshin,2,aura_fs/k000140_l.png,wks00140,"Trickster, ilusionista",Un espíritu de bosque. Confunde a los rivales con sus trucos.,799E12D5
4BA2066B,armadura,1,aura_armed/c05023210_5000_l.png,wak00940,"Arges, cíclope colosal",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
4C3D261A,armadura,4,aura_armed/c05028490_5000_l.png,wao00723_1,"Sombra de plasma RE, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
4C5A8BA9,armadura,2,aura_armed/c04003220_5100_l.png,was00221,"Reina blanca, encantadora real",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
4C638AF0,kenshin,3,aura_fs/k000480_l.png,wko00480,"Tachión, hipervelocista",Un espíritu de fuego. Es imposible percibir sus movimientos a simple vista.,B58078C8
4C652F54,armadura,4,aura_armed/c05029840_5000_l.png,wad00672,"Xuan-Wu, guerrero del norte",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
4DFC1203,especial,5,,mode_change_c11801040,Modo Brutal,"Cuando alguien lo acorrala, aparece un lado suyo oculto y despiadado.",4DFC1203
4FE98C4A,kenshin,3,aura_fs/k000100_l.png,wks00100,"Surtur, gigante de fuego",Un espíritu de fuego. Su inmensa fuerza le permite arrollar a sus enemigos.,C27E1488
5012A866,kenshin,2,aura_fs/k000530_l.png,wks00530,"Oneiros, señor de los sueños","Un espíritu de bosque. Para él, la victoria es mucho más que un sueño.",799E12D5
50595129,mixi,1,face/c05028140_l.png,wmm00055_h1,Miximax Trans: Zhuge Liang,"La estratega más brillante de <FUL:RYUBI>. Hermosa, pero reservada y esquiva.",BD04D9AC
50826324,armadura,2,aura_armed/c04003700_5000_l.png,was00280,"Azote negro, señor oscuro",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
50D90BC6,alma,3,aura_soul/a000440_l.png,wso000440,Tótem Brakias,Un depredador dracónico de Falam Orbius que se enfrenta a todo aquel que ose acercarse.,11262A3E
5118C540,armadura,2,aura_armed/c05021920_5000_l.png,wak00721,"Sombra de plasma PA, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
526E1F5B,kenshin,3,aura_fs/k002060_l.png,wks02060_st0901,"Niké, mágico gigante",Un espíritu de fuego. Domina a todos con fuego puro y cero piedad.,E47D5E10
53681E95,alma,3,aura_soul/a000320_l.png,wso000320,Tótem Univolt,Una criatura de aspecto equino de Nomor que golpea a sus enemigos con un inmenso cuerno.,6CE162E8
53AF38CB,armadura,3,aura_armed/c04003280_5100_l.png,wao00183,Peón blanco,Utiliza un keshin como armadura para liberar un poder inconmensurable.,
54126D0C,kenshin,3,aura_fs/k002020_l.png,wks02020_st0701,"Conejo de cristal, lanza sagrada","Un espíritu de fuego. Golpea una vez, suficiente para acabar con todo.",1C0B0496
54D5D6B2,armadura,1,aura_armed/c04001500_5000_l.png,was00131,"Poseidón, rey de los mares",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
