# Dato de la ficha de cada personaje, sacado de chara_param.
# identidad = el valor del campo 0xBA162C11 de la partida.
# campo_fc = lo que hay que escribir en 0xFC830AAC (NOTAS O-71).
# Lo genera herramientas/construir_ficha_jugador.py.
identidad,campo_fc
C19FE60C,2
EAB2B5CF,4
F3A9848E,2
BCE81249,4
A5F32308,2
8EDE70CB,1
97C5418A,3
105D5D45,4
09466C04,2
D946BD7A,3
C05D8C3B,2
EB70DFF8,4
F26BEEB9,1
BD2A787E,2
A431493F,1
8F1C1AFC,1
96072BBD,3
119F3772,3
08840633,2
DB000323,1
C21B3262,3
E93661A1,4
BB5FB56C,4
CC5885FA,4
9072E6AF,2
8969D7EE,3
C6284129,3
DF337068,2
F41E23AB,4
ED0512EA,1
6A9D0E25,4
73863F64,4
A386EE1A,1
BA9DDF5B,3
91B08C98,4
88ABBDD9,4
C7EA2B1E,3
DEF11A5F,3
F5DC499C,2
BD947787,1
A48F46C6,3
871F0DCC,2
CBDA4F65,1
DE4F15A6,4
6245E74A,2
E5DDFB85,4
0629224E,3
2CC61BBA,4
7B5ED60B,1
507385C8,2
35DD2AFB,2
341F40CC,3
FCC6CAC4,2
1F32130F,1
4968B489,2
1EF07938,4
07EB4879,1
48AADEBE,4
51B1EFFF,3
7A9CBC3C,4
2BCFB366,4
32D48227,2
73BF3A1C,3
589269DF,4
4189589E,4
0EC8CE59,3
17D3FF18,4
3CFEACDB,2
25E59D9A,1
A27D8155,3
BB66B014,2
6B66616A,3
727D502B,2
595003E8,3
404B32A9,4
3D3CC6EC,3
0F0AA46E,3
1611952F,1
6C6FC9B6,4
7574F8F7,3
4EDF13AC,2
65F2406F,3
7CE9712E,3
33A8E7E9,4
2AB3D6A8,2
019E856B,4
1885B42A,3
9F1DA8E5,1
860699A4,1
560648DA,3
4F1D799B,3
326A8DDE,4
7D2B1B19,2
64302A58,3
005CEF5C,3
2B71BC9F,2
510FE006,4
4814D147,1
CC8F847D,3
E7A2D7BE,1
FEB9E6FF,2
B1F87038,3
A8E34179,3
83CE12BA,1
9AD523FB,4
1D4D3F34,4
04560E75,2
D456DF0B,4
CD4DEE4A,4
E660BD89,3
FF7B8CC8,4
B03A1A0F,1
A9212B4E,3
820C788D,2
