# Personajes que el juego da por alguna via (NOTAS O-205). Lo genera herramientas/construir_fichables.py.
# fuentes: universo | basara | tienda | unica | correo | cronica | archivo | extra
identidad,nombre,fuentes
000CCA62,Ignacio Gerhardt,cronica|archivo
002513F9,Cliff Tomlinson,universo|cronica
00491555,Lumina,universo
004A74D5,Kipp Sycamore,archivo
005CEF5C,Drexel Kixley,universo|cronica
006246A5,Mars Hung,universo|cronica
00663444,John Bleach,universo
006DEC12,Federico Rubiera,universo|cronica
006F8F1C,Montana Fleetfoot,universo
00821881,Banda Crix,universo|cronica
008297CC,Scott Springer,universo
009859CF,Minerva Elderbright,archivo
009F3580,Borboleta Barboza,universo|cronica
00AA63B1,Arden Drax,universo|cronica
00AD1DDF,Dasan,universo|cronica
00B5CE9C,Cade Shelby,universo|tienda|unica
00BDA206,Borel Aurora,universo|cronica
00BF4E45,Foley Edge,universo
00CA6827,Kev Fiyah,universo
00CAE76A,Morgan Stern,universo|cronica
00E08E4F,Khefren Chepren,universo
01080210,Monty Tasker,universo
01088D5D,Spike Stiletto,universo|cronica
01189533,Silica Fieltour,universo
0122E478,Archie Rider,universo|cronica
0140FDFB,Ed Halley,universo
015A33F8,Patrice Kampanee,archivo
016F77E8,Eka,universo|cronica
017D2472,Spookie Otherside,universo
018B7F62,Fei Rune,universo
0198C201,Andy Wallpole,universo
019E856B,Elijah Singleton,universo|cronica
01A02C92,Coryn Fong,universo|cronica
01A0E982,Fei Rune,universo|tienda|unica
01A45E73,Travis Borer,universo
01ADE52B,Rio Sands,universo
01AF8625,Joan Rodríguez,universo|cronica
01E779CE,Ben Simmons,universo|cronica
01F7A52D,Kali Seaborn,archivo
02094A80,Anders Thettock,universo
02154140,Adal Miramond,archivo
02197A14,Chell,universo|cronica
0219E23F,Robert Kleiser,universo|cronica
021C166F,Vance Bookings,universo
021C7047,Dylan Keats,universo|cronica
02208A1D,Carl Rhodes,universo
0222D9BE,Lorcan Oxfield,universo
02293145,Ash Cagger,universo
022B524B,Roland Pérec,universo|cronica
0236F007,Bill Mumm,universo
024A9476,Raika Shinohara,basara
025029AD,Thierry Reyes,universo|tienda|unica
0263ADA0,Jack Wallside,universo|cronica
0268FABB,Eddy O'Ryan,universo|cronica
0275D7BA,Mike Passing,universo|cronica
028C5933,Socrat Eiss,universo|cronica
028CD67E,Montaine Skalin,universo
02C42995,Alton Oldhat,universo
02E4DD1D,Erik Eagle,universo|cronica
02F9F01C,Dos Lightning,universo
0305066D,Ryker Strive,archivo
030643A2,Paul Downs,universo
030F668B,Gazelle,universo|tienda|unica
0317B2A7,Ayle Holland,universo
0326B72A,Ace Bragg,universo
032EB7DF,Arden Drax,universo
03322173,Tyler Thomas,universo
03397668,Bay Laurel,universo|cronica
033B9A2B,Cham Barra,universo
034E3304,Connor Fuschius,universo|cronica
034EBC49,Kit Fischer,universo
038E4D84,Soldado de terracota 3,universo|cronica
03A148DA,Steve Grim,universo|cronica
03AA908C,Jude Sharp,universo|cronica
03B7BD8D,Maurice Badgame,universo|cronica
03BCEA96,Gadish Oldman,universo|cronica
03CB20B7,Carol Fairfoot,universo|cronica
03DE1A70,Norbert Poindexter,universo|cronica
03DE7C58,Theo Riser,universo
03E0B389,He Liu,universo
03E2E02A,Bertram Manning,universo
03E9387C,Michel Morland,universo|cronica
03EB5B72,Singer Long,universo
03F49A30,Al Reddie,universo
04079A90,Astero Black,universo|cronica
040F6433,Brimstone Bol,universo|cronica
040FEB7E,Tex Tingle,universo
043232F7,Ginger Carret,universo
04471495,Candy Reviva,universo
04479BD8,Spotter,universo
04560E75,Vex Frieden,universo|cronica
045714AC,Jory Jinx,universo
04A01582,Caleb Stonewall,universo|cronica
04A86F4B,Chuck Dollman,universo|cronica
04B2A148,Selen Dippity,archivo
04D7D484,Neville List,universo
04DADE77,Lucy Wongfu,universo|cronica
04E090A0,Chris Ellis,universo|cronica
04E2F3AE,Indy Iffrent,universo
04EB48F6,Junior Gambit,universo
04F417C5,Shawn Froste,tienda|unica
04FDBDA1,Aoba Gyr,universo|cronica
0502906E,Arculus Orbes,tienda|unica
050B3A0A,Chris Ticker,universo|cronica
0515BEB3,Marc O'Lepsy,universo
05209999,Wyther Longfeys,universo
0522FA97,Cecil Crowley ,universo|cronica
052922C1,Nate Checker,universo
053FD796,Nyira Fezun,universo|cronica
05627FB5,Lars Luceafăr,universo|cronica
056A057C,Jason Jones,universo|cronica
05857EA2,Roland Allardyce,universo
0585F1EF,Sirius Starsky,universo|cronica
05957E9B,Vinda Koral,universo|cronica
059DB095,Papa,universo|cronica
