# Donde va cada puesto (0-10) en cada formacion, del propio juego (NOTAS O-160).
# x: -1 izquierda .. 1 derecha; y: 0.9 porteria propia .. 0.1 arriba. pase = orden de pase.
# px, py: donde pinta el juego la tarjeta en su pantalla (0..1), medido de capturas. legal: se puede llevar.
# Lo genera herramientas/construir_formaciones.py.
id,nombre,puesto,posicion,tipo,x,y,pase,ataque,defensa,px,py,legal
8FAE4A88,3-5-2 Libertad,0,POR,1,0.00,0.90,2,4,2,0.500,0.952,1
8FAE4A88,3-5-2 Libertad,1,DF,2,-0.50,0.65,4,4,2,0.250,0.746,1
8FAE4A88,3-5-2 Libertad,2,DF,2,0.00,0.65,4,4,2,0.500,0.746,1
8FAE4A88,3-5-2 Libertad,3,DF,2,0.50,0.65,5,4,2,0.750,0.746,1
8FAE4A88,3-5-2 Libertad,4,MC,5,-0.30,0.45,6,4,2,0.250,0.540,1
8FAE4A88,3-5-2 Libertad,5,MC,5,0.30,0.45,8,4,2,0.750,0.540,1
8FAE4A88,3-5-2 Libertad,6,MC,7,-0.70,0.30,9,4,2,0.143,0.333,1
8FAE4A88,3-5-2 Libertad,7,MC,6,0.00,0.25,9,4,2,0.500,0.310,1
8FAE4A88,3-5-2 Libertad,8,MC,7,0.70,0.30,10,4,2,0.857,0.333,1
8FAE4A88,3-5-2 Libertad,9,DC,8,-0.35,0.10,10,4,2,0.271,0.079,1
8FAE4A88,3-5-2 Libertad,10,DC,8,0.35,0.10,9,4,2,0.729,0.079,1
966A278F,3-6-1 Hexa,0,POR,1,0.00,0.90,1,4,2,0.500,0.952,1
966A278F,3-6-1 Hexa,1,DF,2,-0.65,0.63,2,4,2,0.143,0.746,1
966A278F,3-6-1 Hexa,2,DF,2,0.00,0.65,4,4,2,0.500,0.746,1
966A278F,3-6-1 Hexa,3,DF,2,0.65,0.63,9,4,2,0.857,0.746,1
966A278F,3-6-1 Hexa,4,MC,7,-0.80,0.33,8,4,2,0.179,0.317,1
966A278F,3-6-1 Hexa,5,MC,5,-0.30,0.43,4,4,2,0.350,0.540,1
966A278F,3-6-1 Hexa,6,MC,5,0.30,0.43,7,4,2,0.650,0.540,1
966A278F,3-6-1 Hexa,7,MC,7,0.80,0.33,9,4,2,0.829,0.317,1
966A278F,3-6-1 Hexa,8,MC,4,-0.35,0.23,10,4,2,0.214,0.127,1
966A278F,3-6-1 Hexa,9,MC,4,0.35,0.23,10,4,2,0.814,0.127,1
966A278F,3-6-1 Hexa,10,DC,8,0.00,0.10,9,4,2,0.500,0.071,1
BA0B2961,4-3-3 Delta,0,POR,1,0.00,0.90,2,5,2,0.500,0.952,1
BA0B2961,4-3-3 Delta,1,DF,3,-0.70,0.57,6,5,2,0.171,0.492,1
BA0B2961,4-3-3 Delta,2,DF,2,-0.25,0.65,1,5,2,0.357,0.698,1
BA0B2961,4-3-3 Delta,3,DF,2,0.25,0.65,4,5,2,0.650,0.698,1
BA0B2961,4-3-3 Delta,4,DF,3,0.70,0.57,7,5,2,0.836,0.492,1
BA0B2961,4-3-3 Delta,5,MC,6,-0.35,0.38,9,5,2,0.343,0.278,1
BA0B2961,4-3-3 Delta,6,MC,5,0.00,0.50,11,5,2,0.500,0.492,1
BA0B2961,4-3-3 Delta,7,MC,6,0.35,0.38,10,5,2,0.657,0.278,1
BA0B2961,4-3-3 Delta,8,DC,9,-0.70,0.17,9,5,2,0.136,0.063,1
BA0B2961,4-3-3 Delta,9,DC,8,0.00,0.10,10,5,2,0.500,0.063,1
BA0B2961,4-3-3 Delta,10,DC,9,0.70,0.17,9,5,2,0.864,0.063,1
2C3B2E16,4-3-3 Triángulo,0,POR,1,0.00,0.90,2,5,2,0.500,0.952,1
2C3B2E16,4-3-3 Triángulo,1,DF,2,-0.30,0.65,6,5,2,0.343,0.746,1
2C3B2E16,4-3-3 Triángulo,2,DF,2,0.30,0.65,7,5,2,0.650,0.746,1
2C3B2E16,4-3-3 Triángulo,3,DF,3,-0.70,0.55,9,5,2,0.129,0.540,1
2C3B2E16,4-3-3 Triángulo,4,DF,3,0.70,0.55,10,5,2,0.864,0.540,1
2C3B2E16,4-3-3 Triángulo,5,MC,4,0.00,0.33,9,5,2,0.500,0.270,1
2C3B2E16,4-3-3 Triángulo,6,MC,5,-0.40,0.43,5,5,2,0.200,0.333,1
2C3B2E16,4-3-3 Triángulo,7,MC,5,0.40,0.43,5,5,2,0.800,0.333,1
2C3B2E16,4-3-3 Triángulo,8,DC,8,0.00,0.10,9,5,2,0.500,0.056,1
2C3B2E16,4-3-3 Triángulo,9,DC,9,-0.70,0.17,8,5,2,0.136,0.079,1
2C3B2E16,4-3-3 Triángulo,10,DC,9,0.70,0.17,8,5,2,0.864,0.079,1
199E4DFF,4-4-2 Caja,0,POR,1,0.00,0.90,2,3,4,0.500,0.952,1
199E4DFF,4-4-2 Caja,1,DF,2,-0.20,0.65,5,3,4,0.229,0.833,1
199E4DFF,4-4-2 Caja,2,DF,2,0.20,0.65,6,3,4,0.779,0.833,1
199E4DFF,4-4-2 Caja,3,DF,3,-0.70,0.60,5,3,4,0.179,0.635,1
199E4DFF,4-4-2 Caja,4,DF,3,0.70,0.60,6,3,4,0.821,0.635,1
199E4DFF,4-4-2 Caja,5,MC,5,-0.35,0.43,7,3,4,0.357,0.444,1
199E4DFF,4-4-2 Caja,6,MC,5,0.35,0.43,8,3,4,0.650,0.444,1
199E4DFF,4-4-2 Caja,7,MC,4,-0.60,0.30,9,3,4,0.229,0.246,1
199E4DFF,4-4-2 Caja,8,MC,4,0.60,0.30,10,3,4,0.786,0.246,1
199E4DFF,4-4-2 Caja,9,DC,8,-0.20,0.15,10,3,4,0.357,0.056,1
199E4DFF,4-4-2 Caja,10,DC,8,0.20,0.15,9,3,4,0.650,0.056,1
A3CF4466,4-4-2 Diamante,0,POR,1,0.00,0.90,3,4,2,0.500,0.952,1
A3CF4466,4-4-2 Diamante,1,DF,2,-0.20,0.65,5,4,2,0.350,0.754,1
A3CF4466,4-4-2 Diamante,2,DF,2,0.20,0.65,5,4,2,0.650,0.754,1
A3CF4466,4-4-2 Diamante,3,DF,3,-0.70,0.60,6,4,2,0.193,0.556,1
A3CF4466,4-4-2 Diamante,4,DF,3,0.70,0.60,7,4,2,0.807,0.556,1
A3CF4466,4-4-2 Diamante,5,MC,5,0.00,0.45,8,4,2,0.500,0.556,1
A3CF4466,4-4-2 Diamante,6,MC,7,-0.30,0.35,9,4,2,0.286,0.341,1
A3CF4466,4-4-2 Diamante,7,MC,7,0.30,0.35,10,4,2,0.714,0.341,1
A3CF4466,4-4-2 Diamante,8,MC,4,0.00,0.25,9,4,2,0.500,0.143,1
A3CF4466,4-4-2 Diamante,9,DC,8,-0.55,0.15,10,4,2,0.207,0.087,1
A3CF4466,4-4-2 Diamante,10,DC,8,0.55,0.15,9,4,2,0.793,0.087,1
005A20F8,4-5-1 Equilibrio,0,POR,1,0.00,0.90,2,3,3,0.500,0.952,1
005A20F8,4-5-1 Equilibrio,1,DF,2,-0.25,0.65,3,3,3,0.336,0.746,1
005A20F8,4-5-1 Equilibrio,2,DF,2,0.25,0.65,4,3,3,0.664,0.746,1
005A20F8,4-5-1 Equilibrio,3,DF,3,-0.70,0.60,6,3,3,0.143,0.540,1
005A20F8,4-5-1 Equilibrio,4,DF,3,0.70,0.60,7,3,3,0.857,0.540,1
005A20F8,4-5-1 Equilibrio,5,MC,4,0.10,0.22,10,3,3,0.500,0.238,1
005A20F8,4-5-1 Equilibrio,6,MC,5,-0.22,0.43,8,3,3,0.207,0.349,1
005A20F8,4-5-1 Equilibrio,7,MC,5,0.22,0.43,9,3,3,0.793,0.349,1
005A20F8,4-5-1 Equilibrio,8,MC,7,-0.70,0.28,5,3,3,0.143,0.127,1
005A20F8,4-5-1 Equilibrio,9,MC,7,0.70,0.28,5,3,3,0.857,0.127,1
005A20F8,4-5-1 Equilibrio,10,DC,8,-0.10,0.08,5,3,3,0.500,0.032,1
0777981F,5-4-1 Doble Volante,0,POR,1,0.00,0.90,3,1,5,0.500,0.952,1
0777981F,5-4-1 Doble Volante,1,DF,3,-0.75,0.58,6,1,5,0.186,0.540,1
0777981F,5-4-1 Doble Volante,2,DF,2,-0.40,0.63,1,1,5,0.200,0.746,1
0777981F,5-4-1 Doble Volante,3,DF,2,0.00,0.65,2,1,5,0.500,0.746,1
0777981F,5-4-1 Doble Volante,4,DF,2,0.40,0.63,5,1,5,0.800,0.746,1
0777981F,5-4-1 Doble Volante,5,DF,3,0.75,0.58,9,1,5,0.821,0.540,1
0777981F,5-4-1 Doble Volante,6,MC,4,-0.50,0.25,10,1,5,0.200,0.143,1
0777981F,5-4-1 Doble Volante,7,MC,5,-0.20,0.43,6,1,5,0.350,0.341,1
0777981F,5-4-1 Doble Volante,8,MC,5,0.20,0.43,6,1,5,0.650,0.341,1
0777981F,5-4-1 Doble Volante,9,MC,4,0.50,0.25,10,1,5,0.800,0.143,1
0777981F,5-4-1 Doble Volante,10,DC,8,0.00,0.10,9,1,5,0.500,0.079,1
FBDED9BB,B-Club de Béisbol,0,POR,1,0.00,0.90,2,2,4,,,0
FBDED9BB,B-Club de Béisbol,1,DF,3,0.35,0.48,4,2,4,,,0
FBDED9BB,B-Club de Béisbol,2,DF,3,-0.35,0.48,5,2,4,,,0
FBDED9BB,B-Club de Béisbol,3,DF,2,0.00,0.68,0,2,4,,,0
FBDED9BB,B-Club de Béisbol,4,DC,8,0.05,0.25,0,2,4,,,0
6DEEDECC,B-Nagumo Hara,0,POR,1,0.00,0.90,2,3,3,,,0
6DEEDECC,B-Nagumo Hara,1,DF,3,0.20,0.52,4,3,3,,,0
6DEEDECC,B-Nagumo Hara,2,DC,9,-0.15,0.22,0,3,3,,,0
6DEEDECC,B-Nagumo Hara,3,DF,3,-0.20,0.52,5,3,3,,,0
6DEEDECC,B-Nagumo Hara,4,DC,9,0.15,0.22,0,3,3,,,0
D7BFD755,B-Raimon,0,POR,1,0.00,0.90,2,3,3,,,0
D7BFD755,B-Raimon,1,DF,2,-0.30,0.48,4,3,3,,,0
