# Extraido de la tabla de Cheat Engine de EasyGameCheatEngine para la
# version 7.1.1 del juego. Los identificadores se usan como datos; el
# credito es suyo. Los ids estan tal y como los muestra Cheat Engine.
id_ce,id_partida,nombre,clase
46071079,79100746,Acker Reese (Pink),personaje con rareza Hero
E86F81E8,E8816FE8,Acker Reese (White-Black),personaje con rareza Hero
4CA0D52D,2DD5A04C,Aiden Froste (Pink),personaje con rareza Hero
CB00F04E,4EF000CB,Aiden Froste (Red),personaje con rareza Hero
1665D364,64D36516,Alexander Allegrov (Red),personaje con rareza Hero
91C5F607,07F6C591,Alexander Allegrov (Pink),personaje con rareza Hero
64D90B98,980BD964,Alix La Fontaine (White-Black),personaje con rareza Hero
CAB19A09,099AB1CA,Alix La Fontaine (Pink),personaje con rareza Hero
1FB2701F,1F70B21F,Alpha (Pink),personaje con rareza Hero
367AC4ED,EDC47A36,Alpha (White-Black),personaje con rareza Hero
5C37780E,0E78375C,Archer Hawkins (Red),personaje con rareza Hero
75FFCCFC,FCCCFF75,Archer Hawkins (Pink),personaje con rareza Hero
2CCA249C,9C24CA2C,Arculus Orbes (Pink),personaje con rareza Hero
0502906E,6E900205,Arculus Orbes (White-Black),personaje con rareza Hero
0D176028,2860170D,Arion Sherwind (White-Black),personaje con rareza Hero
24DFD4DA,DAD4DF24,Arion Sherwind (Pink),personaje con rareza Hero
5ED29F3F,3F9FD25E,Austin Hobbes (Pink),personaje con rareza Hero
771A2BCD,CD2B1A77,Austin Hobbes (Red),personaje con rareza Hero
9634AFB0,B0AF3496,Axel Blaze (White-Black),personaje con rareza Hero
BFFC1B42,421BFCBF,Axel Blaze (Pink),personaje con rareza Hero
D1B08725,2587B0D1,Bailong (Pink),personaje con rareza Hero
F87833D7,D73378F8,Bailong (Red),personaje con rareza Hero
8033C66B,6BC63380,Bash Lancer (Red),personaje con rareza Hero
A9FB7299,9972FBA9,Bash Lancer (Pink),personaje con rareza Hero
3DEB4ED5,D54EEB3D,Basile Hardy (White-Black),personaje con rareza Hero
9383DF44,44DF8393,Basile Hardy (Pink),personaje con rareza Hero
