# A que altura (0-100 %) empiezan los hombros en cada busto (NOTAS O-149).
# Lo genera herramientas/construir_hombros.py.
cuerpo,hombro
f001005_10_00,78
f001602_30_00,84
f001602_31_00,84
f001608_30_00,80
o000401_10_00,85
o000402_10_00,85
o000405_10_00,80
o000408_10_00,79
o000501_10_00,81
o000502_10_00,82
o000505_10_00,79
o000508_10_00,76
o000601_10_00,84
o000602_10_00,87
o000605_10_00,79
o000608_10_00,77
o000701_10_00,83
o000702_10_00,82
o000705_10_00,79
o000708_10_00,77
o000803_10_00,100
o000804_10_00,99
o000903_10_00,95
o000904_10_00,93
o001001_10_00,85
o001002_10_00,90
o001006_10_00,74
o001006_10_10,75
o001007_10_00,74
o001007_10_10,74
o001101_10_00,83
o001102_10_00,87
o001103_10_00,100
o001104_10_00,100
o001201_10_00,82
o001202_10_00,84
o001205_10_00,78
o001208_10_00,76
o001301_10_00,82
o001302_10_00,85
o001305_10_00,78
o001308_10_00,77
o001401_10_00,83
o001402_10_00,84
o001405_10_00,79
o001501_10_00,84
o001502_10_00,84
o001505_10_00,79
o001606_10_00,70
o001606_10_10,71
o001607_10_00,74
o001607_10_10,74
o001701_10_00,83
o001702_10_00,85
o001705_10_00,78
o001706_10_00,74
o001706_10_10,74
o001708_10_00,76
o001801_10_00,83
o001802_10_00,85
o001806_10_00,73
o001806_10_10,74
o001807_10_00,74
o001807_10_10,74
o001808_10_00,77
o001901_10_00,85
o001902_10_00,85
o001905_10_00,80
o001908_10_00,79
o002001_10_00,81
o002002_10_00,82
o002005_10_00,79
o002008_10_00,76
o002101_10_00,84
o002102_10_00,87
o002105_10_00,79
o002108_10_00,77
o002201_10_00,83
o002202_10_00,82
o002205_10_00,79
o002208_10_00,77
o002303_10_00,100
o002304_10_00,99
o002403_10_00,95
o002404_10_00,93
o002501_10_00,85
o002502_10_00,90
o002506_10_00,74
o002506_10_10,75
o002507_10_00,74
o002507_10_10,74
o002601_10_00,83
o002602_10_00,87
o002603_10_00,100
o002604_10_00,100
o002701_10_00,82
o002702_10_00,84
o002705_10_00,78
o002708_10_00,76
o002801_10_00,82
o002802_10_00,85
o002805_10_00,78
o002808_10_00,77
o002901_10_00,83
o002902_10_00,84
o002905_10_00,79
o003001_10_00,84
o003002_10_00,84
o003005_10_00,79
o003106_10_00,70
o003106_10_10,71
o003107_10_00,74
o003107_10_10,74
o003201_10_00,83
o003202_10_00,85
o003205_10_00,78
o003206_10_00,74
o003206_10_10,74
o003208_10_00,76
o003301_10_00,82
o003302_10_00,85
o003306_10_00,73
o003306_10_10,74
o003307_10_00,74
o003307_10_10,74
o003308_10_00,77
o003401_10_00,79
u01000310,80
u01002610,71
u010101_10_00,83
u010101_10_01,83
u010101_10_02,85
u010101_10_03,83
u010101_20_00,83
u010101_20_01,83
u010101_20_02,85
u010101_20_03,83
u010101_50_00,83
u010101_50_01,83
u010101_60_00,83
u010101_60_01,83
u010102_10_00,86
u010102_10_01,87
u010102_20_00,86
u010102_20_01,87
u010102_50_00,86
u010102_50_01,87
u010102_60_00,86
u010102_60_01,87
u010103_10_00,90
u010103_20_00,90
u010103_50_00,90
u010103_60_00,90
u010104_10_00,89
u010104_20_00,89
u010104_50_00,89
u010104_60_00,89
u010105_10_00,79
u010105_10_01,79
u010105_20_00,79
u010105_20_01,79
u010105_50_00,79
u010105_50_01,79
u010105_60_00,79
u010105_60_01,79
u010106_10_00,73
u010106_10_02,72
u010106_10_10,73
u010106_20_00,73
u010106_20_02,72
u010106_20_10,73
u010106_50_00,73
u010106_50_10,73
u010106_60_00,73
u010106_60_10,73
u010107_10_00,74
u010107_10_04,74
u010107_10_10,74
u010107_20_00,74
u010107_20_04,74
u010107_20_10,74
u010107_50_00,74
u010107_50_10,74
u010107_60_00,74
u010107_60_10,74
u010108_10_00,80
u010108_10_01,81
u010108_20_00,81
u010108_20_01,81
u010108_50_00,81
u010108_50_01,81
u010108_60_00,81
u010108_60_01,81
u010151_10_00,84
u010151_10_01,84
u010151_20_00,84
u010151_20_01,84
u010151_50_00,84
u010151_50_01,84
u010151_60_00,84
u010151_60_01,84
u010152_10_00,85
u010152_10_01,86
u010152_20_00,85
u010152_20_01,86
u010152_50_00,85
u010152_50_01,86
u010152_60_00,85
u010152_60_01,86
u010153_10_00,91
u010153_20_00,91
u010153_50_00,91
u010153_60_00,91
u010154_10_00,89
u010154_20_00,89
u010154_50_00,90
u010154_60_00,89
u010155_10_00,79
u010155_10_01,79
u010155_20_00,79
u010155_20_01,79
u010155_50_00,79
u010155_50_01,79
u010155_60_00,79
u010155_60_01,79
u010156_10_00,73
u010156_10_10,73
u010156_20_00,73
u010156_20_10,73
u010156_50_00,73
u010156_50_10,73
u010156_60_00,73
u010156_60_10,73
u010157_10_00,74
u010157_10_10,74
u010157_20_00,74
u010157_20_10,74
u010157_50_00,74
u010157_50_10,74
u010157_60_00,74
u010157_60_10,74
u010158_10_00,80
u010158_10_01,80
u010158_20_00,80
u010158_20_01,80
u010158_50_00,81
u010158_50_01,80
u010158_60_00,81
u010158_60_01,80
u010191_10_00,83
u010191_20_00,83
u010201_10_00,83
u010201_10_01,83
u010201_10_02,85
u010201_10_03,83
u010201_20_00,83
u010201_20_01,83
u010201_20_02,85
u010201_20_03,83
u010202_10_00,86
u010202_10_01,87
u010202_20_00,86
u010202_20_01,87
u010203_10_00,90
u010203_20_00,90
u010204_10_00,89
u010204_20_00,89
u010205_10_00,79
u010205_10_01,79
u010205_20_00,79
u010205_20_01,79
u010206_10_00,73
u010206_10_02,72
u010206_10_10,73
u010206_20_00,73
u010206_20_02,72
u010206_20_10,73
u010207_10_00,74
u010207_10_04,74
u010207_10_10,74
u010207_20_00,74
u010207_20_04,74
u010207_20_10,74
u010208_10_00,80
u010208_10_01,81
u010208_20_00,81
u010208_20_01,81
u010251_10_00,84
u010251_10_01,84
u010251_20_00,84
u010251_20_01,84
u010252_10_00,85
u010252_10_01,86
u010252_20_00,85
u010252_20_01,86
u010253_10_00,91
u010253_20_00,91
u010254_10_00,89
u010254_20_00,89
u010255_10_00,79
u010255_10_01,79
u010255_20_00,79
u010255_20_01,79
u010256_10_00,73
u010256_10_10,73
u010256_20_00,73
u010256_20_10,73
u010257_10_00,74
u010257_10_10,74
u010257_20_00,74
u010257_20_10,74
u010258_10_00,81
u010258_10_01,80
u010258_20_00,80
u010258_20_01,80
u010301_10_00,83
u010301_10_01,83
u010301_10_02,85
u010301_10_03,83
u010301_20_00,83
u010301_20_01,83
u010301_20_02,85
u010301_20_03,83
u010302_10_00,86
u010302_10_01,87
u010302_20_00,86
u010302_20_01,87
u010303_10_00,90
u010303_20_00,90
u010304_10_00,89
u010304_20_00,89
u010305_10_00,79
u010305_10_01,79
u010305_20_00,79
u010305_20_01,79
u010306_10_00,73
u010306_10_02,72
u010306_10_10,73
u010306_20_00,73
u010306_20_02,72
u010306_20_10,73
u010307_10_00,74
u010307_10_04,74
u010307_10_10,74
u010307_20_00,74
u010307_20_04,74
u010307_20_10,74
u010308_10_00,80
u010308_10_01,81
u010308_20_00,81
u010308_20_01,81
u010351_10_00,84
u010351_10_01,84
u010351_20_00,84
u010351_20_01,84
u010352_10_00,85
u010352_10_01,87
u010352_20_00,85
u010352_20_01,87
u010353_10_00,93
u010353_20_00,93
u010354_10_00,89
u010354_20_00,89
u010355_10_00,79
u010355_10_01,79
u010355_20_00,79
u010355_20_01,79
u010356_10_00,73
u010356_10_10,73
u010356_20_00,73
u010356_20_10,73
u010357_10_00,74
u010357_10_10,74
u010357_20_00,74
u010357_20_10,74
u010358_10_00,80
u010358_10_01,80
u010358_20_00,80
u010358_20_01,80
u010401_10_00,83
u010401_10_01,83
u010401_10_02,85
u010401_10_03,83
u010401_20_00,83
u010401_20_01,83
u010401_20_02,85
u010401_20_03,83
u010402_10_00,87
u010402_10_01,87
u010402_20_00,87
u010402_20_01,87
u010403_10_00,90
u010403_20_00,90
u010404_10_00,89
u010404_20_00,89
u010405_10_00,79
u010405_10_01,79
u010405_20_00,79
u010405_20_01,79
u010406_10_00,73
u010406_10_02,72
u010406_10_10,73
u010406_20_00,73
u010406_20_02,72
u010406_20_10,73
u010407_10_00,74
u010407_10_04,74
u010407_10_10,74
u010407_20_00,74
u010407_20_04,74
u010407_20_10,74
u010408_10_00,81
u010408_10_01,81
u010408_20_00,81
