# Todos los personajes jugables del juego, con su arbol de tecnicas.
# Lo genera herramientas/construir_base_jugadores.py.
# rN_tipo: que admite esa ranura. LIBRE = cualquier tecnica o hipertecnica.
identidad,indice,string_id,nombre,elemento,posicion,posicion_alt,arquetipo,rareza,equipo,r1_tecnica,r1_tipo,r1_nivel,r2_tecnica,r2_tipo,r2_nivel,r3_tecnica,r3_tipo,r3_nivel,r4_tecnica,r4_tipo,r4_nivel,r5_tecnica,r5_tipo,r5_nivel,r6_tecnica,r6_tipo,r6_nivel,r7_tecnica,r7_tipo,r7_nivel,r8_tecnica,r8_tipo,r8_nivel,r9_tecnica,r9_tipo,r9_nivel
EAB2B5CF,4930,c11010020,Briar Bloomhurst,Montana,DEL,DEF,Contra,normal,<MNT:NAGUMOHARA>,Tiro con rebote,Tiro,1,Destello de fuerza,Tiro,13,Trueno de primavera,LIBRE,20,Ciclón,Defensa,30,Círculo de hielo,Regate,38,Sobrecarga ardiente,LIBRE,43,Ciclón,Defensa,30,Proyectil de ozono,Defensa,38,Guardián férreo,LIBRE,43
F3A9848E,4931,c11010030,Alix La Fontaine,Viento,POR,DEL,Justicia,normal,<MNT:NAGUMOHARA>,Despeje de puño,Parada,1,Parada de mano firme,Parada,13,Gracia glacial,LIBRE,20,Deflectores divinos,Parada,30,Barrera de cristal,Parada,38,Determinación de portero,LIBRE,43,Balón iceberg,Tiro,30,Pantalla acuática,Regate,38,Sobrecarga ardiente,LIBRE,43
BCE81249,4932,c11010040,Thierry Reyes,Montana,MED,DEF,Tension,normal,<MNT:NAGUMOHARA>,Entrada cegadora,Regate,1,Trueno celestial,Tiro,13,Superelástico,LIBRE,20,Esferas luminosas,Regate,30,Mina terrestre,Regate,38,Catalizador elemental,LIBRE,43,Emboscada defensiva,Defensa,30,Torre perfecta,Defensa,38,Guardián férreo,LIBRE,43
A5F32308,4933,c11010050,Cedric Freud,Bosque,MED,DEL,Afinidad,normal,<MNT:NAGUMOHARA>,Taconazo,Regate,1,Regate múltiple,Regate,13,Animador,LIBRE,20,Voltereta circense,Defensa,30,Regate topo,Regate,38,Catalizador elemental,LIBRE,43,Remate múltiple,Tiro,30,Golpe de samba,Tiro,38,Sobrecarga ardiente,LIBRE,43
8EDE70CB,3346,c11010060,Raika Shinohara,Fuego,DEL,POR,Contra,normal,<MNT:NAGUMOHARA>,Tiro con efecto,Tiro,1,Tiro rotatorio,Tiro,13,Entrada rodante,LIBRE,20,Imagen residual,Regate,30,Disparo rodante,Tiro,38,Sobrecarga ardiente,LIBRE,43,Tormenta de pétalos,Parada,30,Parada de capoeira,Parada,38,Determinación de portero,LIBRE,43
97C5418A,3347,c11010070,Cade Shelby,Viento,DEF,MED,Contra,normal,<MNT:NAGUMOHARA>,Regate disimulado,Defensa,1,Tortuga danzarina,Defensa,13,Miximax Trans: Raika,LIBRE,20,Maremoto umibozu,Defensa,30,Entrada tormentosa,Regate,38,Guardián férreo,LIBRE,43,Túnel tornado,Regate,30,Remate seguridad,Tiro,38,Catalizador elemental,LIBRE,43
105D5D45,2453,c11010080,Tai Richter,Viento,MED,DEF,Tension,normal,<MNT:NAGUMOHARA>,Amago y esprint,Regate,1,Visión de matriz,Regate,13,Trayectoria perfecta,LIBRE,20,Gravitación,Defensa,30,Defensa múltiple,Defensa,38,Catalizador elemental,LIBRE,43,Gran torbellino,Defensa,30,Emboscada defensiva,Defensa,38,Guardián férreo,LIBRE,43
09466C04,2454,c11010090,Davin Bullock,Fuego,MED,DEL,Juego sucio,normal,<MNT:NAGUMOHARA>,Amago y esprint,Regate,1,Toro a la fuga,Defensa,13,Superarmadillo,LIBRE,20,Zigzag de fuego,Defensa,30,Engaño torero,Regate,38,Catalizador elemental,LIBRE,43,Flecha divina,Tiro,30,Cabezazo megatón,Tiro,38,Sobrecarga ardiente,LIBRE,43
D946BD7A,2455,c11010100,Charis Benzaie,Montana,DEF,MED,Juego sucio,normal,<MNT:NAGUMOHARA>,Regate disimulado,Defensa,1,Robo teatral,Defensa,13,La niebla,LIBRE,20,Ataque sombrío,Defensa,30,Regate múltiple,Regate,38,Guardián férreo,LIBRE,43,Despliegue de señuelos,Regate,30,Regate topo,Regate,38,Catalizador elemental,LIBRE,43
C05D8C3B,2457,c11010110,Lycus Foxworth,Bosque,DEF,DEL,Justicia,normal,<MNT:NAGUMOHARA>,Regate disimulado,Defensa,1,Regate fantasmal,Regate,13,Aullido de lobo argénteo,LIBRE,20,Salto dimensional,Defensa,30,Tiro fantasma,Tiro,38,Guardián férreo,LIBRE,43,Bola de fango,Tiro,30,Regate topo,Regate,38,Sobrecarga ardiente,LIBRE,43
