# Para traducir los marcadores <FUL:ENDO> de los textos del juego.
# clave = el apellido en romaji en mayusculas, que es lo que
# el marcador lleva dentro. Lo genera
# herramientas/construir_marcadores.py (NOTAS O-98).
clave,tipo,completo,nombre,apellido
1-BLACK,persona,Uno,,
1-WHITE,persona,Eins,,
2 COLEGAS ENTRENANDO PASES,persona,2 colegas entrenando pases,,
2 COLEGAS ENTRENANDO TIROS,persona,2 colegas entrenando tiros,,
2-BLACK,persona,Due,,
2-WHITE,persona,Zwei,,
2COLEGASENTRENANDOPASES,persona,2 colegas entrenando pases,,
2COLEGASENTRENANDOTIROS,persona,2 colegas entrenando tiros,,
3-BLACK,persona,Tre,,
3-WHITE,persona,Drei,,
4-BLACK,persona,Quattro,,
4-WHITE,persona,Vier,,
5-BLACK,persona,Cinque,,
5-WHITE,persona,Fünf,,
???,persona,???,,
???,sitio,???,???,???
A. SIMOV,persona,Aye Nort,,
A.SIMOV,persona,Aye Nort,,
AARON,persona,Gachinsky,Gachinsky,Gachinsky
AARON ADAMS,persona,Aaron Adams,,
AARON GACHINSKY,persona,Aaron Gachinsky,Aaron,Gachinsky
AARONADAMS,persona,Aaron Adams,,
AARONGACHINSKY,persona,Aaron Gachinsky,Aaron,Gachinsky
ABARI,persona,Marunga,,
ABARI MALINGA,persona,Adam Marunga,,
ABARIMALINGA,persona,Adam Marunga,,
ABAYA,persona,Afif,,
ABBY,persona,Shorn,,
ABDULLA,persona,ABDULLA,,
ABE,persona,,,
ABE HARUAKI,persona,Des Tiny,,
ABEHARUAKI,persona,Des Tiny,,
ABESHIMA,persona,,,
ABESHIMA TADAO,persona,Harpo Kendrick,,
ABESHIMATADAO,persona,Harpo Kendrick,,
ABI,persona,ZAKHAROV,,
ABIGOR,persona,,,
ABIKO,persona,SHORN,,
ABIKO FUMIHIRO,persona,Gem Shorn,,
ABIKOFUMIHIRO,persona,Gem Shorn,,
ABO,persona,WINKLES,,
ABO UIKA,persona,Jess Winkles,,
ABOUIKA,persona,Jess Winkles,,
ABU,persona,,,
ABU BUNSAKU,persona,Queintas Quillmere,,
ABUBUNSAKU,persona,Queintas Quillmere,,
ABUELA PERDIDA,persona,Abuela perdida,,
ABUELA QUE ADORA A SUS NIETOS,persona,Abuela que adora a sus nietos,,
ABUELA SABIA,persona,Abuela sabia,,
ABUELA SONRIENTE,persona,Abuela sonriente,,
ABUELA SOSPECHOSA,persona,Abuela sospechosa,,
ABUELA SUPERSTICIOSA,persona,Abuela supersticiosa,,
ABUELAPERDIDA,persona,Abuela perdida,,
ABUELAQUEADORAASUSNIETOS,persona,Abuela que adora a sus nietos,,
ABUELASABIA,persona,Abuela sabia,,
ABUELASONRIENTE,persona,Abuela sonriente,,
ABUELASOSPECHOSA,persona,Abuela sospechosa,,
ABUELASUPERSTICIOSA,persona,Abuela supersticiosa,,
ABUELO AMANTE DE GATOS,persona,Abuelo amante de gatos,,
ABUELO CHAPADO A LA ANTIGUA,persona,Abuelo chapado a la antigua,,
ABUELO DEL PUERTO,persona,Abuelo del puerto,,
ABUELO DEPORTISTA,persona,Abuelo deportista,,
ABUELO FAN DE DELFINES,persona,Abuelo fan de delfines,,
ABUELO FAN DEL FÚTBOL,persona,Abuelo fan del fútbol,,
ABUELO GOURMET,persona,Abuelo gourmet,,
ABUELO JUBILADO,persona,Abuelo jubilado,,
ABUELO MARINERO,persona,Abuelo marinero,,
ABUELO NOSTÁLGICO,persona,Abuelo nostálgico,,
ABUELO PASADO DE MODA,persona,Abuelo pasado de moda,,
ABUELO PESCADOR,persona,Abuelo pescador,,
ABUELOAMANTEDEGATOS,persona,Abuelo amante de gatos,,
ABUELOCHAPADOALAANTIGUA,persona,Abuelo chapado a la antigua,,
ABUELODELPUERTO,persona,Abuelo del puerto,,
ABUELODEPORTISTA,persona,Abuelo deportista,,
ABUELOFANDEDELFINES,persona,Abuelo fan de delfines,,
ABUELOFANDELFÚTBOL,persona,Abuelo fan del fútbol,,
ABUELOGOURMET,persona,Abuelo gourmet,,
ABUELOJUBILADO,persona,Abuelo jubilado,,
ABUELOMARINERO,persona,Abuelo marinero,,
ABUELONOSTÁLGICO,persona,Abuelo nostálgico,,
ABUELOPASADODEMODA,persona,Abuelo pasado de moda,,
ABUELOPESCADOR,persona,Abuelo pescador,,
ABUKU,persona,,,
ABUKU MICHIYA,persona,Milan McGrath,,
ABUKUMICHIYA,persona,Milan McGrath,,
ABURABI,persona,SOSMAN,,
ABURABI KEISHIRO,persona,Si Sosman,,
ABURABIKEISHIRO,persona,Si Sosman,,
ABURADA,persona,,,
ABURADA KEZURU,persona,Baron Blackgold,,
ABURADAKEZURU,persona,Baron Blackgold,,
ABURATANI,persona,PALME,,
ABURATANI PALM,persona,Olivia Palme,,
ABURATANIPALM,persona,Olivia Palme,,
ABUYAMA,persona,,,
ABUYAMA TAMOTSU,persona,Montaña Tábano,,
ABUYAMATAMOTSU,persona,Montaña Tábano,,
ACHILLES,persona,Achilles,,
ACLOUS,persona,Orbes,Orbes,Orbes
ACLOUS OBIES,persona,Arculus Orbes,Arculus,Orbes
ACLOUSOBIES,persona,Arculus Orbes,Arculus,Orbes
ACOSTA,persona,PALACIOS,,
ACTIE,persona,Actie,,
ADACHI,persona,CAISE,,
ADACHI ETSUO,persona,Dexter Caise,,
ADACHIETSUO,persona,Dexter Caise,,
ADAM,persona,,,
ADAM SANCHI,persona,Ballet Burkhanov,Ballet,Burkhanov
ADAM SENSAIGE,persona,Marc Mystique,Marc,Mystique
ADAMS,persona,ADAMS,,
ADAMSANCHI,persona,Ballet Burkhanov,Ballet,Burkhanov
ADAMSENSAIGE,persona,Marc Mystique,Marc,Mystique
ADASHINO,persona,,,
ADASHINO MINORU,persona,Lou Paster,,
ADASHINOMINORU,persona,Lou Paster,,
ADDO,persona,VEE,,
ADEL,persona,Siddique,,
ADEL SIDDIQ,persona,Adel Siddique,,
ADELSIDDIQ,persona,Adel Siddique,,
ADICTA A LAS TENDENCIAS,persona,Adicta a las tendencias,,
ADICTA AL GIMNASIO,persona,Adicta al gimnasio,,
ADICTAALASTENDENCIAS,persona,Adicta a las tendencias,,
ADICTAALGIMNASIO,persona,Adicta al gimnasio,,
ADOLESCENTE ATLÉTICO,persona,Adolescente atlético,,
ADOLESCENTEATLÉTICO,persona,Adolescente atlético,,
ADROV,persona,Adrov,Adrov,Adrov
AD⇔A,persona,ad⇔a,,
AEGIR,persona,Aegir,,
AEGIR CEPHEID,persona,Aegir Cepheid,,
AEGIRCEPHEID,persona,Aegir Cepheid,,
AEN,persona,,,
AEN SAKAE,persona,Jess Uplement,,
AENSAKAE,persona,Jess Uplement,,
AFICIONADA A LOS VÍDEOS,persona,Aficionada a los vídeos,,
AFICIONADAALOSVÍDEOS,persona,Aficionada a los vídeos,,
AFURO TERUMI,persona,Byron Love,,
AFUROTERUMI,persona,Byron Love,,
AGA,persona,,,
AGA MASATOSHI,persona,Ebenezer Marner,,
AGALIA,persona,Carlam,,
AGALIA REPT,persona,Carlam Buer,,
AGALIAREPT,persona,Carlam Buer,,
AGAMASATOSHI,persona,Ebenezer Marner,,
AGAPITO,persona,Augusto,,
AGAPITO GOMEZ,persona,Augusto Gómez,,
AGAPITOGOMEZ,persona,Augusto Gómez,,
AGARIE,persona,,,
AGARIE YASUO,persona,Joston Easton,,
AGARIEYASUO,persona,Joston Easton,,
AGATA,persona,AGATA,,
AGEHA,persona,Safine,,
AGITO,persona,VALLS,,
AGO,persona,DENTON,,
AGO DAISAKU,persona,Chops Denton,,
AGODAISAKU,persona,Chops Denton,,
AGOIN,persona,,,
AGOIN NENE,persona,Ecole Linwood,,
AGOINNENE,persona,Ecole Linwood,,
AGON,persona,Denton,,
AGOURA,persona,AGURA,,
AGOYA,persona,,,
AGOYA RYODAI,persona,Kye Sendon,,
AGOYARYODAI,persona,Kye Sendon,,
AGRIAS,persona,AGRIAS,,
AGUCHI,persona,,,
AGUCHI MASAAKI,persona,Roman Fawkes,,
AGUCHIMASAAKI,persona,Roman Fawkes,,
AGUERO,persona,AGÜERO,,
AGY,persona,EZRA,,
AH DACKCHIN,persona,Ah Dackchin,,
AHDACKCHIN,persona,Ah Dackchin,,
AHIRU,persona,Waddell,,
AHMED,persona,AHMED,,
AI,persona,,,
AI TSUMUGU,persona,Love Stirling,,
AI-CHAN,persona,Taker,,
AIBA,persona,OKENRIDGE,,
AIBA UTA,persona,Kara Okenridge,,
AIBAUTA,persona,Kara Okenridge,,
AICHI,persona,,,
AICHI HISAKI,persona,Sienna Fairborn,,
AICHIHISAKI,persona,Sienna Fairborn,,
AIDA,persona,,,
AIDA CHIKARA,persona,Arthur Sweet,,
AIDACHIKARA,persona,Arthur Sweet,,
AIDORU,persona,IDOL,,
AIDORU SO,persona,Sam Idol,,
AIDORUSO,persona,Sam Idol,,
AIEL,persona,,,
AIHARA,persona,DANCE,,
AIHARA DAN,persona,Guy Dance,,
AIHARADAN,persona,Guy Dance,,
AIKA,persona,Minna,,
AIKATA,persona,,,
AIKATA SHIRABE,persona,Dan Nettles,,
AIKATASHIRABE,persona,Dan Nettles,,
AIKAWA,persona,,,
AIKAWA MASARU,persona,Fivier Saviola,,
AIKAWAMASARU,persona,Fivier Saviola,,
AIKEW,persona,,,
AIKI,persona,Flinger,,
AIKO,persona,,,
AIKO DAISUKE,persona,Harley Trotter,,
AIKODAISUKE,persona,Harley Trotter,,
AINO,persona,,,
AINO ISAMI,persona,Brook Bold,,
AINOISAMI,persona,Brook Bold,,
AIO,persona,,,
AIO KATARU,persona,Ottis Quisley,,
AIOI,persona,LEAPMAN,,
AIOI ENNOSUKE,persona,Marcel Leapman,,
AIOIENNOSUKE,persona,Marcel Leapman,,
AIOKATARU,persona,Ottis Quisley,,
AIRA,persona,Ayla,,
AISHA,persona,Shadowe,,
AISU,persona,,,
AISU ERUZA,persona,Becky Shuffle,,
AISUERUZA,persona,Becky Shuffle,,
AITSUMUGU,persona,Love Stirling,,
AIYAMA,persona,FAIRWAY,,
AIYAMA NAOMI,persona,Farrah Fairway,,
AIYAMANAOMI,persona,Farrah Fairway,,
AIZAWA,persona,LONSOM,,
AIZAWA SHUKI,persona,Sadley Lonsom,,
AIZAWASHUKI,persona,Sadley Lonsom,,
AIZEN,persona,LOVELAND,,
AIZEN REIYA,persona,Lyla Loveland,,
AIZENREIYA,persona,Lyla Loveland,,
AIZO,persona,Chilton,,
AIZOME,persona,,,
AIZOME YUJI,persona,Hugh Dyer,,
AIZOMEYUJI,persona,Hugh Dyer,,
AJIMI,persona,,,
AJIMI JUNYA,persona,Olivier Gourmand,,
AJIMIJUNYA,persona,Olivier Gourmand,,
AKABA,persona,,,
AKABA HARUMICHI,persona,Russ Radcliff,,
AKABAHARUMICHI,persona,Russ Radcliff,,
AKABANE,persona,,,
AKABANE SHUNJI,persona,Dexter Ambie,,
AKABANESHUNJI,persona,Dexter Ambie,,
AKABUCHI,persona,TINTER,,
AKABUCHI KEIJIRO,persona,Hugh Tinter,,
AKABUCHIKEIJIRO,persona,Hugh Tinter,,
AKADAI,persona,,,
AKADAI MASAFUMI,persona,Grover Bearing,,
AKADAIMASAFUMI,persona,Grover Bearing,,
AKADO,persona,SEMANRIME,,
AKADO CHISATO,persona,Rhys Semanrime,,
AKADOCHISATO,persona,Rhys Semanrime,,
AKAE,persona,,,
AKAE OSEI,persona,Reid Scarlet,,
AKAEOSEI,persona,Reid Scarlet,,
AKAGAWA,persona,EVOLENT,,
AKAGAWA TSUBASA,persona,Ben Evolent,,
AKAGAWATSUBASA,persona,Ben Evolent,,
AKAGI,persona,,,
AKAGI ITTO,persona,Brick DeVille,,
AKAGI SHOMA,persona,Harry Redcastle,,
AKAGIITTO,persona,Brick DeVille,,
AKAGIRI,persona,,,
AKAGIRI MASATATSU,persona,Rich Fowler,,
AKAGIRIMASATATSU,persona,Rich Fowler,,
AKAGISHOMA,persona,Harry Redcastle,,
AKAHANA,persona,KENSLER,,
AKAHANA SORAYA,persona,Noyss Kensler,,
AKAHANASORAYA,persona,Noyss Kensler,,
AKAHIKO,persona,Upright,,
AKAI,persona,,,
AKAI HYOGO,persona,Alec Smart,,
AKAI TONBO,persona,Skeeter Hawk,,
AKAIHYOGO,persona,Alec Smart,,
AKAISHI,persona,,,
AKAISHI ITO,persona,Fiona Leroux,,
AKAISHIITO,persona,Fiona Leroux,,
AKAITONBO,persona,Skeeter Hawk,,
AKAIWA,persona,DA LUA,,
AKAIWA TSUKITERU,persona,Octavian Da Lua,,
AKAIWATSUKITERU,persona,Octavian Da Lua,,
AKAMAKU,persona,Cantation,Cantation,Cantation
AKAMAKU ARIA,persona,Hexine Cantation,Hexine,Cantation
AKAMAKUARIA,persona,Hexine Cantation,Hexine,Cantation
AKAMICHI,persona,LUGH,,
AKAMICHI NAOMOTO,persona,Barry Lugh,,
AKAMICHINAOMOTO,persona,Barry Lugh,,
AKAMINE,persona,,,
AKAMINE HIROAKI,persona,Hector Redding,,
AKAMINEHIROAKI,persona,Hector Redding,,
AKANE,persona,Friebel,Friebel,Friebel
AKANE HIROAKI,persona,Alistair Horizon,,
AKANEHIROAKI,persona,Alistair Horizon,,
AKAO,persona,LOOZIT,,
AKAO NINTARO,persona,Aymer Loozit,,
AKAONINTARO,persona,Aymer Loozit,,
AKARI,persona,Tempest,Tempest,Tempest
AKARIN,persona,Chirpy,,
AKASAKA,persona,DARUMA,,
AKASAKA DARUMA,persona,Bob Daruma,,
AKASAKADARUMA,persona,Bob Daruma,,
AKASHI,persona,Rosenblum,Rosenblum,Rosenblum
AKASODE,persona,Carmine,Carmine,Carmine
AKASODE MATSURI,persona,Jazmine Carmine,Jazmine,Carmine
AKASODEMATSURI,persona,Jazmine Carmine,Jazmine,Carmine
AKASORA,persona,REDSKY,,
AKASORA MASAHIRO,persona,Teal Redsky,,
AKASORAMASAHIRO,persona,Teal Redsky,,
AKATO,persona,ROOD,,
AKATO KIN,persona,Heidi Rood,,
AKATOKIN,persona,Heidi Rood,,
AKBAR,persona,,,
AKECHI,persona,,,
AKECHI HIKARU,persona,Vinny O'Gaines,,
AKECHIHIKARU,persona,Vinny O'Gaines,,
AKEITO,persona,MASTER,,
AKEITO TATSUHITO,persona,Theodore Master,,
AKEITOTATSUHITO,persona,Theodore Master,,
AKESUMI,persona,Aaron Gossamer,Si,Sosman
AKEYAMA,persona,OUTLER,,
AKEYAMA SHIGERU,persona,Payne Outler,,
AKEYAMASHIGERU,persona,Payne Outler,,
AKI,persona,Woods,Woods,Woods
AKI TAMAMATSU,persona,Gus Heeley,,
AKIMOTO,persona,,,
AKIMOTO SATOSHI,persona,Leon Hotair,,
AKIMOTOSATOSHI,persona,Leon Hotair,,
AKIO,persona,Caleb Stonewall,Caleb,Stonewall
AKITA,persona,,,
AKITA NAOYA,persona,Marty Gras,,
AKITAMAMATSU,persona,Gus Heeley,,
AKITANAOYA,persona,Marty Gras,,
AKIUMI,persona,Florent Shorleigh,Florent,Shorleigh
AKIYAMA,persona,,,
AKIYAMA HIMIKO,persona,Sibylle Equinox,,
AKIYAMA KAIRI,persona,Alexis Watchorn,,
AKIYAMAHIMIKO,persona,Sibylle Equinox,,
AKIYAMAKAIRI,persona,Alexis Watchorn,,
AKIYOSHI,persona,,,
AKIYOSHI MIKIHIRO,persona,Leander Courtman,,
AKIYOSHIMIKIHIRO,persona,Leander Courtman,,
AKKAR,persona,A'tac,,
AKKAR TAMAL,persona,A'tac,,
AKKARTAMAL,persona,A'tac,,
AKO,persona,Linguine,,
AKRA,persona,Alvayra,,
AKRA NIYAT,persona,Akram Alvayra,,
AKRANIYAT,persona,Akram Alvayra,,
AKU,persona,,,
AKU EIYA,persona,Nick Knack,,
AKUEIYA,persona,Nick Knack,,
AKUMI,persona,LEMUGG,,
AKUMI TENKI,persona,Ugg LeMugg,,
AKUMITENKI,persona,Ugg LeMugg,,
AKURIRU,persona,,,
AKURIRU BANDAI,persona,Banner Weaving,,
AKURIRUBANDAI,persona,Banner Weaving,,
AKUTAGAWA,persona,,,
AKUTAGAWA FUSANOSUKE,persona,Archie Medes,,
AKUTAGAWA OSAMU,persona,Ted Larkin,,
AKUTAGAWAFUSANOSUKE,persona,Archie Medes,,
AKUTAGAWAOSAMU,persona,Ted Larkin,,
AKUTSU,persona,MALONE,,
AKUTSU KIYOSHI,persona,Ashton Malone,,
AKUTSUKIYOSHI,persona,Ashton Malone,,
AL KATIA,persona,Agnethe Presari,,
ALAN,persona,Favreau,,
ALAN FARIO,persona,Alain Favreau,,
ALANFARIO,persona,Alain Favreau,,
ALBEGA,persona,Gyr,Gyr,Gyr
ALBEGA GORDON,persona,Aoba Gyr,Aoba,Gyr
ALBEGAGORDON,persona,Aoba Gyr,Aoba,Gyr
ALEK AKBAR,persona,Bolero Salimov,,
ALEKAKBAR,persona,Bolero Salimov,,
ALEKSEI,persona,Aleksei Karimov,Aleksei,Karimov
ALEKSEI KARNOV,persona,Aleksei Karimov,Aleksei,Karimov
ALEKSEIKARNOV,persona,Aleksei Karimov,Aleksei,Karimov
ALESSAND,persona,Rossa,,
ALESSANDRO ROSSA,persona,Alessandro Rossa,,
ALESSANDROROSSA,persona,Alessandro Rossa,,
ALEX,persona,,,
ALEX HAWK,persona,Alex Hawke,,
ALEXANDER HAUSEN,persona,Alexander Hausen,,
ALEXANDERHAUSEN,persona,Alexander Hausen,,
ALEXEI,persona,Leonid,,
