# Cambios de modo: quien se convierte en quien y los numeros del modo (NOTAS O-225).
# Lo genera herramientas/construir_modos.py.
de,a,modo,modo_nombre,tension,duracion,at,df,velocidad,extra
A2957757,EBBD5BFF,EB55E074,Modo Atacante,75,90,60,60,80,10
442EB819,41898A24,A59A5B92,Modo Serio,75,90,60,60,80,10
FD131DBB,77E6A393,073F662B,Modo Furia,75,90,60,60,80,10
D5556E85,AD29F49E,394C2003,Modo León Salvaje,75,90,60,60,80,10
07C34FB6,54920923,0A6DB6D1,Modo Dos Caras,75,90,60,60,80,10
A28E9F95,B0069AEE,29BDFB74,Modo Reina,75,90,60,60,80,10
D567DEF1,CC7CEFB0,4DFC1203,Modo Brutal,75,90,60,60,80,
D5ACAA9D,C68B09DE,2188D903,Modo Aphrody,75,90,60,60,80,10
43AB265F,C95E9877,073F662B,Modo Furia,75,90,60,60,80,10
6A6392AD,E0962C85,073F662B,Modo Furia,75,90,60,60,80,10
7187F906,FB72472E,073F662B,Modo Furia,75,90,60,60,80,10
3E55F38F,D05B92A3,33D120E8,Modo Santurrón,75,90,60,60,80,10
