# Nombres sacados de los ficheros del propio juego.
# id = los 4 bytes tal y como aparecen en la partida.
# Lo genera herramientas/construir_nombres_es.py.
id,categoria,nombre_es,nombre_en
67FB9048,supertecnica,Remate combinado,Twin Boost
26CA8B51,supertecnica,Tornado de fuego,Fire Tornado
E15CCA1E,supertecnica,Chut de 100 toques,Wrath Shot
A06DD107,supertecnica,Superrelámpago,Inazuma-1
633EFC2C,supertecnica,Remate dragón,Dragon Crash
220FE735,supertecnica,Chut granada,Grenade Shot
ED137FB2,supertecnica,Triángulo letal,Death Zone
AC2264AB,supertecnica,Tiro fantasma,Phantom Shot
D2F3647B,supertecnica,Remate halcón,Hawk Shot
93C27F62,supertecnica,Ataque meteorito,Meteor Attack
50915249,supertecnica,Remate serpiente,Snake Shot
11A04950,supertecnica,Tiro giratorio,Spinning Shot
D636081F,supertecnica,Tiro del cometa,Comet Shot
97071306,supertecnica,Disparo rodante,Rolling Kick
54543E2D,supertecnica,Remate múltiple,Clone Shot
15652534,supertecnica,Tiro dinamita,Dynamite Shot
DA79BDB3,supertecnica,Remate misil,Patriot Shot
9B48A6AA,supertecnica,Remate espiral,Spiral Shot
8B4D2279,supertecnica,Chut congelante,Freeze Shot
CA7C3960,supertecnica,Pase cruzado,Cross Drive
092F144B,supertecnica,Rapto divino,Teleport Shot
481E0F52,supertecnica,Psicorremate,Psycho Shot
8F884E1D,supertecnica,Ataque cóndor,Condor Dive
CEB95504,supertecnica,Balón rodante,Run Ball Run
0DEA782F,supertecnica,Triángulo Z,Triangle Z
4CDB6336,supertecnica,Bateo total,Utter Gutsiness Bat
83C7FBB1,supertecnica,Disparo con rebotes,Reflect Buster
C2F6E0A8,supertecnica,Cabezazo kung-fu,Kung Fu Header
BC27E078,supertecnica,Tiro cegador,Shine Drive
FD16FB61,supertecnica,Flecha divina,Divine Arrows
3E45D64A,supertecnica,Tornado inverso,Back Tornado
7F74CD53,supertecnica,Remate Tarzán,Tarzan Kick
B8E28C1C,supertecnica,Sabiduría divina,God Knows
F9D39705,supertecnica,Tornado dragón,Dragon Tornado
3A80BA2E,supertecnica,Bola de fango,Dirt Ball
7BB1A137,supertecnica,Pájaro de fuego,Fire Rooster
B4AD39B0,supertecnica,Ruptura relámpago,Inazuma Break
F59C22A9,supertecnica,Tiro galáctico,The Galaxy
3931AF7D,supertecnica,Pingüino emperador n.º 2,Emperor Penguin No. 2
7800B464,supertecnica,Fénix,The Phoenix
BB53994F,supertecnica,Tiro dracoroniano,Baby Corodragon
FA628256,supertecnica,Tornado oscuro,Dark Tornado
3DF4C319,supertecnica,Ventisca eterna,Eternal Blizzard
7CC5D800,supertecnica,Tormenta de fuego,Fireball Storm
BF96F52B,supertecnica,Remate tsunami,Tsunami Boost
FEA7EE32,supertecnica,Triángulo letal 2,Death Zone 2
31BB76B5,supertecnica,La Tierra,The Earth
708A6DAC,supertecnica,Arcoíris luminoso,Rainbow Arc
0E5B6D7C,supertecnica,Astrorremate,Astro Break
4F6A7665,supertecnica,Cañón de meteoritos,Meteor Blade
8C395B4E,supertecnica,Bomba acrobática,Acrobat Bomber
CD084057,supertecnica,Técnica kung-fu,Kung Fu Fighting
0A9E0118,supertecnica,Granada doble,Double Grenade
4BAF1A01,supertecnica,Cabezazo yoyó,Gyro Head
88FC372A,supertecnica,Remate en V,Revolution V
C9CD2C33,supertecnica,Tiro pirueta,Heel Kick
06D1B4B4,supertecnica,Cañón dragón,Dragon Cannon
47E0AFAD,supertecnica,Zapatazo dual,Dual Strike
57E52B7E,supertecnica,Aullido de lobo,Legendary Wolf
16D43067,supertecnica,Pingüino emperador n.º1,Emperor Penguin No. 1
D5871D4C,supertecnica,Lecho de rosas,Bed of Roses
94B60655,supertecnica,Golf total,Utter Gutsiness Club
5320471A,supertecnica,Chut de 200 toques,Double Wrath Shot
12115C03,supertecnica,Lanza de Odín,Gungnir
90736A31,supertecnica,Dragón terrestre,Land Dragon
5F6FF2B6,supertecnica,Tripegaso,Tri-Pegasus
1E5EE9AF,supertecnica,Supertrampolín relámpago,Inazuma-1 Drop
608FE97F,supertecnica,Rayo de Ganímedes,Ganymede Ray
21BEF266,supertecnica,Relámpago saltón,Leaping Thunder
E2EDDF4D,supertecnica,Remate del águila,Eagle Buster
A3DCC454,supertecnica,Baile de mariposas,Butterfly Trance
644A851B,supertecnica,Disparo cósmico,Cosmic Blast
257B9E02,supertecnica,Remate de Gaia,Gaia Break
E628B329,supertecnica,Remate gafas,Spectacle Crash
A719A830,supertecnica,Remate combinado F,Twin Boost F
680530B7,supertecnica,Tornado doble,Double Tornado
29342BAE,supertecnica,Llamarada atómica,Atomic Flare
5DC8B574,supertecnica,Remate seguridad,Security Shot
1CF9AE6D,supertecnica,Supernova,Supernova
DFAA8346,supertecnica,Pingüino espacial,Space Penguin
9E9B985F,supertecnica,Remate guiverno,Wyvern Crash
590DD910,supertecnica,Ventisca guiverno,Wyvern Blizzard
183CC209,supertecnica,Ventisca de fuego,Fire Blizzard
DB6FEF22,supertecnica,Fénix oscuro,Dark Phoenix
9A5EF43B,supertecnica,Remate triple,Triple Boost
55426CBC,supertecnica,Neotiro galáctico,Neo Galaxy
147377A5,supertecnica,Remate asalto,Assault Shot
6AA27775,supertecnica,Disparo sagrado,God Break
2B936C6C,supertecnica,Cabezazo megatón,Megaton Head
E8C04147,supertecnica,Tiro torre de Osaka,Steeple Shot
A9F15A5E,supertecnica,Balón iceberg,Northern Impact
6E671B11,supertecnica,Ventisca de fuego,Fire Blizzard
2F560008,supertecnica,Fuego cruzado,Cross Fire
EC052D23,supertecnica,Remate del tigre,Tiger Drive
AD34363A,supertecnica,Excalibur,Excalibur
6228AEBD,supertecnica,Llamarada infernal,Hellfire
2319B5A4,supertecnica,Gran tifón,The Typhoon
80FE1AC2,supertecnica,Torbellino trampolín,Whirlwind Drop
C1CF01DB,supertecnica,Bestia del trueno,Thunder Beast
029C2CF0,supertecnica,Tormenta del tigre,Tiger Storm
43AD37E9,supertecnica,Megadragón,Dragon Slayer
843B76A6,supertecnica,Círculo de espadas,Gladius Arch
C50A6DBF,supertecnica,Pingüino emperador n.º 3,Emperor Penguin No. 3
06594094,supertecnica,Gran lobo,Grand Fenrir
47685B8D,supertecnica,Espada de Odín,Odin Sword
8874C30A,supertecnica,Remate celestial,Heavenly Drive
C945D813,supertecnica,Golpe de samba,Samba Strike
B794D8C3,supertecnica,La aurora,The Dawn
F6A5C3DA,supertecnica,Big Bang,Big Bang
35F6EEF1,supertecnica,Huracán,The Hurricane
74C7F5E8,supertecnica,Megalodón,Megalodon
B351B4A7,supertecnica,Ataque de paladín,Paladin Strike
F260AFBE,supertecnica,Banana shot,Banana Shot
31338295,supertecnica,Cañón de agua,The Tube
7002998C,supertecnica,Cañonazo,Gunshot
BF1E010B,supertecnica,Torbellino de fuego,Fireball Screw
FE2F1A12,supertecnica,Tiro espejismo,Mirage Shot
EE2A9EC1,supertecnica,Remate Pegaso,Pegasus Shot
AF1B85D8,supertecnica,Remate unicornio,Unicorn Boost
6C48A8F3,supertecnica,Tiro a reacción,Jet Stream
2D79B3EA,supertecnica,Fuego total,Grand Fire
EAEFF2A5,supertecnica,Disparo valiente,Brave Shot
ABDEE9BC,supertecnica,Remate caótico,Chaos Break
688DC497,supertecnica,Puerta astral,Astro Gate
29BCDF8E,supertecnica,Mandíbulas dobles,Double Jaw
E6A04709,supertecnica,Tiro torre Eiffel,Eiffel Tower
A7915C10,supertecnica,Tirachinas,Slingshot
D9405CC0,supertecnica,Full goleador,Sweet Deal
987147D9,supertecnica,Pingüino emperador X,Emperor Penguin X
5B226AF2,supertecnica,Tiro radiocontrol,RC Shot
1A1371EB,supertecnica,Cañón X,X Blast
DD8530A4,supertecnica,Cañón celestial,Almighty Cannon
9CB42BBD,supertecnica,Carga negativa,Dark Matter
5FE70696,supertecnica,Rayo oscuro,Shadow Ray
1ED61D8F,supertecnica,Fuego supremo,Maximum Fire
D1CA8508,supertecnica,Cometa legendario,Prime Legend
90FB9E11,supertecnica,Diluvio letal,Doom Rain
5C5613C5,supertecnica,Lanza letal,Doom Spear
1D6708DC,supertecnica,Mangual letal,Doom Break
DE3425F7,supertecnica,Rayo oscuro,Shadow Ray
9F053EEE,supertecnica,Descenso estelar,Celestial Smash
58937FA1,supertecnica,Triángulo múltiple,Clone Death Zone
19A264B8,supertecnica,Pingüino múltiple,Clone Penguin
DAF14993,supertecnica,Tiro vendaval,Zephyr Shot
9BC0528A,supertecnica,Proyectil letal,Doomsword Slash
54DCCA0D,supertecnica,Pingüino emperador 7,Emperor Penguin 7
15EDD114,supertecnica,Salto incandescente,Jumping Jack 
6B3CD1C4,supertecnica,Chut ancestral,Katana Kick
2A0DCADD,supertecnica,Bomba saltarina,Bouncing Bomb
E95EE7F6,supertecnica,Cabezazo bazuca,Headbanger
A86FFCEF,supertecnica,Cabezazo cohete,Warhead
6FF9BDA0,supertecnica,Tiro balista,Ballista Barrage
2EC8A6B9,supertecnica,Triángulo ZZ,Triangle ZZ
ED9B8B92,supertecnica,Trayectoria perfecta,Optimal Trajectory
ACAA908B,supertecnica,Pentagrama,Fortissimo
63B6080C,supertecnica,Aguijón letal,Doom Dive Drive
22871315,supertecnica,Tiro espectral,Will-o'-the-Wisp Shot
328297C6,supertecnica,Remate dinosaurio,Dinosaur Roar
73B38CDF,supertecnica,Tiro sónico,Sonic Shot
B0E0A1F4,supertecnica,Aguijones escarlata,Entropic Arrows
F1D1BAED,supertecnica,Lluvia de azufre,Brimstone Rain
3647FBA2,supertecnica,Peces voladores,Flying Fish
7776E0BB,supertecnica,Cascabel,Sidewinder
B425CD90,supertecnica,Tiro sobrenatural,Supernatural Strike
