# Las pasivas fijas de cada Idolo y Diamante, leidas de sus tableros (NOTAS O-162, O-163).
# origen propio = tablero del personaje; basara = un tablero por arquetipo elegible (orden 0 = el de serie).
# pasiva_id como en la partida. Se ensenan las del tronco y las de la rama elegida, por casilla. tablero = la clave del tablero, la que la partida guarda en 0xBAFA8DBD.
# Lo genera herramientas/construir_pasivas_fijas.py.
identidad,nombre,rareza,origen,arquetipo,orden,tramo,casilla,nivel,pasiva_id,tablero
46071079,Acker Reese,7,propio,,0,tronco,1,0,1CAA9DE4,1DF6B6B2
46071079,Acker Reese,7,propio,,0,tronco,3,0,CBAB818A,1DF6B6B2
46071079,Acker Reese,7,propio,,0,tronco,7,0,CBAB818A,1DF6B6B2
46071079,Acker Reese,7,propio,,0,tronco,11,0,CF6EEDEE,1DF6B6B2
46071079,Acker Reese,7,propio,,0,tronco,14,0,595EEA99,1DF6B6B2
C1A7351A,Acker Reese,5,propio,,0,tronco,1,0,A1D62C9A,9A5693D1
C1A7351A,Acker Reese,5,propio,,0,tronco,3,0,CC86396D,9A5693D1
C1A7351A,Acker Reese,5,propio,,0,tronco,7,0,A1D62C9A,9A5693D1
C1A7351A,Acker Reese,5,propio,,0,tronco,11,0,47B73F79,9A5693D1
C1A7351A,Acker Reese,5,propio,,0,tronco,14,0,72125C90,9A5693D1
E86F81E8,Acker Reese,6,propio,,0,tronco,1,0,1CAA9DE4,B39E2723
E86F81E8,Acker Reese,6,propio,,0,tronco,3,0,CBAB818A,B39E2723
E86F81E8,Acker Reese,6,propio,,0,tronco,7,0,CBAB818A,B39E2723
E86F81E8,Acker Reese,6,propio,,0,tronco,11,0,C99ABCE7,B39E2723
E86F81E8,Acker Reese,6,propio,,0,tronco,14,0,186FF180,B39E2723
F38BEA43,Acker Reese,8,basara,3,0,tronco,1,0,16D4E13E,9509945B
F38BEA43,Acker Reese,8,basara,3,0,tronco,3,0,13E09DFC,9509945B
F38BEA43,Acker Reese,8,basara,3,0,rama1,8,0,94734F73,9509945B
