# Extraido de la tabla de Cheat Engine de EasyGameCheatEngine para la
# version 7.1.1 del juego. Los identificadores se usan como datos; el
# credito es suyo. Los ids estan tal y como los muestra Cheat Engine.
id_ce,id_partida,nombre,clase
3A2BCAF4,F4CA2B3A,Passive 01 (Type 1),pasiva normal
3E305FFD,FD5F303E,Passive 01 (Type 2),pasiva normal
A3229B4E,4E9B22A3,Passive 02 (Type 1),pasiva normal
2C85F013,13F0852C,Passive 02 (Type 2),pasiva normal
D425ABD8,D8AB25D4,Passive 03 (Type 1),pasiva normal
94399776,76973994,Passive 03 (Type 2),pasiva normal
09EEAFCF,CFAFEE09,Passive 04 (Type 1),pasiva normal
4A413E7B,7B3E414A,Passive 04 (Type 2),pasiva normal
3D460EED,ED0E463D,Passive 05 (Type 1),pasiva normal
B152C8AA,AAC852B1,Passive 05 (Type 2),pasiva normal
A44F5F57,575F4FA4,Passive 06 (Type 1),pasiva normal
A3E76744,4467E7A3,Passive 06 (Type 2),pasiva normal
D3486FC1,C16F48D3,Passive 07 (Type 1),pasiva normal
1B5B0021,21005B1B,Passive 07 (Type 2),pasiva normal
43F77250,5072F743,Passive 08 (Type 1),pasiva normal
43381077,77103843,Passive 08 (Type 2),pasiva normal
34F042C6,C642F034,Passive 09 (Type 1),pasiva normal
FB847712,127784FB,Passive 09 (Type 2),pasiva normal
5437CB23,23CB3754,Passive 10 (Type 1),pasiva normal
BBEC1128,2811ECBB,Passive 10 (Type 2),pasiva normal
2330FBB5,B5FB3023,Passive 11 (Type 1),pasiva normal
0350764D,4D765003,Passive 11 (Type 2),pasiva normal
BA39AA0F,0FAA39BA,Passive 12 (Type 1),pasiva normal
11E5D9A3,A3D9E511,Passive 12 (Type 2),pasiva normal
CD3E9A99,999A3ECD,Passive 13 (Type 1),pasiva normal
A959BEC6,C6BE59A9,Passive 13 (Type 2),pasiva normal
535A0F3A,3A0F5A53,Passive 14 (Type 1),pasiva normal
348E867F,7F868E34,Passive 14 (Type 2),pasiva normal
245D3FAC,AC3F5D24,Passive 15 (Type 1),pasiva normal
8C32E11A,1AE1328C,Passive 15 (Type 2),pasiva normal
BD546E16,166E54BD,Passive 16 (Type 1),pasiva normal
9E874EF4,F44E879E,Passive 16 (Type 2),pasiva normal
CA535E80,805E53CA,Passive 17 (Type 1),pasiva normal
263B2991,91293B26,Passive 17 (Type 2),pasiva normal
5AEC4311,1143EC5A,Passive 18 (Type 1),pasiva normal
7E5839C7,C739587E,Passive 18 (Type 2),pasiva normal
2DEB7387,8773EB2D,Passive 19 (Type 1),pasiva normal
7F1A98E0,E0981A7F,Passive 19 (Type 2),pasiva normal
081DA876,76A81D08,Passive 20 (Type 1),pasiva normal
9114F9CC,CCF91491,Passive 20 (Type 2),pasiva normal
E613C95A,5AC913E6,Passive 21 (Type 1),pasiva normal
78775CF9,F95C7778,Passive 21 (Type 2),pasiva normal
96793DD5,D53D7996,Passive 22 (Type 1),pasiva normal
0F706C6F,6F6C700F,Passive 22 (Type 2),pasiva normal
E17E0D43,430D7EE1,Passive 23 (Type 1),pasiva normal
71C110D2,D210C171,Passive 23 (Type 2),pasiva normal
06C62044,4420C606,Passive 24 (Type 1),pasiva normal
6601A9A1,A1A90166,Passive 24 (Type 2),pasiva normal
11069937,37990611,Passive 25 (Type 1),pasiva normal
880FC88D,8DC80F88,Passive 25 (Type 2),pasiva normal
FF08F81B,1BF808FF,Passive 26 (Type 1),pasiva normal
616C6DB8,B86D6C61,Passive 26 (Type 2),pasiva normal
166B5D2E,2E5D6B16,Passive 27 (Type 1),pasiva normal
8F620C94,940C628F,Passive 27 (Type 2),pasiva normal
F8653C02,023C65F8,Passive 28 (Type 1),pasiva normal
5CFB7AF1,F17AFB5C,Passive 28 (Type 2),pasiva normal
68DA2193,9321DA68,Passive 29 (Type 1),pasiva normal
1FDD1105,0511DD1F,Passive 29 (Type 2),pasiva normal
29403F66,663F4029,Passive 30 (Type 1),pasiva normal
5E470FF0,F00F475E,Passive 30 (Type 2),pasiva normal
C74E5E4A,4A5E4EC7,Passive 31 (Type 1),pasiva normal
B0496EDC,DC6E49B0,Passive 31 (Type 2),pasiva normal
2E2DFB7F,7FFB2D2E,Passive 32 (Type 1),pasiva normal
FC6E090F,0F096EFC,Passive 32 (Type 2),pasiva normal
592ACBE9,E9CB2A59,Passive 33 (Type 1),pasiva normal
C0239A53,539A23C0,Passive 33 (Type 2),pasiva normal
279BB754,54B79B27,Passive 34 (Type 1),pasiva normal
B724AAC5,C5AA24B7,Passive 34 (Type 2),pasiva normal
509C87C2,C2879C50,Passive 35 (Type 1),pasiva normal
0E04D1D2,D2D1040E,Passive 35 (Type 2),pasiva normal
305B0E27,270E5B30,Passive 36,pasiva normal
475C3EB1,B13E5C47,Passive 37,pasiva normal
A9525F9D,9D5F52A9,Passive 38 (Type 1),pasiva normal
DE556F0B,0B6F55DE,Passive 38 (Type 2),pasiva normal
3736CA3E,3ECA3637,Passive 39 (Type 1),pasiva normal
4031FAA8,A8FA3140,Passive 39 (Type 2),pasiva normal
AE3F9B84,849B3FAE,Passive 40 (Type 1),pasiva normal
D938AB12,12AB38D9,Passive 40 (Type 2),pasiva normal
4987B683,83B68749,Passive 41 (Type 1),pasiva normal
3E808615,1586803E,Passive 41 (Type 2),pasiva normal
1B765DE4,E45D761B,Passive 42 (Type 1),pasiva normal
6C716D72,726D716C,Passive 42 (Type 2),pasiva normal
F5783CC8,C83C78F5,Passive 43 (Type 1),pasiva normal
827F0C5E,5E0C7F82,Passive 43 (Type 2),pasiva normal
