# Pasivas de entrenadores y gerentes por rol, arquetipo y clave (100 = Diamante). NOTAS O-163.
# pasiva_id como en la partida. Lo genera herramientas/construir_pasivas_personal.py.
rol,arquetipo,clave,ranura,pasiva_id
entrenador,0,1,1,BB6D019C
entrenador,0,1,2,A2A96C9B
entrenador,0,1,3,E3987782
entrenador,0,1,4,6B17A1DB
entrenador,0,1,5,D146A842
entrenador,0,2,1,BB6D019C
entrenador,0,2,2,A2A96C9B
entrenador,0,2,3,6C6C1DF2
entrenador,0,2,4,6B17A1DB
entrenador,0,2,5,4776AF35
entrenador,0,3,1,BB6D019C
entrenador,0,3,2,A2A96C9B
entrenador,0,3,3,FA5C1A85
entrenador,0,3,4,D146A842
entrenador,0,3,5,E4E3CBAB
entrenador,0,4,1,013C0805
entrenador,0,4,2,18F86502
entrenador,0,4,3,6C6C1DF2
entrenador,0,4,4,6B17A1DB
entrenador,0,4,5,D146A842
entrenador,0,5,1,013C0805
entrenador,0,5,2,18F86502
entrenador,0,5,3,400D131C
entrenador,0,5,4,6B17A1DB
entrenador,0,5,5,4776AF35
entrenador,0,6,1,013C0805
entrenador,0,6,2,18F86502
entrenador,0,6,3,89E5DA92
entrenador,0,6,4,D146A842
entrenador,0,6,5,E4E3CBAB
entrenador,0,7,1,970C0F72
entrenador,0,7,2,8EC86275
entrenador,0,7,3,FA5C1A85
entrenador,0,7,4,6B17A1DB
entrenador,0,7,5,D146A842
entrenador,0,8,1,970C0F72
entrenador,0,8,2,8EC86275
entrenador,0,8,3,89E5DA92
entrenador,0,8,4,4776AF35
entrenador,0,8,5,E4E3CBAB
entrenador,0,9,1,970C0F72
entrenador,0,9,2,8EC86275
entrenador,0,9,3,D63D146B
entrenador,0,9,4,4776AF35
entrenador,0,9,5,E4E3CBAB
entrenador,0,10,1,34996BEC
entrenador,0,10,2,1FD5DDE5
entrenador,0,10,3,89E5DA92
entrenador,0,10,4,6B17A1DB
entrenador,0,10,5,D146A842
entrenador,0,11,1,34996BEC
entrenador,0,11,2,1FD5DDE5
entrenador,0,11,3,59C97E1B
entrenador,0,11,4,4776AF35
entrenador,0,11,5,E4E3CBAB
entrenador,0,12,1,34996BEC
entrenador,0,12,2,1FD5DDE5
entrenador,0,12,3,75A870F5
entrenador,0,12,4,4776AF35
entrenador,0,12,5,E4E3CBAB
entrenador,0,13,1,013C0805
entrenador,0,13,2,18F86502
entrenador,0,13,3,FA5C1A85
entrenador,0,13,4,F0B1FAEE
entrenador,0,13,5,D146A842
entrenador,0,14,1,013C0805
entrenador,0,14,2,1FD5DDE5
entrenador,0,14,3,E3987782
entrenador,0,14,4,4776AF35
entrenador,0,14,5,F0B1FAEE
entrenador,0,100,1,5E0FBF6D
entrenador,0,100,2,5E0FBF6D
entrenador,0,100,3,E45EB6F4
entrenador,0,100,4,E45EB6F4
entrenador,0,100,5,E45EB6F4
entrenador,1,1,1,BB6D019C
entrenador,1,1,2,A2A96C9B
entrenador,1,1,3,E3987782
entrenador,1,1,4,9077B35B
entrenador,1,1,5,CFAF7DA2
entrenador,1,2,1,BB6D019C
entrenador,1,2,2,A2A96C9B
entrenador,1,2,3,6C6C1DF2
entrenador,1,2,4,CFAF7DA2
entrenador,1,2,5,599F7AD5
entrenador,1,3,1,BB6D019C
entrenador,1,3,2,A2A96C9B
entrenador,1,3,3,FA5C1A85
entrenador,1,3,4,CFAF7DA2
entrenador,1,3,5,BC16BDB5
entrenador,1,4,1,013C0805
entrenador,1,4,2,18F86502
entrenador,1,4,3,6C6C1DF2
entrenador,1,4,4,9077B35B
entrenador,1,4,5,599F7AD5
entrenador,1,5,1,013C0805
entrenador,1,5,2,18F86502
entrenador,1,5,3,400D131C
entrenador,1,5,4,599F7AD5
entrenador,1,5,5,CFAF7DA2
entrenador,1,6,1,013C0805
entrenador,1,6,2,18F86502
entrenador,1,6,3,89E5DA92
entrenador,1,6,4,599F7AD5
entrenador,1,6,5,BC16BDB5
entrenador,1,7,1,970C0F72
entrenador,1,7,2,8EC86275
entrenador,1,7,3,FA5C1A85
entrenador,1,7,4,9077B35B
entrenador,1,7,5,BC16BDB5
entrenador,1,8,1,970C0F72
entrenador,1,8,2,8EC86275
entrenador,1,8,3,89E5DA92
entrenador,1,8,4,BC16BDB5
entrenador,1,8,5,CFAF7DA2
entrenador,1,9,1,970C0F72
entrenador,1,9,2,8EC86275
entrenador,1,9,3,D63D146B
entrenador,1,9,4,BC16BDB5
entrenador,1,9,5,599F7AD5
entrenador,1,10,1,34996BEC
entrenador,1,10,2,1FD5DDE5
entrenador,1,10,3,89E5DA92
entrenador,1,10,4,2A26BAC2
entrenador,1,10,5,CFAF7DA2
