# Que pasivas puede sacar un jugador, por ranura.
# Observado en la partida de Aaron (574 jugadores), no leido de una
# tabla del juego. Las ranuras 1-2 estan contrastadas con inazumo.es
# y coinciden exactamente; las demas son lo visto hasta ahora.
# Lo genera herramientas/construir_pasivas_jugador.py.
grupo,id,nombre,familia,alcance,veces_visto
Afinidad (ranura 3),D53D7996,"Cuando un jugador del mismo elemento está cerca, \\nDF propia del muro [CPASSIVE01]+<VALUE> %[C]",Muro,propio,9
Afinidad (ranura 3),0511DD1F,AT propio de tiro [CPASSIVE01]+<VALUE> %[C] en campo contrario,Tiro,propio,9
Afinidad (ranura 3),D210C171,"Cuando un jugador de otro elemento está cerca, \\nAT propio de tiro [CPASSIVE01]+<VALUE> %[C]",Tiro,propio,3
Afinidad (ranura 4),D021FC1C,"Si el poder de afinidad es 20 % o más, \\nAT de tiro directo del equipo [CPASSIVE01]+<VALUE> %[C]",Tiro,equipo,6
Afinidad (ranura 4),01D4B17B,"Al hacer un pase, poder de afinidad [CPASSIVE01]+<VALUE> %[C]",otra,equipo,6
Afinidad (ranura 4),FC40F2F2,"Por cada rango de Conf. Vínculo, \\nvalor de disputa del equipo [CPASSIVE01]+<VALUE> %[C]",Disputa,equipo,5
Afinidad (ranura 4),73B49882,"Por cada rango de Conf. Vínculo,\\npérdida de poder de afinidad [CPASSIVE01]－<VALUE> ％[C]",otra,equipo,4
Afinidad (ranura 5),FC40F2F2,"Por cada rango de Conf. Vínculo, \\nvalor de disputa del equipo [CPASSIVE01]+<VALUE> %[C]",Disputa,equipo,7
Afinidad (ranura 5),01D4B17B,"Al hacer un pase, poder de afinidad [CPASSIVE01]+<VALUE> %[C]",otra,equipo,6
Afinidad (ranura 5),D021FC1C,"Si el poder de afinidad es 20 % o más, \\nAT de tiro directo del equipo [CPASSIVE01]+<VALUE> %[C]",Tiro,equipo,6
Afinidad (ranura 5),73B49882,"Por cada rango de Conf. Vínculo,\\npérdida de poder de afinidad [CPASSIVE01]－<VALUE> ％[C]",otra,equipo,2
Brecha (ranura 3),F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,Foco,propio,17
Brecha (ranura 3),E0981A7F,"Cuando un jugador del mismo elemento está cerca, \\nAT propio de tiro [CPASSIVE01]+<VALUE> %[C]",Tiro,propio,9
Brecha (ranura 3),CCF91491,"Cuando un jugador del mismo elemento está cerca, \\nvalor propio de foco [CPASSIVE01]+<VALUE> %[C]",Foco,propio,6
Brecha (ranura 4),849B3FAE,"Por cada rango de Conf. Brecha,\\ntasa de perforación de muro [CPASSIVE01]+<VALUE> ％[C]",Muro,equipo,10
Brecha (ranura 4),83B68749,Tensión necesaria para brecha del equipo [CPASSIVE01]-<VALUE> %[C],otra,equipo,8
Brecha (ranura 4),A8FA3140,"Cuando se tienen los mismos goles o menos, \\ntasa de brecha del equipo [CPASSIVE01]+<VALUE> %[C]",otra,equipo,7
Brecha (ranura 4),9D5F52A9,Tasa de brecha del equipo [CPASSIVE01]+<VALUE> %[C],otra,equipo,6
Brecha (ranura 4),AEF0FCCC,"Por cada rango de Conf. Brecha, \\ntasa de Parada del equipo [CPASSIVE01]+<VALUE> %[C]",otra,equipo,1
Brecha (ranura 5),9D5F52A9,Tasa de brecha del equipo [CPASSIVE01]+<VALUE> %[C],otra,equipo,11
Brecha (ranura 5),A8FA3140,"Cuando se tienen los mismos goles o menos, \\ntasa de brecha del equipo [CPASSIVE01]+<VALUE> %[C]",otra,equipo,9
Brecha (ranura 5),83B68749,Tensión necesaria para brecha del equipo [CPASSIVE01]-<VALUE> %[C],otra,equipo,7
Brecha (ranura 5),849B3FAE,"Por cada rango de Conf. Brecha,\\ntasa de perforación de muro [CPASSIVE01]+<VALUE> ％[C]",Muro,equipo,5
