# Que version de cada pasiva va con cada rareza (NOTAS O-46, O-148).
# grupo = fila de la tabla del juego; rareza = 0 comun ... 4 leyenda, 5 sexta columna.
# Lo genera herramientas/construir_rareza_pasivas.py.
grupo,rareza,id,valor
0,0,F4CA2B3A,0.5
0,1,E49B5D39,0.6
0,2,5ECA54A0,0.7
0,3,C8FA53D7,0.8
0,4,6B6F3749,1
1,0,4E9B22A3,0.5
1,1,0A34E82B,0.6
1,2,B065E1B2,0.7
1,3,2655E6C5,0.8
1,4,85C0825B,1
2,0,D8AB25D4,1
2,1,6F535493,1.2
2,2,D5025D0A,1.5
2,3,43325A7D,1.7
2,4,E0A73EE3,2
3,0,7B3E414A,0.5
3,1,D66B830E,0.6
3,2,6C3A8A97,0.7
3,3,FA0A8DE0,0.8
3,4,599FE97E,1
4,0,ED0E463D,0.5
4,1,B30C3FB6,0.6
4,2,095D362F,0.7
4,3,9F6D3158,0.8
4,4,3CF855C6,1
5,0,575F4FA4,0.5
5,1,5DA38AA4,0.6
5,2,E7F2833D,0.7
5,3,71C2844A,0.8
5,4,D257E0D4,1
6,0,C16F48D3,2
6,1,38C4361C,2.2
6,2,82953F85,2.5
6,3,14A538F2,2.7
6,4,B7305C6C,3
7,0,5072F743,0.5
7,1,6ED45544,0.56
7,2,D4855CDD,0.7
7,3,42B55BAA,0.8
7,4,E1203F34,1
8,0,C642F034,1.5
8,1,0BB3E9FC,1.7
8,2,B1E2E065,2
8,3,27D2E712,2.2
8,4,8447838C,2.5
9,0,23CB3754,0.5
9,1,31D581BC,0.6
9,2,8B848825,0.7
9,3,1DB48F52,0.8
9,4,BE21EBCC,1
10,0,B5FB3023,6
10,1,54B23D04,6.2
10,2,EEE3349D,6.5
10,3,78D333EA,6.7
10,4,DB465774,7
11,0,0FAA39BA,0.5
11,1,BA1D8816,0.6
11,2,004C818F,0.7
11,3,967C86F8,0.8
11,4,35E9E266,1
12,0,999A3ECD,2
12,1,DF7A34AE,2.2
12,2,652B3D37,2.5
12,3,F31B3A40,2.7
12,4,508E5EDE,3
13,0,3A0F5A53,0.5
13,1,6642E333,0.71999997
13,2,DC13EAAA,1
13,3,4A23EDDD,1.2
13,4,E9B68943,1.5
14,0,AC3F5D24,1
14,1,03255F8B,1.2
14,2,B9745612,1.5
14,3,2F445165,1.7
14,4,8CD135FB,2
15,0,166E54BD,0.5
15,1,ED8AEA99,0.7
15,2,57DBE300,1
15,3,C1EBE477,1.2
15,4,627E80E9,1.5
16,0,805E53CA,6
16,1,88ED5621,6.2
16,2,32BC5FB8,6.5
16,3,A48C58CF,6.7
16,4,07193C51,7
17,0,1143EC5A,1
17,1,DEFD3579,1.2
17,2,64AC3CE0,1.5
17,3,F29C3B97,1.7
17,4,51095F09,2
18,0,8773EB2D,2
18,1,BB9A89C1,3
18,2,01CB8058,4
18,3,97FB872F,5
18,4,346EE3B1,6
19,0,E0981A7F,4
19,1,E1AF21FB,5
19,2,5BFE2862,6
19,3,CDCE2F15,7
19,4,6E5B4B8B,8
20,0,76A81D08,3
20,1,84C89D43,4
20,2,3E9994DA,5
20,3,A8A993AD,6
20,4,0B3CF733,7
21,0,CCF91491,4
21,1,6A672851,5
21,2,D03621C8,6
21,3,460626BF,7
21,4,E5934221,8
22,0,5AC913E6,5
22,1,0F0094E9,7
22,2,B5519D70,10.2
22,3,23619A07,12
22,4,80F4FE99,15
23,0,F95C7778,10
23,1,B6384374,12
23,2,0C694AED,15
23,3,9A594D9A,17
23,4,39CC2904,20
24,0,6F6C700F,4
24,1,D35FFFCC,4.5
24,2,690EF655,5
24,3,FF3EF122,5.5
24,4,5CAB95BC,6
25,0,D53D7996,5
25,1,3DF04ADE,5.5
25,2,87A14347,6
25,3,11914430,6.5
25,4,B20420AE,7
26,0,430D7EE1,2
26,1,5897F666,3
26,2,E2C6FFFF,4
26,3,74F6F888,5
26,4,D7639C16,6
27,0,D210C171,4
27,1,0E87953E,5
27,2,B4D69CA7,6
27,3,22E69BD0,7
27,4,8173FF4E,8
28,0,4420C606,4.5
28,1,6BE02986,4.7
28,2,D1B1201F,5
28,3,47812768,5.3
28,4,E41443F6,5.5
29,0,A1A90166,5
29,1,518641C6,5.5
29,2,EBD7485F,6
29,3,7DE74F28,6.5
29,4,DE722BB6,7
30,0,37990611,3
30,1,34E1FD7E,3.2
30,2,8EB0F4E7,3.5
30,3,1880F390,3.7
30,4,BB15970E,4
31,0,8DC80F88,4
31,1,DA4E486C,4.2
31,2,601F41F5,4.5
31,3,F62F4682,4.7
31,4,55BA221C,5
32,0,1BF808FF,4.5
32,1,BF29F4D4,4.7
32,2,0578FD4D,5
32,3,9348FA3A,5.3
32,4,30DD9EA4,5.5
33,0,B86D6C61,5
33,1,06112349,5.5
33,2,BC402AD0,6
33,3,2A702DA7,6.5
33,4,89E54939,7
34,0,2E5D6B16,7
34,1,63769FF1,8
34,2,D9279668,9
34,3,4F17911F,10
34,4,EC82F581,12
35,0,940C628F,10
35,1,8DD92AE3,11
35,2,3788237A,12
35,3,A1B8240D,13
35,4,022D4093,15
36,0,023C65F8,0.120000005
36,1,E8BE965B,0.24000001
36,2,52EF9FC2,0.36
36,3,C4DF98B5,0.48000002
36,4,674AFC2B,0.6
37,0,9321DA68,2
37,1,BEAEF503,3
37,2,04FFFC9A,4
37,3,92CFFBED,5
37,4,315A9F73,6
38,0,0511DD1F,4
38,1,DBC949BB,5
38,2,61984022,6
38,3,F7A84755,7
38,4,543D23CB,8
39,0,663F4029,4
39,1,415A6174,4.5
39,2,FB0B68ED,5
39,3,6D3B6F9A,5.5
39,4,CEAE0B04,6
40,0,F00F475E,5
40,1,243DDDCC,5.5
40,2,9E6CD455,6
40,3,085CD322,6.5
40,4,ABC9B7BC,7
41,0,4A5E4EC7,6
41,1,CA9268DE,7
41,2,70C36147,8
41,3,E6F36630,9
41,4,456602AE,10
42,0,DC6E49B0,9
42,1,AFF5D466,10
42,2,15A4DDFF,11
42,3,8394DA88,12
42,4,2001BE16,13
43,0,7FFB2D2E,0.120000005
43,1,16CD03FB,0.24000001
43,2,AC9C0A62,0.36
43,3,3AAC0D15,0.48000002
43,4,9939698B,0.6
44,0,E9CB2A59,3
44,1,73AABF43,3.5
44,2,C9FBB6DA,4
44,3,5FCBB1AD,4.5
44,4,FC5ED533,5
45,0,539A23C0,4
45,1,9D050A51,4.5
45,2,275403C8,5
45,3,B16404BF,5.5
45,4,12F16021,6
46,0,C5AA24B7,5
46,1,F862B6E9,6
46,2,4233BF70,7
46,3,D403B807,8
46,4,7796DC99,10
47,0,54B79B27,8
47,1,AE72D5B1,9
47,2,1423DC28,10
47,3,8213DB5F,11
47,4,2186BFC1,13
48,0,C2879C50,0.120000005
48,1,CB156909,0.24000001
48,2,71446090,0.36
48,3,E77467E7,0.48000002
48,4,44E10379,0.6
49,0,270E5B30,2
49,1,F1730149,4
49,2,4B2208D0,6
49,3,DD120FA7,8
