# Personajes del juego, sacados de chara_param y chara_base.
# identidad = el valor del campo 0xBA162C11 de la partida, en hex.
# Lo genera herramientas/construir_personajes.py.
identidad,chara_base_id,indice,rareza,rareza_valor,nombre_es,nombre_en,apt_entrenador,apt_gerente,tec1,tec2,tec3,tec4,tec5,tec6,tec7,tec8,tec9,tec1_nivel,tec2_nivel,tec3_nivel,tec4_nivel,tec5_nivel,tec6_nivel,tec7_nivel,tec8_nivel,tec9_nivel,arquetipo_valor,clave_personal,tablero
000CCA62,-1443314672,5522,normal,0,Ignacio Gerhardt,Ignacio Gerhardt,,,16499975,2A0DCADD,35E6E379,F270A236,EE3A9349,47981F48,6228AEBD,BF1E010B,6BF911A6,1,13,20,30,38,43,30,38,43,0,10,
002513F9,-1445913205,25,normal,0,Cliff Tomlinson,Cliff Tomlinson,,,744A5172,220FE735,44C94356,67FB9048,A719A830,6BF911A6,019EDE6A,31238F1D,723D7CA1,1,13,20,30,38,43,30,38,43,0,10,
00491555,-1447224537,5866,normal,0,Lumina,Lumina,,,860FB8F9,BA5BE6D9,DFB4AE41,374F8434,DC8D4F32,D1A8183F,044047B7,5DFE01B5,6BF911A6,1,13,20,30,38,43,30,38,43,2,14,
004A74D5,-1447134553,5240,normal,0,Kipp Sycamore,Kipp Sycamore,,,90EEC323,019EDE6A,4990A46B,7A3F0A0E,29ACD206,47981F48,FE9CFDDB,F8FED67D,723D7CA1,1,13,20,30,38,43,30,38,43,5,4,
005CEF5C,-1448550098,3554,normal,0,Drexel Kixley,Drexel Kixley,,,90EEC323,3B0E1117,B341B92F,EE997908,028C2178,47981F48,F5A73140,E9ED003F,E40D7BD6,1,13,20,30,38,43,30,38,43,1,6,
0060C7F1,-1364860991,5885,normal,0,Lima,Lima,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,9,
006246A5,-1449768745,4840,normal,0,Mars Hung,Mars Hung,,,122F1F50,904879D8,B341B92F,B9CFCD64,BF86F8A3,723D7CA1,B9CFCD64,90736A31,6BF911A6,1,13,20,30,38,43,30,38,43,5,11,
00663444,-1450034634,1292,normal,0,John Bleach,John Bleach,,,122F1F50,220FE735,EE997908,BC27E078,7BB1A137,6BF911A6,C2CDF341,6CFB4F3A,E40D7BD6,1,13,20,30,38,43,30,38,43,2,1,
006DEC12,-1449532832,1917,normal,0,Federico Rubiera,Federico Rubiera,,,F2ED0B24,A7915C10,BC27E078,683E235E,0A9E0118,6BF911A6,47E0AFAD,AB6D0E75,E40D7BD6,1,13,20,30,38,43,30,38,43,1,2,
006F8F1C,-1449426578,3191,normal,0,Montana Fleetfoot,Montana Fleetfoot,,,904D2962,2A0DCADD,C9F63FDA,210D15AF,F8FED67D,E40D7BD6,A86FFCEF,B58DDFE0,6BF911A6,1,13,20,30,38,43,30,38,43,3,12,
00821881,-1451878669,4086,normal,0,Banda Crix,Banda Crix,,,904D2962,0A2DE6D1,633EFC2C,E9ED003F,CF94147C,E40D7BD6,21BEF266,BC27E078,6BF911A6,1,13,20,30,38,43,30,38,43,4,12,
008297CC,-1451845186,461,normal,0,Scott Springer,Scott Springer,,,744A5172,0DD16BC6,74C7F5E8,80FE1AC2,FD16FB61,6BF911A6,E9ED003F,A722BBD9,723D7CA1,1,13,20,30,38,43,30,38,43,4,4,
009859CF,-1452517443,5199,normal,0,Minerva Elderbright,Minerva Elderbright,,,57DB682D,7F74CD53,7A9CE04F,F5A73140,683E235E,723D7CA1,15EDD114,27EA6D01,6BF911A6,1,13,20,30,38,43,30,38,43,2,5,
