# Pasivas candidatas de cada personaje para las ranuras 1 y 2.
# Leido de las tablas de sorteo del juego, NO observado de la partida.
# Acierto medido contra la partida de Aaron: 94,1% en jugadores normales.
# Los marcados 'fijas_de_historia' llevan pasivas fijas y no siguen el sorteo.
# Lo genera herramientas/construir_pool_pasivas.py.
identidad,personaje,equipo,posicion,ranuras,pasiva_id,pasiva,fijas_de_historia
EAB2B5CF,Briar Bloomhurst,<MNT:NAGUMOHARA>,DEL,1-2,E0981A7F,"Cuando un jugador del mismo elemento está cerca, \\nAT propio de tiro [CPASSIVE01]+<VALUE> %[C]",si
EAB2B5CF,Briar Bloomhurst,<MNT:NAGUMOHARA>,DEL,1-2,D210C171,"Cuando un jugador de otro elemento está cerca, \\nAT propio de tiro [CPASSIVE01]+<VALUE> %[C]",si
EAB2B5CF,Briar Bloomhurst,<MNT:NAGUMOHARA>,DEL,1-2,0511DD1F,AT propio de tiro [CPASSIVE01]+<VALUE> %[C] en campo contrario,si
EAB2B5CF,Briar Bloomhurst,<MNT:NAGUMOHARA>,DEL,1-2,539A23C0,Valor propio de foco [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,si
EAB2B5CF,Briar Bloomhurst,<MNT:NAGUMOHARA>,DEL,1-2,54B79B27,Valor propio de disputa [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,si
F3A9848E,Alix La Fontaine,<MNT:NAGUMOHARA>,POR,1-2,AAC852B1,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,si
F3A9848E,Alix La Fontaine,<MNT:NAGUMOHARA>,POR,1-2,1AE1328C,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
F3A9848E,Alix La Fontaine,<MNT:NAGUMOHARA>,POR,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,si
BCE81249,Thierry Reyes,<MNT:NAGUMOHARA>,MED,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,si
BCE81249,Thierry Reyes,<MNT:NAGUMOHARA>,MED,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,si
BCE81249,Thierry Reyes,<MNT:NAGUMOHARA>,MED,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,si
BCE81249,Thierry Reyes,<MNT:NAGUMOHARA>,MED,1-2,91293B26,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
BCE81249,Thierry Reyes,<MNT:NAGUMOHARA>,MED,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,si
BCE81249,Thierry Reyes,<MNT:NAGUMOHARA>,MED,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,si
BCE81249,Thierry Reyes,<MNT:NAGUMOHARA>,MED,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],si
A5F32308,Cedric Freud,<MNT:NAGUMOHARA>,MED,1-2,AAC852B1,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,si
A5F32308,Cedric Freud,<MNT:NAGUMOHARA>,MED,1-2,2811ECBB,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,si
A5F32308,Cedric Freud,<MNT:NAGUMOHARA>,MED,1-2,1AE1328C,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
A5F32308,Cedric Freud,<MNT:NAGUMOHARA>,MED,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
A5F32308,Cedric Freud,<MNT:NAGUMOHARA>,MED,1-2,0F096EFC,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo contrario,si
8EDE70CB,Raika Shinohara,<MNT:NAGUMOHARA>,DEL,1-2,21005B1B,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,si
8EDE70CB,Raika Shinohara,<MNT:NAGUMOHARA>,DEL,1-2,77103843,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,si
8EDE70CB,Raika Shinohara,<MNT:NAGUMOHARA>,DEL,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,si
8EDE70CB,Raika Shinohara,<MNT:NAGUMOHARA>,DEL,1-2,C6BE59A9,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,si
8EDE70CB,Raika Shinohara,<MNT:NAGUMOHARA>,DEL,1-2,7F868E34,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,si
8EDE70CB,Raika Shinohara,<MNT:NAGUMOHARA>,DEL,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
8EDE70CB,Raika Shinohara,<MNT:NAGUMOHARA>,DEL,1-2,91293B26,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
97C5418A,Cade Shelby,<MNT:NAGUMOHARA>,DEF,1-2,2811ECBB,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,si
97C5418A,Cade Shelby,<MNT:NAGUMOHARA>,DEF,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,si
97C5418A,Cade Shelby,<MNT:NAGUMOHARA>,DEF,1-2,C6BE59A9,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,si
97C5418A,Cade Shelby,<MNT:NAGUMOHARA>,DEF,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
97C5418A,Cade Shelby,<MNT:NAGUMOHARA>,DEF,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,si
97C5418A,Cade Shelby,<MNT:NAGUMOHARA>,DEF,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,si
97C5418A,Cade Shelby,<MNT:NAGUMOHARA>,DEF,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],si
105D5D45,Tai Richter,<MNT:NAGUMOHARA>,MED,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
105D5D45,Tai Richter,<MNT:NAGUMOHARA>,MED,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
105D5D45,Tai Richter,<MNT:NAGUMOHARA>,MED,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
105D5D45,Tai Richter,<MNT:NAGUMOHARA>,MED,1-2,91293B26,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
105D5D45,Tai Richter,<MNT:NAGUMOHARA>,MED,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,
105D5D45,Tai Richter,<MNT:NAGUMOHARA>,MED,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
105D5D45,Tai Richter,<MNT:NAGUMOHARA>,MED,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],
09466C04,Davin Bullock,<MNT:NAGUMOHARA>,MED,1-2,AAC852B1,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
09466C04,Davin Bullock,<MNT:NAGUMOHARA>,MED,1-2,2811ECBB,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
09466C04,Davin Bullock,<MNT:NAGUMOHARA>,MED,1-2,1AE1328C,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
09466C04,Davin Bullock,<MNT:NAGUMOHARA>,MED,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
09466C04,Davin Bullock,<MNT:NAGUMOHARA>,MED,1-2,0F096EFC,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo contrario,
D946BD7A,Charis Benzaie,<MNT:NAGUMOHARA>,DEF,1-2,2811ECBB,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
D946BD7A,Charis Benzaie,<MNT:NAGUMOHARA>,DEF,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
D946BD7A,Charis Benzaie,<MNT:NAGUMOHARA>,DEF,1-2,C6BE59A9,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
D946BD7A,Charis Benzaie,<MNT:NAGUMOHARA>,DEF,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
D946BD7A,Charis Benzaie,<MNT:NAGUMOHARA>,DEF,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,
D946BD7A,Charis Benzaie,<MNT:NAGUMOHARA>,DEF,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
D946BD7A,Charis Benzaie,<MNT:NAGUMOHARA>,DEF,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],
C05D8C3B,Lycus Foxworth,<MNT:NAGUMOHARA>,DEF,1-2,AAC852B1,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
