# Con que fila de stats-tabla.csv se busca cada personaje.
# El rango lo trae el personaje de fabrica y no cambia; la
# rareza de la partida entra como multiplicador (NOTAS O-114).
identidad,posicion,posicion_alt,patron,rango
000CCA62,4,2,0,0
002513F9,2,3,0,0
00491555,1,2,1,3
004A74D5,4,3,0,0
005CEF5C,4,3,1,1
0060C7F1,3,2,0,0
006246A5,3,2,0,0
00663444,2,3,1,0
006DEC12,2,3,1,0
006F8F1C,3,2,0,0
00821881,3,2,0,1
008297CC,2,3,0,0
009859CF,3,2,0,0
009F3580,3,2,1,0
00AA63B1,4,2,1,1
00AD1DDF,2,3,1,0
00B5CE9C,4,3,0,4
00BDA206,3,4,1,0
00BF4E45,4,3,0,0
00CA6827,4,3,0,0
00CA6CD2,3,2,0,1
00CAE76A,4,3,0,0
00D2A610,3,4,1,0
00E08E4F,2,4,1,0
01080210,4,3,0,0
01088D5D,4,3,1,0
0110CC27,4,3,0,0
01189533,1,4,1,0
0122E478,2,3,0,0
0140FDFB,3,2,0,0
015A33F8,3,2,0,0
016F77E8,1,3,1,0
017D2472,1,4,1,0
018B7F62,2,3,1,3
0198C201,3,2,1,0
019E856B,3,4,1,1
01A02C92,4,2,1,2
01A0E982,2,3,0,4
01A45E73,3,4,1,0
01ADE52B,2,3,1,0
01AF8625,3,4,1,0
01E25080,3,2,1,1
01E779CE,4,3,1,1
01F7A52D,3,2,0,0
02094A80,2,3,1,0
020D20F7,2,3,1,0
02154140,3,2,0,0
02197A14,2,3,1,1
0219E23F,2,3,1,0
021C166F,1,4,1,0
021C7047,2,3,1,2
02208A1D,4,3,0,0
0222D9BE,3,2,0,0
02293145,4,3,0,0
022B524B,3,4,1,0
0234719A,1,3,1,0
0236F007,2,3,1,0
024A9476,2,1,0,5
025029AD,3,4,0,4
0263ADA0,4,3,0,3
0268FABB,3,2,1,1
02693477,3,2,1,3
0275D7BA,2,3,0,0
028C5933,4,2,1,0
028CD67E,2,3,1,0
02941849,3,2,0,3
02C42995,3,2,1,0
02E4DD1D,3,2,0,2
02ECD795,2,4,1,1
02F9F01C,2,3,0,0
0305066D,3,4,0,0
030643A2,3,4,1,0
030F668B,2,3,1,4
0317B2A7,2,4,1,3
0326B72A,3,2,1,0
032EB7DF,4,2,1,1
032EBDA2,2,4,1,1
03322173,3,2,1,0
03397668,3,4,0,1
033B9A2B,4,3,1,0
034E3304,3,2,1,0
