# Extraido de la tabla de Cheat Engine de EasyGameCheatEngine para la
# version 7.1.1 del juego. Los identificadores se usan como datos; el
# credito es suyo. Los ids estan tal y como los muestra Cheat Engine.
id_ce,id_partida,nombre,clase
016DEA27,27EA6D01,Accelerator Gears,supertecnica
4E5B398C,8C395B4E,Acrobat Bomber,supertecnica
A43085DD,DD8530A4,Almighty Cannon,supertecnica
1879C284,84C27918,Arced Diamond Ray,supertecnica
A5777314,147377A5,Assault Shot,supertecnica
D0AF516E,6E51AFD0,Asteride,supertecnica
7C6D5B0E,0E5B6D7C,Astro Break,supertecnica
97C48D68,688DC497,Astro Gate,supertecnica
9DA879F0,F079A89D,Athenian Assault,supertecnica
1697534C,4C539716,Atomic Harmonic,supertecnica
AE2B3429,29342BAE,Atomic Flare,supertecnica
D32B8500,00852BD3,Atomic Spin,supertecnica
0E394D56,564D390E,Avenging Eagle,supertecnica
4F9953BB,BB53994F,Baby Corodragon,supertecnica
4AD6453E,3E45D64A,Back Tornado,supertecnica
7432B8E0,E0B83274,Bahamut Crash,supertecnica
72E7A603,03A6E772,Bald Eagle Glide,supertecnica
A0BDF96F,6FF9BDA0,Ballista Barrage,supertecnica
BEAF60F2,F260AFBE,Banana Shot,supertecnica
4C1D87D5,D5871D4C,Bed of Roses,supertecnica
90D115FF,FF15D190,Begiran Whip,supertecnica
E7D62569,6925D6E7,Belion Whip,supertecnica
2690CAFB,FBCA9026,Beyond the Sambadrome,supertecnica
A108D634,34D608A1,Beyond the Death Zone,supertecnica
1F7F73BA,BA737F1F,Bicycle Slash,supertecnica
9C6A13C7,C7136A9C,Big Bang Slash,supertecnica
DAC3A5F6,F6A5C3DA,Big Bang,supertecnica
9B63BB1B,1BBB639B,Black Dawn,supertecnica
EC78BBC6,C6BB78EC,Black Ash,supertecnica
D2E9EF37,37EFE9D2,Bloodsucker Bite,supertecnica
240BEDF2,F2ED0B24,Bounce Shot,supertecnica
A9A7000B,0B00A7A9,Bouncing Bunny,supertecnica
DDCA0D2A,2A0DCADD,Bouncing Bomb,supertecnica
A5F2EFEA,EAEFF2A5,Brave Shot,supertecnica
1564C24E,4EC26415,Brawl of the Wild,supertecnica
EDBAD1F1,F1D1BAED,Brimstone Rain,supertecnica
FD49C046,46C049FD,Bubble Trouble,supertecnica
6B97E265,65E2976B,Bull Rush,supertecnica
734EB913,13B94E73,Bullseye Blaze,supertecnica
EA39FC31,31FC39EA,Bushin Blades,supertecnica
54C4DCA3,A3DCC454,Butterfly Trance,supertecnica
1DCB1471,7114CB1D,Caliburn,supertecnica
A0CABC03,03BCCAA0,Cannonball,supertecnica
2752A0CC,CCA05227,Capoeira Kick,supertecnica
C6655BA0,A05B65C6,Celestial Saw,supertecnica
EE3E059F,9F053EEE,Celestial Smash,supertecnica
88E6A750,50A7E688,Centrifugal Blast,supertecnica
BCE9DEAB,ABDEE9BC,Chaos Break,supertecnica
119C17D3,D3179C11,Cheat Blaster,supertecnica
FFFDA78D,8DA7FDFF,Checkmate,supertecnica
163D8F70,708F3D16,Chip Shot,supertecnica
E11DE782,82E71DE1,Chrysanthemum Katana,supertecnica
2D3E5454,54543E2D,Clone Shot,supertecnica
A17F9358,58937FA1,Clone Death Zone,supertecnica
B864A219,19A264B8,Clone Penguin,supertecnica
BB97331B,1B3397BB,Cold Snap,supertecnica
F4533922,223953F4,Cold Front,supertecnica
1F0836D6,D636081F,Comet Shot,supertecnica
1D4E888F,8F884E1D,Condor Dive,supertecnica
1B854A64,644A851B,Cosmic Blast,supertecnica
17A7E0E9,E9E0A717,Cosmic Blaster,supertecnica
17227C17,177C2217,Crack Shot,supertecnica
5863EAD0,D0EA6358,Crescent Kick,supertecnica
1A30653F,3F65301A,Crimson Prison,supertecnica
60397CCA,CA7C3960,Cross Drive,supertecnica
6F1A9ED7,D79E1A6F,Cross Fire (Blue),supertecnica
0800562F,2F560008,Cross Fire (Red),supertecnica
86F5F6E8,E8F6F586,Cupid's Arrow,supertecnica
3D10DCB3,B3DC103D,Curve Shot,supertecnica
1755397B,7B395517,Dark Energy Star,supertecnica
BD2BB49C,9CB42BBD,Dark Matter,supertecnica
E6E696CC,CC96E6E6,Dark Reaver,supertecnica
22EF6FDB,DB6FEF22,Dark Phoenix,supertecnica
568262FA,FA628256,Dark Tornado,supertecnica
BAD0C5D2,D2C5D0BA,Daruma Boomer,supertecnica
32EEA7FE,FEA7EE32,Death Zone 2,supertecnica
B27F13ED,ED137FB2,Death Zone,supertecnica
D4D0F44E,4EF4D0D4,Destrier Charge,supertecnica
0DBD9938,3899BD0D,Diamond Cutter,supertecnica
6813360B,0B361368,Diamond Ray,supertecnica
E29933EC,EC3399E2,Dimensional Deluge,supertecnica
C6978232,328297C6,Dinosaur Roar,supertecnica
2EBA803A,3A80BA2E,Dirt Ball,supertecnica
1876DB66,66DB7618,Disaster Strike,supertecnica
0C7FF30F,0FF37F0C,Divine Drive,supertecnica
61FB16FD,FD16FB61,Divine Arrows,supertecnica
0C08B663,63B6080C,Doom Dive Drive,supertecnica
119EFB90,90FB9E11,Doom Rain,supertecnica
C513565C,5C5613C5,Doom Spear,supertecnica
DC08671D,1D6708DC,Doom Break,supertecnica
8A52C09B,9BC0528A,Doomsword Slash,supertecnica
BBFC463C,3C46FCBB,Doruga Assault,supertecnica
1A472053,5320471A,Double Wrath Shot,supertecnica
8EDFBC29,29BCDF8E,Double Jaw,supertecnica
18019E0A,0A9E0118,Double Grenade,supertecnica
B7300568,680530B7,Double Tornado,supertecnica
F9C4BCF4,F4BCC4F9,Double Helix,supertecnica
3F8BFBBA,BAFB8B3F,Double-Trouble,supertecnica
B7474004,044047B7,Dough Ray Me,supertecnica
3BEE26C7,C726EE3B,Dragnova Strike,supertecnica
1C097E46,467E091C,Dragon Drive,supertecnica
