# Tablero que le pone el juego a un Diamante sin tableros propios, por posicion, elemento, tipo (col 4 de chara_param) y arquetipo. NOTAS O-169.
# tablero = la clave que la partida guarda en 0xBAFA8DBD. Lo genera herramientas/construir_tableros_diamante.py.
posicion,elemento,tipo,arquetipo,tablero
DEF,Bosque,3,0,92645042
DEF,Bosque,3,1,E20EA4CD
DEF,Bosque,3,2,0B6D01F8
DEF,Bosque,3,3,9509945B
DEF,Bosque,3,4,7C6A316E
DEF,Bosque,3,5,7C2DA229
DEF,Fuego,2,0,0D1151A9
DEF,Fuego,2,1,7D7BA526
DEF,Fuego,2,2,94180013
DEF,Fuego,2,3,0A7C95B0
DEF,Fuego,2,4,E31F3085
DEF,Fuego,2,5,0C00C5E1
DEF,Montana,3,0,92645042
DEF,Montana,3,1,E20EA4CD
DEF,Montana,3,2,0B6D01F8
DEF,Montana,3,3,9509945B
DEF,Montana,3,4,7C6A316E
DEF,Montana,3,5,0C00C5E1
DEF,Viento,2,0,125E4A82
DEF,Viento,2,1,6234BE0D
DEF,Viento,2,2,8B571B38
DEF,Viento,2,3,15338E9B
DEF,Viento,2,4,FC502BAE
DEF,Viento,2,5,E358A3C2
DEF,Viento,3,0,92645042
DEF,Viento,3,1,E20EA4CD
DEF,Viento,3,2,0B6D01F8
DEF,Viento,3,3,9509945B
DEF,Viento,3,4,7C6A316E
DEF,Viento,3,5,0C00C5E1
DEL,Bosque,3,0,11E8C045
DEL,Bosque,3,1,618234CA
DEL,Bosque,3,2,88E191FF
DEL,Bosque,3,3,1685045C
DEL,Bosque,3,4,FFE6A169
DEL,Bosque,3,5,8F8C55E6
DEL,Bosque,4,0,1CF8A234
DEL,Bosque,4,1,6C9256BB
DEL,Bosque,4,2,85F1F38E
DEL,Bosque,4,3,1B95662D
DEL,Bosque,4,4,F2F6C318
DEL,Bosque,4,5,829C3797
DEL,Fuego,1,0,A9320039
DEL,Fuego,1,1,D958F4B6
DEL,Fuego,1,2,303B5183
DEL,Fuego,1,3,AE5FC420
DEL,Fuego,1,4,473C6115
DEL,Fuego,1,5,8C3ADF21
DEL,Fuego,3,0,11E8C045
DEL,Fuego,3,1,618234CA
DEL,Fuego,3,2,88E191FF
DEL,Fuego,3,3,1685045C
DEL,Fuego,3,4,FFE6A169
DEL,Fuego,3,5,8F8C55E6
DEL,Fuego,4,0,1CF8A234
DEL,Fuego,4,1,6C9256BB
DEL,Fuego,4,2,85F1F38E
DEL,Fuego,4,3,1B95662D
DEL,Fuego,4,4,F2F6C318
DEL,Fuego,4,5,8F8C55E6
DEL,Montana,1,0,A9320039
DEL,Montana,1,1,D958F4B6
DEL,Montana,1,2,303B5183
DEL,Montana,1,3,AE5FC420
DEL,Montana,1,4,473C6115
DEL,Montana,1,5,829C3797
DEL,Montana,3,0,11E8C045
DEL,Montana,3,1,618234CA
DEL,Montana,3,2,88E191FF
DEL,Montana,3,3,1685045C
DEL,Montana,3,4,FFE6A169
DEL,Montana,3,5,8F8C55E6
DEL,Montana,4,0,1CF8A234
DEL,Montana,4,1,6C9256BB
DEL,Montana,4,2,85F1F38E
DEL,Montana,4,3,1B95662D
DEL,Montana,4,4,F2F6C318
DEL,Montana,4,5,8C3ADF21
DEL,Viento,3,0,11E8C045
DEL,Viento,3,1,618234CA
DEL,Viento,3,2,88E191FF
DEL,Viento,3,3,1685045C
DEL,Viento,3,4,FFE6A169
DEL,Viento,3,5,8F8C55E6
MED,Bosque,2,0,125E4A82
MED,Bosque,2,1,6234BE0D
MED,Bosque,2,2,8B571B38
MED,Bosque,2,3,15338E9B
MED,Bosque,2,4,FC502BAE
MED,Bosque,2,5,8C3ADF21
MED,Bosque,4,0,803B2918
MED,Bosque,4,1,F051DD97
MED,Bosque,4,2,193278A2
MED,Bosque,4,3,8756ED01
MED,Bosque,4,4,6E354834
MED,Bosque,4,5,0C00C5E1
MED,Fuego,2,0,125E4A82
MED,Fuego,2,1,6234BE0D
MED,Fuego,2,2,8B571B38
MED,Fuego,2,3,15338E9B
MED,Fuego,2,4,FC502BAE
MED,Fuego,2,5,8C3ADF21
MED,Montana,2,0,125E4A82
MED,Montana,2,1,6234BE0D
MED,Montana,2,2,8B571B38
MED,Montana,2,3,15338E9B
MED,Montana,2,4,FC502BAE
MED,Montana,2,5,8C3ADF21
MED,Montana,4,0,803B2918
MED,Montana,4,1,F051DD97
MED,Montana,4,2,193278A2
MED,Montana,4,3,8756ED01
MED,Montana,4,4,6E354834
MED,Montana,4,5,1E5FBCBB
MED,Viento,2,0,125E4A82
MED,Viento,2,1,6234BE0D
MED,Viento,2,2,8B571B38
MED,Viento,2,3,15338E9B
MED,Viento,2,4,FC502BAE
MED,Viento,2,5,8C3ADF21
MED,Viento,4,0,803B2918
MED,Viento,4,1,F051DD97
MED,Viento,4,2,193278A2
MED,Viento,4,3,8756ED01
MED,Viento,4,4,6E354834
MED,Viento,4,5,8C3ADF21
POR,Bosque,3,0,7D3C3661
POR,Bosque,3,1,0D56C2EE
POR,Bosque,3,2,E43567DB
POR,Bosque,3,3,7A51F278
POR,Bosque,3,4,9332574D
POR,Bosque,3,5,7C2DA229
POR,Fuego,2,0,E249378A
POR,Fuego,2,1,9223C305
POR,Fuego,2,2,7B406630
POR,Fuego,2,3,E524F393
POR,Fuego,2,4,0C4756A6
POR,Fuego,2,5,E358A3C2
POR,Fuego,3,0,7D3C3661
POR,Fuego,3,1,0D56C2EE
POR,Fuego,3,2,E43567DB
POR,Fuego,3,3,7A51F278
POR,Fuego,3,4,9332574D
POR,Fuego,3,5,E358A3C2
POR,Fuego,4,5,EE48C1B3
POR,Montana,2,0,E249378A
POR,Montana,2,1,9223C305
POR,Montana,2,2,7B406630
POR,Montana,2,3,E524F393
POR,Montana,2,4,0C4756A6
POR,Montana,2,5,E358A3C2
POR,Montana,3,0,7D3C3661
POR,Montana,3,1,0D56C2EE
POR,Montana,3,2,E43567DB
POR,Montana,3,3,7A51F278
POR,Montana,3,4,9332574D
POR,Montana,3,5,E358A3C2
POR,Montana,4,0,702C5410
POR,Montana,4,1,0046A09F
POR,Montana,4,2,E92505AA
POR,Montana,4,3,77419009
POR,Montana,4,4,9E22353C
POR,Montana,4,5,8F8C55E6
POR,Viento,2,0,E249378A
POR,Viento,2,1,9223C305
POR,Viento,2,2,7B406630
POR,Viento,2,3,E524F393
POR,Viento,2,4,0C4756A6
POR,Viento,2,5,829C3797
POR,Viento,3,0,7D3C3661
POR,Viento,3,1,0D56C2EE
POR,Viento,3,2,E43567DB
POR,Viento,3,3,7A51F278
POR,Viento,3,4,9332574D
POR,Viento,3,5,1E5FBCBB
POR,Viento,4,0,702C5410
POR,Viento,4,1,0046A09F
POR,Viento,4,2,E92505AA
POR,Viento,4,3,77419009
POR,Viento,4,4,9E22353C
POR,Viento,4,5,8F8C55E6
