# Las casillas de stat de cada tablero de habilidades (NOTAS O-244): tramo, casilla,
# stat y cuanto suma. Lo genera herramientas/construir_tableros.py.
tablero,casillas,tramo,casilla,stat,valor
9B593C21,53,tronco,6,Potencia,3
9B593C21,53,rama1,8,Tecnica,3
9B593C21,53,rama1,10,Potencia,3
9B593C21,53,rama1,13,Potencia,3
9B593C21,53,rama1,17,Potencia,3
9B593C21,53,rama2,19,Tecnica,5
9B593C21,53,rama2,21,Potencia,3
9B593C21,53,rama2,22,Potencia,3
9B593C21,53,rama2,25,Inteligencia,5
9B593C21,53,rama2,28,Potencia,3
9B593C21,53,rama2,31,Potencia,3
9B593C21,53,rama2,34,Agilidad,10
9B593C21,53,rama2,35,Potencia,3
9B593C21,53,rama2,39,Potencia,3
9B593C21,53,rama2,41,Fisico,7
9B593C21,53,rama2,45,Fisico,7
9B593C21,53,rama2,46,Potencia,3
9B593C21,53,rama2,49,Potencia,3
9B593C21,53,rama2,51,Tecnica,5
02506D9B,76,tronco,1,Tecnica,3
02506D9B,76,tronco,2,Inteligencia,3
02506D9B,76,tronco,6,Control,5
02506D9B,76,rama1,9,Control,5
02506D9B,76,rama1,13,Potencia,10
02506D9B,76,rama1,16,Presion,5
02506D9B,76,rama2,18,Fisico,5
02506D9B,76,rama2,24,Presion,10
02506D9B,76,rama2,29,Tecnica,5
02506D9B,76,rama2,31,Inteligencia,5
02506D9B,76,rama2,38,Tecnica,10
02506D9B,76,rama2,41,Potencia,5
02506D9B,76,rama2,48,Fisico,10
02506D9B,76,rama2,50,Control,10
02506D9B,76,rama2,62,Potencia,3
02506D9B,76,rama2,65,Potencia,3
02506D9B,76,rama2,66,Potencia,3
02506D9B,76,rama2,67,Potencia,3
02506D9B,76,rama2,70,Potencia,3
02506D9B,76,rama2,73,Potencia,3
02506D9B,76,rama2,74,Potencia,3
02506D9B,76,rama2,75,Potencia,3
4D40FEF8,51,tronco,3,Tecnica,6
4D40FEF8,51,tronco,4,Potencia,3
4D40FEF8,51,tronco,7,Control,7
4D40FEF8,51,rama1,8,Potencia,3
4D40FEF8,51,rama1,11,Inteligencia,7
4D40FEF8,51,rama1,13,Presion,7
4D40FEF8,51,rama1,14,Potencia,3
4D40FEF8,51,rama1,16,Tecnica,7
4D40FEF8,51,rama1,17,Fisico,7
4D40FEF8,51,rama2,21,Potencia,3
4D40FEF8,51,rama2,22,Tecnica,9
4D40FEF8,51,rama2,24,Potencia,6
4D40FEF8,51,rama2,25,Potencia,3
4D40FEF8,51,rama2,28,Potencia,7
4D40FEF8,51,rama2,29,Potencia,3
4D40FEF8,51,rama2,32,Presion,7
4D40FEF8,51,rama2,34,Control,7
4D40FEF8,51,rama2,35,Potencia,3
4D40FEF8,51,rama2,37,Tecnica,7
4D40FEF8,51,rama2,40,Potencia,3
4D40FEF8,51,rama2,41,Potencia,9
4D40FEF8,51,rama2,43,Fisico,9
EFCEEC2F,51,tronco,1,Fisico,6
EFCEEC2F,51,tronco,4,Potencia,3
EFCEEC2F,51,tronco,7,Fisico,7
EFCEEC2F,51,rama1,8,Potencia,3
EFCEEC2F,51,rama1,11,Fisico,7
EFCEEC2F,51,rama1,13,Fisico,7
EFCEEC2F,51,rama1,14,Potencia,3
EFCEEC2F,51,rama1,16,Agilidad,7
EFCEEC2F,51,rama1,17,Fisico,7
EFCEEC2F,51,rama2,21,Potencia,3
EFCEEC2F,51,rama2,22,Agilidad,9
EFCEEC2F,51,rama2,25,Potencia,3
EFCEEC2F,51,rama2,28,Control,7
EFCEEC2F,51,rama2,29,Potencia,3
EFCEEC2F,51,rama2,32,Presion,7
EFCEEC2F,51,rama2,34,Control,7
EFCEEC2F,51,rama2,35,Potencia,3
EFCEEC2F,51,rama2,37,Potencia,7
EFCEEC2F,51,rama2,40,Potencia,3
EFCEEC2F,51,rama2,41,Potencia,9
EFCEEC2F,51,rama2,43,Tecnica,9
C40407C1,51,tronco,3,Potencia,6
C40407C1,51,tronco,4,Potencia,3
C40407C1,51,tronco,7,Control,7
C40407C1,51,rama1,8,Potencia,3
C40407C1,51,rama1,11,Inteligencia,7
C40407C1,51,rama1,13,Potencia,7
C40407C1,51,rama1,14,Potencia,3
C40407C1,51,rama1,16,Tecnica,7
C40407C1,51,rama1,17,Potencia,7
C40407C1,51,rama2,21,Potencia,3
