# Las pasivas de cada tablero de habilidades del juego, por casilla (NOTAS O-169).
# tablero = la clave que la partida guarda por jugador en 0xBAFA8DBD; pasiva_id como en la partida.
# Lo genera herramientas/construir_tableros.py.
tablero,casillas,tramo,casilla,nivel,pasiva_id
8806B4C4,28,tronco,1,0,F8FEB783
8806B4C4,28,tronco,3,0,42AFBE1A
8806B4C4,28,tronco,5,0,7ADB70BE
8806B4C4,28,tronco,6,0,C08A7927
8806B4C4,28,rama1,8,0,D49FB96D
8806B4C4,28,rama1,10,0,56BA7E50
8806B4C4,28,rama1,12,0,770ADDF3
8806B4C4,28,rama1,14,0,F52F1ACE
8806B4C4,28,rama1,15,0,E13ADA84
8806B4C4,28,rama1,16,0,631F1DB9
8806B4C4,28,rama2,18,0,D49FB96D
8806B4C4,28,rama2,20,0,D94E1420
8806B4C4,28,rama2,22,0,770ADDF3
8806B4C4,28,rama2,24,0,4F7E1357
8806B4C4,28,rama2,25,0,E13ADA84
8806B4C4,28,rama2,26,0,DE63ACC7
9B593C21,53,tronco,7,0,F4CA2B3A
9B593C21,53,rama1,9,0,D8AB25D4
9B593C21,53,rama1,12,0,575F4FA4
9B593C21,53,rama1,14,0,5072F743
9B593C21,53,rama1,15,0,C642F034
9B593C21,53,rama2,18,0,0FAA39BA
9B593C21,53,rama2,20,0,3A0F5A53
9B593C21,53,rama2,23,0,805E53CA
9B593C21,53,rama2,24,0,1143EC5A
9B593C21,53,rama2,26,0,E0981A7F
9B593C21,53,rama2,27,0,76A81D08
9B593C21,53,rama2,30,0,F95C7778
9B593C21,53,rama2,32,0,D53D7996
9B593C21,53,rama2,33,0,430D7EE1
9B593C21,53,rama2,36,0,A1A90166
9B593C21,53,rama2,37,0,37990611
9B593C21,53,rama2,38,0,8DC80F88
9B593C21,53,rama2,40,0,B86D6C61
9B593C21,53,rama2,42,0,940C628F
9B593C21,53,rama2,43,0,023C65F8
9B593C21,53,rama2,44,0,9321DA68
9B593C21,53,rama2,47,0,F00F475E
9B593C21,53,rama2,48,0,4A5E4EC7
9B593C21,53,rama2,50,0,7FFB2D2E
9B593C21,53,rama2,52,0,539A23C0
02506D9B,76,tronco,4,0,C5AA24B7
02506D9B,76,tronco,7,0,E0981A7F
02506D9B,76,rama1,10,0,C642F034
02506D9B,76,rama1,15,0,1EE48D75
02506D9B,76,rama2,19,0,54B79B27
02506D9B,76,rama2,20,0,1143EC5A
02506D9B,76,rama2,22,0,CEC829FC
02506D9B,76,rama2,27,0,5FD5966C
02506D9B,76,rama2,28,0,E9CB2A59
