# De donde sale cada supertecnica y si se le puede dar a un jugador (NOTAS O-171).
# Lo genera herramientas/construir_tecnicas_origen.py.
id,nombre,origen,obtenible
47785605,A todo vapor,personaje,si
8DB9D0F8,Abanicos dragontinos,personaje,si
ABBA9A60,Abrazo divino,personaje,si
9B73B543,Acelerrelámpago,personaje,si
40AFC573,Acelerón,personaje,si
78B353AD,Acorde difuso,personaje,si
D59710C4,Acrobacia robótica,personaje,si
B0E0A1F4,Aguijones escarlata,personaje,si
E491D9EC,Aguijón,personaje,si
63B6080C,Aguijón letal,personaje,si
E94C248D,Aguijón letal,kenshin,no
374F8434,Agujero blanco,personaje,si
8E80318B,Agujero de gusano,personaje,si
031CA746,Agujero negro,personaje,si
546F2DC4,Aikido,personaje,si
38AF09CC,Alas de halcón,kenshin,no
1BBB639B,Alba oscura,personaje,si
FF394883,Aliento blanco,kenshin,no
E613A0C0,Amago de tiro,personaje,si
94884506,Amago y esprint,personaje,si
428DD1B9,Amanecer detonante,personaje,si
8D19BD1E,Amplificador mágico,personaje,si
92CA00F4,Ancla de navío,personaje,si
DC8D4F32,Anillo de Artemisa,personaje,si
9CA42635,Aplanadora,personaje,si
D599304B,Aplastamiento,personaje,si
A165AE91,Araña gigante,personaje,si
47534864,Arco psíquico,personaje,si
708A6DAC,Arcoíris luminoso,personaje,si
58209868,Armadillo circense,personaje,si
539730CD,Armadillo circense,override,no
86DD7C56,Aro hula hoop,personaje,si
5393A0D3,Aro-Alehop,personaje,si
022FCB39,Arrancada,personaje,si
3C6A65A8,Asalto aéreo,kenshin,no
F3C8BDCE,Asalto mortal,kenshin,no
0E5B6D7C,Astrorremate,personaje,si
2473E194,Atajo tornado,tienda,si
E94EEA7E,Ataque afilado,personaje,si
8F884E1D,Ataque cóndor,personaje,si
309B90E5,Ataque de corazón,kenshin,no
71AA8BFC,Ataque de corazón,kenshin,no
210D15AF,Ataque de garza,personaje,si
B351B4A7,Ataque de paladín,personaje,si
