# Todas las supertecnicas del juego, de skill_config.
# categoria: columna 14, que separa las cuatro sin excepciones.
# subtipo: columna 9. Los nombres los aporto Aaron.
# poder (AT): columna 11. tp: columna 10. elemento: columna 12.
id,nombre,categoria,subtipo,subtipo_valor,elemento,poder,tp,nombre_interno,descripcion
A4A8BD63,Inazuma Drop,Tiro,bloqueo de tiros,16,Viento,440,70,whs00010,Salta usando el cuerpo de un compañero como apoyo y remata con un disparo rápido como el rayo.
67FB9048,Remate combinado,Tiro,normal,0,Fuego,440,70,whs00020,Dos jugadores se turnan para golpear el balón con fuerza y realizan un tiro combinado de gran potencia.
26CA8B51,Tornado de fuego,Tiro,normal (subtipo 8 sin identificar),8,Fuego,360,60,whs00030,Elévate alto en el cielo con un tornado rojo intenso. Tiro envuelto en llamas que atraviesa la portería.
E15CCA1E,Chut de 100 toques,Tiro,normal (subtipo 8 sin identificar),8,Bosque,300,50,whs00040,Golpea el balón con una serie de patadas y ejecuta un súper tiro desde el aire.
A06DD107,Superrelámpago,Tiro,bloqueo de tiros,16,Viento,440,70,whs00050,Dos jugadores sincronizan sus movimientos y disparan con toda su fuerza. Una técnica de tiro a dúo que simboliza su amistad.
633EFC2C,Remate dragón,Tiro,normal (subtipo 8 sin identificar),8,Bosque,300,50,whs00060,Ataca con un rugido despiadado que contiene el inmenso poder de un dragón.
220FE735,Chut granada,Tiro,normal,0,Fuego,300,50,whs00070,"Con un giro del cuerpo, libera toda la energía acumulada y descárgala en el balón con un disparo letal."
ED137FB2,Triángulo letal,Tiro,normal,0,Bosque,440,70,whs00080,Lanza un tiro desde el triángulo de la muerte. Es esencial sincronizar la respiración de los tres jugadores.
AC2264AB,Tiro fantasma,Tiro,normal (subtipo 8 sin identificar),8,Bosque,300,50,whs00090,Haz aparecer una ilusión del balón como una llama etérea. Inquietante técnica que confunde al portero.
D2F3647B,Remate halcón,Tiro,bloqueo de tiros,16,Viento,300,50,whs00100,Tus aliados te dan un impulso hacia arriba para tirar mientras te lanzas en picado a gran velocidad.
93C27F62,Ataque meteorito,Tiro,normal,0,Fuego,300,50,whs00110,¡Golpea el balón para lanzarlo como un meteorito hacia la portería!
50915249,Remate serpiente,Tiro,normal (subtipo 8 sin identificar),8,Montana,300,50,whs00120,Lanza el balón en un tiro serpenteante que se retuerce y enrosca para desconcertar al portero.
11A04950,Tiro giratorio,Tiro,normal (subtipo 8 sin identificar),8,Viento,300,50,whs00130,"El balón vuela hacia la portería como si fuera un huracán, incluso al lanzarlo con los ojos cerrados."
D636081F,Tiro del cometa,Tiro,tiro largo,4,Viento,300,50,whs00140,Haz caer el balón como un cometa ardiente que deja una estela de luz a su paso.
97071306,Disparo rodante,Tiro,normal (subtipo 8 sin identificar),8,Bosque,300,50,whs00150,"Concentra energía con un giro artístico en el aire, y transmítela al balón con un disparo acrobático."
54543E2D,Remate múltiple,Tiro,normal (subtipo 8 sin identificar),8,Bosque,300,50,whs00160,Usa una técnica ninja para crear clones y chuta desde tres direcciones. Un tiro ninja que parece trampa.
15652534,Tiro dinamita,Tiro,normal (subtipo 8 sin identificar),8,Fuego,360,60,whs00170,Destroza la portería con una explosiva chilena que sacude la red.
DA79BDB3,Remate misil,Tiro,tiro largo,4,Fuego,360,60,whs00180,El balón se eleva en el cielo como un misil implacable que vuela hacia la portería.
9B48A6AA,Remate espiral,Tiro,normal,0,Viento,300,50,whs00190,Haz girar el balón para acumular energía. Disparo giratorio que perfora la portería.
8B4D2279,Chut congelante,Tiro,normal,0,Bosque,300,50,whs00200,Congela el entorno con una mirada fría como el hielo y lanza un aterrador disparo gélido y pesado.
